Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,Preference Share Capital
2006-03-31,2.3,2.3,55.4,55.4,57.7,51.54,0.0,0.0,0.0,51.54,0.0,0.0,81.64,0.31,81.95,191.19,24.35,0.0,38.99,0.0,0.0,63.34,0.01,0.01,0.0,63.36,0.0,85.04,3.3,0.42,38.55,0.52,127.84,191.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2007-03-31,2.6,80.9,749.22,749.22,830.13,96.89,0.0,0.0,0.0,96.89,0.0,0.0,66.71,0.42,67.12,994.13,28.64,0.0,58.82,0.0,0.0,87.46,32.55,0.08,0.0,120.09,0.0,109.68,10.08,413.95,339.81,0.52,874.04,994.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55,0.0,0.0,0.0,0.0,78.3
2008-03-31,2.6,80.9,840.34,840.34,921.24,29.64,0.0,0.0,0.0,29.64,0.0,0.0,62.87,0.78,63.64,1014.52,29.11,0.0,219.84,0.0,0.0,248.94,281.6,0.26,0.0,530.8,0.0,94.26,0.52,28.06,360.36,0.52,483.72,1014.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.6,0.0,0.0,0.0,0.0,78.3
2009-03-31,2.6,59.7,877.06,877.06,936.76,10.7,0.0,0.0,0.0,10.7,0.0,0.0,76.23,2.98,79.21,1026.67,125.01,0.0,345.44,0.0,0.0,470.45,32.61,0.15,0.0,503.21,0.0,164.87,1.49,78.59,277.99,0.52,523.46,1026.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.61,0.0,0.0,0.0,0.0,57.1
2010-03-31,288.67,324.57,599.42,599.42,923.99,0.0,0.0,0.0,0.0,0.0,0.0,2.7,301.02,8.58,312.3,1236.29,157.8,0.31,453.82,0.0,0.0,611.92,32.6,0.72,0.0,645.25,0.0,208.07,17.05,93.9,269.26,2.76,591.04,1236.29,159.28,0.0,29.63,2.12,6.81,20.02,286.07,32.6,0.0,0.0,0.0,0.01,35.9
2011-03-31,328.23,364.13,1696.97,1696.97,2061.1,0.0,-1.59,38.78,0.8,37.99,0.0,19.24,367.46,39.88,426.58,2525.67,559.23,3.45,150.38,0.0,0.0,713.06,32.9,0.0,2.1,795.65,65.0,272.09,18.82,1140.67,221.57,11.86,1730.02,2525.67,207.06,0.0,0.96,8.08,0.94,37.85,286.07,32.9,65.39,0.0,47.6,0.0,35.9
2012-03-31,328.23,328.23,1916.83,1916.83,2245.06,0.0,6.55,29.07,0.82,36.43,0.0,17.78,724.26,77.31,819.35,3100.84,554.05,3.16,280.09,0.0,0.0,837.31,348.8,0.0,0.29,1461.37,28.0,402.6,29.11,1051.5,115.47,12.79,1639.47,3100.84,408.94,0.0,9.29,25.47,6.25,55.32,286.07,348.8,0.0,28.0,274.97,0.29,0.0
2013-03-31,328.23,328.23,2178.15,2178.15,2506.38,0.0,13.0,33.57,1.09,47.66,0.0,18.77,796.68,77.77,893.22,3447.26,543.94,1.85,380.43,0.0,0.0,926.22,315.78,0.0,0.0,1534.38,63.75,588.2,35.23,921.65,292.91,11.14,1912.88,3447.26,344.08,0.0,2.64,13.69,0.0,50.53,286.07,315.78,0.0,63.75,292.39,48.99,0.0
2014-03-31,328.23,328.23,2405.89,2405.89,2734.12,0.0,20.31,53.42,0.96,74.7,0.0,17.0,680.06,77.72,774.78,3583.6,527.41,1.94,422.91,0.0,0.0,952.26,316.61,0.0,0.0,1559.87,66.36,875.41,59.19,344.46,643.29,35.02,2023.73,3583.6,1690.48,0.0,0.3,11.5,0.0,54.79,286.07,316.61,0.0,66.36,291.0,18.87,0.0
2015-03-31,328.24,328.24,2641.04,2641.04,2969.27,0.0,22.72,47.35,1.12,71.19,127.04,26.39,917.44,82.5,1153.37,4193.84,882.52,1.38,6.15,0.0,0.0,890.05,318.61,0.0,0.0,1497.32,69.9,1032.79,27.61,87.48,1444.94,33.8,2696.51,4193.84,677.84,0.0,0.66,11.8,0.0,60.44,286.07,318.61,0.0,69.9,288.66,2.12,0.0
