Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Short Term Loans And Advances,Equity Share Application Money,Capital Work-In-Progress,Long Term Borrowings,Short Term Borrowings,Inventories,Trade Receivables,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,101.18,101.18,3592.44,3592.44,3693.63,239.04,0.0,0.0,1244.76,623.17,49.43,2326.07,7264.46,1213.98,0.0,1239.75,116.22,0.0,5211.41,0.0,79.37,0.0,2053.05,7264.46,549.88,30.53,556.34,8.13,96.76,4140.51,318.5,0.0,1653.47,3855.44,0.0,1637.17,0.0,25.77,1005.72,0.0,202.56,133.95,87.78,18.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,101.18,101.18,4033.17,4033.17,4134.35,212.8,0.0,0.0,1439.79,735.14,49.93,2793.97,8368.11,1136.53,0.0,1144.89,72.91,0.0,5778.37,0.0,108.68,0.0,2589.74,8368.11,573.24,43.83,719.02,10.11,96.76,5033.64,253.59,0.0,2008.9,4560.58,0.0,2080.54,0.0,8.36,1226.99,0.0,224.17,176.35,134.24,30.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,101.18,101.18,4669.55,4669.55,4770.73,190.21,0.0,0.0,1657.34,1180.18,48.69,3544.78,9972.85,1133.0,0.0,1157.18,102.63,0.0,7013.26,0.0,82.09,0.0,2959.59,9972.85,719.06,38.36,933.38,10.53,96.76,7303.41,247.22,0.0,2315.89,5753.45,0.0,2303.02,0.0,24.18,1467.13,0.02,272.93,301.55,237.57,89.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,101.18,101.18,5433.14,5433.14,5534.32,184.49,0.0,0.0,1787.46,1374.51,124.46,4355.22,11677.0,1273.6,0.0,1381.22,110.32,0.0,7939.07,0.0,83.48,0.0,3737.93,11677.0,811.66,33.42,1692.4,47.36,96.76,8330.5,294.07,0.0,2833.79,6447.53,0.0,2814.92,0.0,107.62,1602.97,22.46,309.7,529.83,462.53,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,101.18,101.18,3027.33,3027.33,3128.51,7.64,0.0,0.0,7.64,31.12,25.74,2621.56,5757.71,12.54,0.0,30.04,54.75,0.0,3313.99,0.0,7.37,0.0,2443.72,5757.71,290.25,0.0,0.0,0.0,96.76,4830.57,242.53,0.0,2564.7,3229.2,0.0,2436.35,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,101.18,101.18,3104.97,3104.97,3206.15,7.69,0.0,0.0,7.69,1.03,24.86,2273.76,5487.6,11.81,0.0,29.31,50.05,0.0,3230.83,0.0,7.44,0.0,2256.77,5487.6,292.04,0.0,0.0,0.0,96.76,6095.6,166.87,0.0,2247.87,3151.47,0.0,2249.33,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,106.04,106.04,3713.67,3713.67,3819.71,7.56,0.0,0.0,7.56,3.87,24.69,2636.02,6522.31,12.35,0.0,29.85,18.15,0.0,4066.44,0.0,6.72,0.0,2455.87,6522.31,286.63,0.0,0.0,0.0,96.76,15236.57,986.26,0.0,2607.46,4018.44,0.0,2449.15,59.02,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,111.29,111.29,4491.87,4491.87,4603.16,4.18,17.76,0.95,22.89,0.75,6.97,462.17,5088.22,29.59,0.0,29.59,0.0,150.0,3518.05,1317.62,221.81,1.37,1570.17,5088.22,286.63,0.0,0.0,0.0,96.76,19989.87,289.11,1522.5,454.45,3060.67,277.79,29.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,111.29,111.29,4737.15,4737.15,4848.44,3.73,17.5,0.61,21.84,0.68,9.64,351.51,5221.79,29.32,0.0,189.65,0.0,100.0,4141.99,668.08,402.44,3.72,1079.8,5221.79,321.68,0.01,0.0,0.0,96.76,2293.94,382.37,981.47,341.19,3581.14,271.2,5.56,0.0,160.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,111.29,111.29,5075.46,5075.46,5186.75,4.05,17.5,0.0,21.55,0.29,8.69,426.67,5634.97,29.47,0.0,29.47,0.0,200.0,4588.3,899.19,138.96,4.94,1046.67,5634.97,289.54,0.0,0.0,0.0,96.76,25109.25,582.94,302.55,417.69,4028.75,330.08,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
