Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,505.57,505.57,0.66,0.32,3.79,500.8,0.86,501.66,0.0,501.66,501.66,16.02,485.64,0.0,0.0,485.64,111.29,43.6,43.6,6.66,59.83,4.47,100.0,40.17
2012-12-31,87.23,87.23,0.69,0.86,2.13,83.55,0.21,83.76,0.0,83.76,83.76,14.23,69.53,0.0,0.0,69.53,111.29,6.2,6.2,6.66,59.83,4.47,100.0,40.17
2013-03-31,80.03,80.03,0.62,0.85,2.1,76.46,0.22,76.68,0.01,76.67,76.67,20.77,55.9,0.0,0.0,55.9,111.29,5.0,5.0,6.66,59.83,4.47,100.0,40.17
2013-06-30,140.01,140.01,1.27,0.85,2.83,135.06,0.14,135.2,0.0,135.2,135.2,24.24,110.96,0.0,0.0,110.96,111.29,10.0,10.0,6.66,59.83,4.47,100.0,40.17
2013-09-30,505.07,505.07,1.26,0.91,6.75,496.15,3.29,499.44,0.0,499.44,499.44,15.32,484.12,0.0,0.0,484.12,111.29,43.5,43.5,6.66,59.83,4.47,100.0,40.17
2013-12-31,87.06,87.06,1.24,1.41,1.25,83.16,10.14,93.3,0.0,93.3,93.3,27.97,65.33,0.0,0.0,65.33,111.29,5.9,5.9,6.66,59.83,4.47,100.0,40.17
2014-03-31,61.96,61.96,1.37,1.4,5.16,54.03,31.8,85.83,0.0,85.83,85.83,17.61,68.22,0.0,4.72,72.94,111.29,6.6,6.6,6.66,59.83,4.47,100.0,40.17
2014-06-30,167.5,167.5,1.28,1.26,2.34,162.62,1.8,164.42,0.0,164.42,164.42,16.81,147.61,0.0,0.0,147.61,111.29,13.3,13.3,6.66,59.83,4.47,100.0,40.17
2014-09-30,645.93,645.93,1.88,1.28,2.72,640.05,30.93,670.98,0.0,670.98,670.98,25.82,645.16,-0.51,0.0,644.65,111.29,57.9,57.9,6.66,59.83,4.47,100.0,40.17
2014-12-31,77.42,77.42,1.59,1.29,20.04,54.5,0.0,54.5,0.0,54.5,54.5,21.54,32.96,0.0,0.0,32.96,111.29,3.0,3.0,6.57,59.03,4.56,100.0,40.97
2015-03-31,81.37,81.37,1.71,1.33,5.24,73.09,0.76,73.85,0.0,73.85,73.85,14.09,59.76,-18.0,0.0,41.76,111.29,3.8,3.8,6.54,58.81,4.58,100.0,41.19
2015-06-30,161.65,161.65,3.54,1.32,6.45,150.34,1.66,152.0,0.0,152.0,152.0,28.92,123.08,0.0,0.0,123.08,111.29,11.1,11.1,6.54,58.81,4.58,100.0,41.19
2015-09-30,575.54,575.54,3.59,1.32,4.48,566.15,1.06,567.21,0.0,567.21,567.21,20.98,546.23,0.0,0.0,546.23,111.29,49.1,49.1,6.5,58.4,4.63,100.0,41.6
2015-12-31,73.36,73.36,3.59,1.32,5.61,62.84,0.93,63.77,0.0,63.77,63.77,18.5,45.27,0.0,0.0,45.27,111.29,4.1,4.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,583.96,583.96,3.71,1.34,6.45,572.46,3.12,575.58,0.0,575.58,575.58,19.65,555.93,0.0,0.0,555.93,111.29,50.0,50.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,116.94,116.94,4.54,1.32,4.32,106.76,1.81,108.57,0.0,108.57,108.57,22.84,85.73,0.0,0.0,85.73,111.29,7.7,7.7,0.0,0.0,0.0,0.0,0.0
2016-09-30,310.46,310.46,4.53,1.31,87.83,216.79,4.13,220.92,0.0,220.92,220.92,22.48,198.44,0.0,0.0,198.44,111.29,17.8,17.8,0.0,0.0,0.0,0.0,0.0
2016-12-31,274.27,274.27,4.52,1.3,86.76,181.69,0.95,182.64,0.0,182.64,182.64,58.67,123.97,0.0,0.0,123.97,111.29,11.1,11.1,0.0,0.0,0.0,0.0,0.0
2017-03-31,178.82,178.82,5.21,1.33,12.97,159.31,1.05,160.36,0.0,160.36,160.36,30.32,130.04,0.0,0.0,130.04,111.29,11.7,11.7,0.0,0.0,0.0,0.0,0.0
2017-06-30,152.45,152.45,5.99,1.31,8.33,136.82,1.04,137.86,0.0,137.86,137.86,26.9,110.96,0.0,0.0,110.96,111.29,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,781.2,781.2,5.98,1.3,8.52,765.4,1.6,767.0,0.0,767.0,767.0,34.84,732.16,0.0,0.0,732.16,111.29,65.8,65.8,0.0,0.0,0.0,0.0,0.0
2017-12-31,316.11,316.11,5.98,1.3,11.96,296.87,1.03,297.9,0.0,297.9,297.9,29.37,268.53,0.0,0.0,268.53,111.29,24.1,24.1,0.0,0.0,0.0,0.0,0.0
2018-03-31,219.92,219.92,6.23,1.32,11.9,200.47,1.07,201.54,0.0,201.54,201.54,-0.36,201.9,0.0,0.0,201.9,111.29,18.1,18.1,0.0,0.0,0.0,0.0,0.0
2018-06-30,104.35,104.35,6.89,1.25,7.38,88.83,1.16,89.99,0.0,89.99,89.99,32.47,57.52,0.0,0.0,57.52,111.29,5.2,5.2,0.0,0.0,0.0,0.0,0.0
2018-09-30,697.5,697.5,6.84,1.1,11.16,678.4,1.14,679.54,0.0,679.54,679.54,33.48,646.06,0.0,0.0,646.06,111.29,58.1,58.1,0.0,0.0,0.0,0.0,0.0
2018-12-31,109.19,109.19,6.89,0.87,8.46,92.97,1.17,94.14,0.0,94.14,94.14,33.52,60.62,0.0,0.0,60.62,111.29,5.4,5.4,0.0,0.0,0.0,0.0,0.0
2019-03-31,82.59,82.59,7.51,0.88,29.4,44.8,1.17,45.97,0.0,45.97,45.97,21.98,23.99,0.0,0.0,23.99,111.29,2.2,2.2,0.0,0.0,0.0,0.0,0.0
2019-06-30,72.78,72.78,8.66,7.82,21.53,34.77,10.5,45.27,2.58,42.69,42.69,19.85,22.84,0.0,0.0,22.84,111.29,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2019-09-30,713.76,713.76,8.96,7.81,14.78,682.21,10.54,692.75,2.58,690.17,690.17,23.59,666.58,0.0,0.0,666.58,111.29,59.9,59.9,0.0,0.0,0.0,0.0,0.0
2019-12-31,77.65,77.65,8.9,7.82,17.49,43.44,10.5,53.94,2.58,51.36,51.36,20.1,31.26,0.0,0.0,31.26,111.29,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2020-03-31,1299.6,1299.6,9.38,8.06,24.02,1258.14,10.53,1268.67,4.8,1263.87,1263.87,157.68,1106.19,0.0,0.0,1106.19,111.29,99.4,99.4,0.0,0.0,0.0,0.0,0.0
2020-06-30,84.43,84.43,9.21,7.91,10.2,57.11,15.11,72.22,0.95,71.27,71.27,28.14,43.13,0.0,0.0,43.13,111.29,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2020-09-30,110.05,110.05,9.07,7.91,9.29,83.78,15.29,99.07,0.97,98.1,98.1,27.21,70.89,0.0,0.0,70.89,111.29,6.4,6.4,0.0,0.0,0.0,0.0,0.0
2020-12-31,92.01,92.01,9.04,7.91,12.47,62.59,13.31,75.9,0.94,74.96,74.96,24.14,50.82,0.0,0.0,50.82,111.29,4.6,4.6,0.0,0.0,0.0,0.0,0.0
2021-03-31,80.98,80.98,8.85,7.95,17.62,46.56,19.96,66.52,0.94,65.58,65.58,31.83,33.75,0.0,0.0,33.75,111.29,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,90.83,90.83,9.96,7.92,15.21,57.74,12.9,70.64,0.78,69.86,69.86,21.0,48.86,0.0,0.0,48.86,111.29,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2021-09-30,1522.27,1522.27,9.46,7.91,12.29,1492.61,13.26,1505.87,0.79,1505.08,1505.08,18.67,1486.41,0.0,0.0,1486.41,111.29,133.6,133.6,0.0,0.0,0.0,0.0,0.0
2021-12-31,84.71,84.71,9.16,7.94,16.18,51.43,14.5,65.93,0.78,65.15,65.15,16.03,49.12,0.0,0.0,49.12,111.29,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2022-03-31,78.65,78.65,7.47,7.97,17.42,45.79,16.04,61.83,0.8,61.03,61.03,14.9,46.13,0.0,0.0,46.13,111.29,4.1,4.1,0.0,0.0,0.0,0.0,0.0
2022-06-30,83.96,83.96,10.57,7.95,21.53,43.91,12.79,56.7,0.66,56.04,56.04,12.83,43.21,0.0,0.0,43.21,111.29,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2022-09-30,1623.64,1623.64,10.49,7.96,19.7,1585.49,13.34,1598.83,0.67,1598.16,1598.16,24.16,1574.0,0.0,0.0,1574.0,111.29,141.4,141.4,0.0,0.0,0.0,0.0,0.0
2022-12-31,90.54,90.54,10.41,7.96,22.3,49.87,16.39,66.26,0.69,65.57,65.57,16.33,49.24,0.0,0.0,49.24,111.29,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2023-03-31,77.01,77.01,10.53,7.97,13.85,44.66,19.34,64.0,4.92,59.08,59.08,13.95,45.13,0.0,0.0,45.13,111.29,4.1,4.1,0.0,0.0,0.0,0.0,0.0
2023-06-30,98.33,98.33,10.79,7.94,21.02,58.58,15.22,73.8,0.54,73.26,73.26,18.0,55.26,0.0,0.0,55.26,111.29,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,1663.7,1663.7,10.74,7.94,16.86,1628.16,15.22,1643.38,0.53,1642.85,1642.85,71.58,1571.27,0.0,0.0,1571.27,111.29,141.2,141.2,0.0,0.0,0.0,0.0,0.0
2023-12-31,101.24,101.24,10.3,7.95,20.56,62.43,23.75,86.18,0.55,85.63,85.63,20.07,65.56,0.0,0.0,65.56,111.29,5.9,5.9,0.0,0.0,0.0,0.0,0.0
2024-03-31,1248.64,1248.64,11.91,7.96,18.74,1210.03,9.59,1219.62,0.54,1219.08,1219.08,14.71,1204.37,0.0,0.0,1204.37,111.29,108.2,108.2,0.0,0.0,0.0,0.0,0.0
2024-06-30,125.55,125.55,11.05,7.95,30.04,76.51,13.5,90.01,0.37,89.64,89.64,23.67,65.97,0.0,0.0,65.97,111.29,5.9,5.9,0.0,0.0,0.0,0.0,0.0
2024-09-30,1129.16,1129.16,11.21,7.94,32.79,1077.22,13.51,1090.73,0.37,1090.36,1090.36,39.21,1051.15,0.0,0.0,1051.15,111.29,94.4,94.4,0.0,0.0,0.0,0.0,0.0
2024-12-31,120.04,120.04,11.04,7.96,17.92,83.12,31.2,114.32,0.37,113.95,113.95,29.96,83.99,0.0,0.0,83.99,111.29,7.5,7.5,0.0,0.0,0.0,0.0,0.0
