Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,885.59,3.31,888.9,469.24,4.32,-20.81,84.98,51.47,47.84,84.27,167.59,2.81,170.4,20.83,149.57,-20.31,129.26,40.01,89.25,0.0,0.0,89.25,57.42,0.0,15.54,15.54,2.83,49.29,2.91,100.0,50.71
2013-03-31,816.47,1.68,818.15,451.05,2.89,10.64,86.04,54.32,47.95,80.04,85.22,29.18,114.4,15.2,99.2,8.18,107.38,35.5,71.88,0.0,0.0,71.88,57.42,0.0,12.52,12.52,2.83,49.29,2.91,100.0,50.71
2013-06-30,819.05,5.86,824.91,474.31,4.19,14.78,84.72,54.43,48.39,64.81,79.28,8.73,88.01,20.27,67.74,-16.38,51.36,14.23,37.13,6.68,0.0,43.81,57.42,0.0,7.63,7.63,2.77,48.22,2.97,100.0,51.78
2013-09-30,839.94,3.95,843.89,516.75,5.9,-26.98,84.7,55.26,47.97,74.71,85.58,5.3,90.88,22.6,68.28,-6.54,61.74,13.65,48.09,-0.32,0.0,47.77,57.42,0.0,8.32,8.32,2.75,47.9,2.99,100.0,52.1
2013-12-31,859.44,2.13,861.57,498.0,0.88,-3.34,84.74,58.41,47.89,77.68,97.31,4.14,101.45,15.96,85.49,6.39,91.88,19.82,72.06,0.0,0.0,72.06,57.42,0.0,12.55,12.55,2.73,47.62,3.01,100.0,52.38
2014-03-31,883.67,3.11,886.78,527.78,5.05,10.78,95.24,64.62,46.21,77.28,59.82,6.54,66.36,11.19,55.17,10.71,65.88,12.98,52.9,0.0,0.0,52.9,57.42,0.0,9.21,9.21,2.73,47.62,3.01,100.0,52.38
2014-06-30,936.25,5.84,942.09,521.34,6.96,6.18,99.71,61.54,49.11,75.73,121.52,30.44,151.96,23.4,128.56,-0.12,128.44,28.97,99.47,0.0,0.0,99.47,57.42,0.0,17.32,17.32,2.73,47.62,3.01,100.0,52.38
2014-09-30,916.87,11.3,928.17,516.3,9.8,-53.2,94.71,64.12,52.15,109.55,134.74,4.57,139.31,27.33,111.98,-2.8,109.18,32.33,76.85,0.0,0.0,76.85,57.42,0.0,13.38,13.38,2.73,47.62,3.01,100.0,52.38
2014-12-31,870.22,11.36,881.58,472.71,10.74,0.25,83.36,65.32,51.92,84.64,112.64,4.82,117.46,26.61,90.85,-3.51,87.34,20.33,67.01,5.61,0.0,72.62,57.42,0.0,12.64,12.64,2.73,47.62,3.01,100.0,52.38
2015-03-31,846.87,15.28,862.15,451.71,8.62,7.26,80.01,74.3,55.67,105.16,79.42,6.03,85.45,22.22,63.23,7.92,71.15,15.74,55.41,3.38,0.0,58.79,57.42,0.0,10.24,10.24,2.73,47.62,3.01,100.0,52.38
2015-06-30,952.2,14.88,967.08,467.23,8.13,11.01,87.8,68.3,63.26,95.36,165.99,4.87,170.86,24.0,146.86,2.88,149.74,44.2,105.54,0.0,0.0,105.54,57.42,0.0,18.38,18.38,2.73,47.62,3.01,100.0,52.38
2015-09-30,900.78,13.11,913.89,468.84,10.8,-27.99,89.05,68.2,62.85,104.03,138.11,5.31,143.42,22.95,120.47,0.0,120.47,34.36,86.11,0.0,0.0,86.11,57.42,0.0,15.0,15.0,2.73,47.62,3.01,100.0,52.38
2015-12-31,842.98,16.73,859.71,408.3,6.99,11.47,77.84,74.72,61.64,91.17,127.58,10.73,138.31,21.48,116.83,0.0,116.83,33.7,83.13,0.0,0.0,83.13,57.42,0.0,14.47,14.47,0.0,0.0,0.0,0.0,0.0
2016-03-31,883.3,20.79,904.09,405.24,9.12,16.03,77.17,90.96,59.14,117.4,129.03,13.46,142.49,25.49,117.0,0.0,117.0,26.61,90.39,0.0,0.0,90.39,57.42,0.0,15.74,15.74,0.0,0.0,0.0,0.0,0.0
2016-06-30,961.43,23.4,984.83,440.67,8.15,17.63,90.17,80.73,62.76,104.59,180.13,7.27,187.4,21.44,165.96,0.0,165.96,46.47,119.49,0.0,0.0,119.49,57.42,0.0,20.81,20.81,0.0,0.0,0.0,0.0,0.0
2016-09-30,879.14,19.95,899.09,439.56,16.88,-26.34,83.04,79.15,62.74,110.57,133.49,7.76,141.25,17.73,123.52,0.0,123.52,25.61,97.91,0.0,0.0,97.91,57.42,0.0,17.05,17.05,0.0,0.0,0.0,0.0,0.0
2016-12-31,891.5,16.68,908.18,438.06,12.13,-19.34,87.23,84.37,64.11,114.46,127.16,5.63,132.79,20.83,111.96,0.0,111.96,23.08,88.88,0.0,0.0,88.88,57.42,0.0,15.48,15.48,0.0,0.0,0.0,0.0,0.0
2017-03-31,1071.85,19.08,1090.93,520.88,12.18,18.69,93.72,97.65,63.2,142.77,141.84,6.15,147.99,18.01,129.98,0.0,129.98,34.09,95.89,0.0,0.0,95.89,57.42,0.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0
2017-06-30,1017.11,19.4,1036.51,569.52,10.11,-19.02,103.29,92.64,65.96,105.64,108.37,21.09,129.46,20.45,109.01,0.0,109.01,20.53,88.48,0.0,0.0,88.48,57.42,0.0,15.41,15.41,0.0,0.0,0.0,0.0,0.0
2017-09-30,1024.61,14.72,1039.33,547.38,16.18,-2.55,104.38,88.56,67.07,106.89,111.42,15.77,127.19,24.35,102.84,0.0,102.84,13.09,89.75,0.0,0.0,89.75,57.42,0.0,15.63,15.63,0.0,0.0,0.0,0.0,0.0
2017-12-31,1126.54,17.66,1144.2,602.74,9.24,-25.34,109.97,93.09,67.43,131.24,155.83,21.06,176.89,17.54,159.35,0.0,159.35,37.78,121.57,0.0,0.0,121.57,57.42,0.0,21.17,21.17,0.0,0.0,0.0,0.0,0.0
2018-03-31,1339.78,21.59,1361.37,693.0,11.87,26.43,115.14,103.55,77.65,165.46,168.27,8.8,177.07,35.63,141.44,0.0,141.44,35.58,105.86,0.0,0.0,105.86,57.42,0.0,18.44,18.44,0.0,0.0,0.0,0.0,0.0
2018-06-30,1423.32,22.56,1445.88,820.48,11.35,-40.78,130.86,97.93,77.55,159.83,188.66,5.55,194.21,37.3,156.91,0.0,156.91,46.03,110.88,0.0,0.0,110.88,57.42,0.0,19.31,19.31,0.0,0.0,0.0,0.0,0.0
2018-09-30,1550.85,33.04,1583.89,881.5,12.43,5.89,140.25,103.74,79.96,180.11,180.01,7.8,187.81,42.1,145.71,0.0,145.71,37.17,108.54,0.0,0.0,108.54,57.48,0.0,18.89,18.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,1583.39,56.76,1640.15,985.38,12.35,-70.06,137.95,108.37,83.01,180.03,203.12,7.45,210.57,47.55,163.02,0.0,163.02,30.56,132.46,0.0,0.0,132.46,57.48,0.0,23.05,23.05,0.0,0.0,0.0,0.0,0.0
2019-03-31,1752.75,36.67,1789.42,945.86,12.29,35.11,138.9,115.13,87.52,200.96,253.65,21.52,275.17,47.7,227.47,0.0,227.47,62.17,165.3,0.0,0.0,165.3,57.48,0.0,28.76,28.76,0.0,0.0,0.0,0.0,0.0
2019-06-30,1493.87,30.17,1524.04,813.0,17.64,-20.19,144.3,116.14,83.53,145.75,223.87,15.02,238.89,45.79,193.1,0.0,193.1,46.83,146.27,0.0,4.09,150.36,57.48,0.0,26.16,26.16,0.0,0.0,0.0,0.0,0.0
2019-09-30,1473.43,35.01,1508.44,766.43,25.7,-40.14,151.56,116.37,83.84,206.1,198.58,22.07,220.65,49.11,171.54,0.0,171.54,10.57,160.97,0.0,176.5,337.47,57.48,0.0,58.71,58.71,0.0,0.0,0.0,0.0,0.0
2019-12-31,1609.56,42.28,1651.84,813.48,29.18,-12.36,171.64,123.13,92.54,176.71,257.52,7.28,264.8,43.67,221.13,0.0,221.13,-90.64,311.77,0.0,0.0,311.77,57.48,0.0,54.24,54.24,0.0,0.0,0.0,0.0,0.0
2020-03-31,1609.68,36.84,1646.52,805.94,18.88,-23.05,161.37,131.44,93.3,227.44,231.2,7.05,238.25,43.54,194.71,0.0,194.71,20.13,174.58,0.0,0.0,174.58,57.48,0.0,30.37,30.37,0.0,0.0,0.0,0.0,0.0
2020-06-30,1266.35,31.32,1297.67,553.4,11.47,60.57,108.4,123.22,93.58,167.4,179.63,11.25,190.88,38.65,152.23,0.0,152.23,43.13,109.1,0.0,0.0,109.1,57.48,0.0,18.98,18.98,0.0,0.0,0.0,0.0,0.0
2020-09-30,1724.91,31.67,1756.58,770.99,21.19,-1.37,168.55,130.54,96.65,195.64,374.39,11.45,385.84,30.75,355.09,0.0,355.09,106.82,248.27,0.0,0.0,248.27,57.48,0.0,43.19,43.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,1791.08,19.78,1810.86,918.96,10.18,-70.73,171.98,132.7,96.82,182.87,368.08,24.44,392.52,22.8,369.72,0.0,369.72,113.07,256.65,0.0,0.0,256.65,59.25,0.0,43.54,43.54,0.0,0.0,0.0,0.0,0.0
2021-03-31,2105.15,18.06,2123.21,1035.15,17.65,-16.68,183.13,147.67,96.55,223.96,435.78,16.16,451.94,19.01,432.93,0.0,432.93,121.89,311.04,0.0,0.0,311.04,59.25,0.0,52.5,52.5,0.0,0.0,0.0,0.0,0.0
2021-06-30,2199.8,0.0,2199.8,1036.94,27.04,24.7,0.0,152.97,100.93,433.27,423.95,20.16,444.11,23.22,420.89,0.0,420.89,129.32,291.57,0.0,0.0,291.57,59.25,0.0,49.21,49.21,0.0,0.0,0.0,0.0,0.0
2021-09-30,2291.23,0.0,2291.23,1164.57,15.84,-59.51,0.0,148.8,105.34,462.92,453.27,16.87,470.14,18.91,451.23,0.0,451.23,139.53,311.7,0.0,0.0,311.7,59.25,0.0,10.52,10.52,0.0,0.0,0.0,0.0,0.0
2021-12-31,2634.4,30.77,2665.17,1327.85,28.47,-112.65,263.8,177.42,106.81,252.65,620.82,15.89,636.71,23.92,612.79,0.0,612.79,209.54,403.25,0.0,0.0,403.25,296.42,0.0,13.61,13.61,0.0,0.0,0.0,0.0,0.0
2022-03-31,2754.35,42.89,2797.24,1218.9,65.92,-45.79,288.27,179.29,106.15,296.96,687.54,10.99,698.53,28.4,670.13,0.0,670.13,169.64,500.49,0.0,0.0,500.49,296.42,0.0,16.88,16.88,0.0,0.0,0.0,0.0,0.0
2022-06-30,3061.98,40.89,3102.87,1448.78,13.99,-54.08,354.21,161.58,105.25,336.22,736.92,16.17,753.09,26.75,726.34,0.0,726.34,217.91,508.43,0.0,0.0,508.43,296.42,0.0,17.15,17.15,0.0,0.0,0.0,0.0,0.0
2022-09-30,2901.01,70.83,2971.84,1351.41,41.52,82.44,0.0,164.56,114.58,645.37,571.96,40.9,612.86,40.75,572.11,0.0,572.11,132.96,439.15,0.0,0.0,439.15,296.42,0.0,14.81,14.81,0.0,0.0,0.0,0.0,0.0
2022-12-31,2856.71,0.0,2856.71,1309.52,41.21,-51.11,0.0,178.45,122.21,611.98,644.45,15.34,659.79,51.82,607.97,0.0,607.97,112.91,495.06,0.0,0.0,495.06,296.42,0.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0
2023-03-31,3085.61,56.81,3142.42,1394.81,13.01,44.65,279.98,179.6,126.4,331.7,772.27,33.65,805.92,56.5,749.42,0.0,749.42,168.72,580.7,0.0,0.0,580.7,296.42,8956.11,19.59,19.59,0.0,0.0,0.0,0.0,0.0
2023-06-30,2773.72,0.0,2773.72,1370.11,20.26,-61.8,0.0,181.96,128.64,611.95,522.6,20.97,543.57,52.5,491.07,0.0,491.07,125.67,365.4,0.0,0.0,365.4,296.42,0.0,12.33,12.33,0.0,0.0,0.0,0.0,0.0
2023-09-30,2586.98,0.0,2586.98,1191.09,18.52,21.35,0.0,192.02,133.21,589.86,440.93,38.11,479.04,63.27,415.77,0.0,415.77,107.05,308.72,0.0,0.0,308.72,296.42,0.0,10.42,10.42,0.0,0.0,0.0,0.0,0.0
2023-12-31,2449.03,57.31,2506.34,1278.01,23.87,-97.59,271.04,207.86,141.32,305.79,376.04,27.79,403.83,51.83,352.0,0.0,352.0,89.19,262.81,0.0,0.0,262.81,296.42,0.0,8.87,8.87,0.0,0.0,0.0,0.0,0.0
2024-03-31,2919.63,0.0,2919.63,1357.07,20.96,23.72,0.0,208.49,152.68,662.22,494.49,32.55,527.04,68.0,459.04,0.0,459.04,21.94,437.1,0.0,0.0,437.1,296.42,0.0,14.75,14.75,0.0,0.0,0.0,0.0,0.0
2024-06-30,2736.3,0.0,2736.3,1357.95,29.12,-39.06,0.0,211.17,155.05,645.14,376.93,35.07,412.0,75.7,336.3,0.0,336.3,86.36,249.94,0.0,0.0,249.94,296.42,0.0,8.43,8.43,0.0,0.0,0.0,0.0,0.0
2024-09-30,2703.53,0.0,2703.53,1382.55,18.74,-50.29,0.0,211.16,158.39,651.16,331.82,43.55,375.37,72.01,303.36,0.0,303.36,78.25,225.11,0.0,0.0,225.11,296.42,0.0,7.59,7.59,0.0,0.0,0.0,0.0,0.0
2024-12-31,2681.89,79.75,2761.64,1379.73,18.48,-62.92,0.0,216.72,158.81,652.19,398.63,52.78,451.41,76.07,375.34,0.0,375.34,95.48,279.86,0.0,0.0,279.86,296.42,0.0,9.44,9.44,0.0,0.0,0.0,0.0,0.0
2025-03-31,3402.88,93.62,3496.5,1482.76,29.55,175.54,279.61,230.06,157.71,422.89,718.38,43.57,761.95,72.57,689.38,0.0,689.38,176.22,513.16,0.0,0.0,513.16,296.42,11271.21,17.31,17.31,0.0,0.0,0.0,0.0,0.0
