Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Other Assets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Share Capital Suspense,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,65.54,65.54,314.4,375.27,440.81,221.07,98.22,0.0,0.0,319.28,16.68,161.01,6.09,32.3,216.07,976.17,500.87,0.0,67.19,568.05,111.38,0.0,0.0,688.06,0.0,89.49,93.59,54.89,50.15,0.0,288.11,976.17,215.65,7.4,117.93,10.29,2.03,12.68,98.92,0.0,0.0,60.87,0.0,183.71,0.0,0.0,20.12,0.0,8.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,65.54,65.54,360.0,422.89,488.43,383.97,106.43,0.0,0.0,490.39,42.81,217.94,7.8,44.07,312.61,1291.44,711.57,2.43,114.79,828.78,103.54,0.0,0.0,936.95,0.0,176.26,90.96,9.08,78.2,0.0,354.5,1291.44,238.61,12.58,150.58,0.0,2.03,7.57,96.08,0.0,0.0,62.89,0.0,289.52,0.0,0.0,114.81,0.0,4.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,65.54,65.54,470.24,531.21,596.76,513.51,113.18,0.0,0.0,626.69,90.33,209.67,8.47,46.76,355.23,1581.55,848.66,3.08,245.5,1097.24,101.11,0.0,0.0,1203.48,0.0,157.3,120.07,8.43,92.28,0.0,378.08,1581.55,226.53,33.42,328.86,0.0,2.03,3.5,96.08,0.0,0.0,60.98,0.0,301.96,0.0,0.0,116.2,0.0,5.13,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,68.9,68.9,745.95,804.88,873.78,472.08,130.52,0.0,0.0,602.6,11.56,224.34,9.03,47.37,292.29,1768.68,1043.6,4.33,114.5,1162.44,99.07,0.0,0.0,1264.8,0.0,184.09,204.93,17.91,96.95,0.0,503.88,1768.68,141.23,50.28,798.3,0.02,2.03,2.5,96.08,0.0,0.0,58.93,0.0,297.67,0.0,0.0,15.82,0.0,3.3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,68.9,68.9,844.58,902.65,971.56,466.54,152.57,0.0,0.0,619.12,32.09,290.4,9.73,27.14,359.36,1950.03,1142.04,4.33,89.3,1235.67,147.53,0.0,0.0,1387.34,0.0,228.59,233.0,7.23,93.88,0.0,562.7,1950.03,149.34,52.2,578.06,0.0,2.03,51.03,95.13,0.0,0.0,58.07,0.0,346.91,0.0,0.0,14.34,0.0,4.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,61.71,61.71,857.4,914.77,976.48,762.92,175.93,0.0,0.0,938.85,121.9,264.64,46.61,20.29,453.44,2368.76,1360.72,18.92,280.8,1660.45,133.6,0.0,0.0,1796.68,0.0,191.11,230.24,3.1,147.64,0.0,572.09,2368.76,262.79,29.15,658.56,0.0,2.03,35.06,133.6,0.0,0.0,57.37,0.0,400.52,0.0,0.0,121.74,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,61.52,61.52,1149.98,1206.48,1268.01,827.07,210.92,0.0,0.0,1037.99,112.27,376.94,20.9,74.24,584.35,2890.35,1750.24,21.5,127.07,1898.81,164.62,0.0,0.0,2068.44,0.0,249.03,340.23,65.35,167.3,0.0,821.91,2890.35,141.75,22.53,562.24,1.49,2.03,0.0,164.62,0.0,0.0,56.5,0.0,376.89,0.0,0.0,208.86,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,61.52,61.52,1522.38,1578.48,1640.0,434.72,209.42,0.0,10.34,654.48,130.79,484.04,321.93,9.07,945.84,3240.33,1784.13,22.24,113.07,1919.44,91.95,59.09,1.36,2071.84,109.95,438.73,441.78,63.86,112.01,2.16,1168.49,3240.33,249.23,24.53,792.86,5.68,2.03,0.0,91.95,25.0,84.95,56.11,0.0,669.11,16.4,0.0,50.44,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,58.44,58.44,1732.54,1788.27,1846.7,579.31,217.09,0.0,10.4,806.8,294.43,444.89,218.08,13.41,970.8,3624.31,1840.35,20.43,414.26,2275.05,92.3,95.17,3.04,2465.55,126.4,412.2,408.03,129.21,82.18,0.74,1158.76,3624.31,210.86,228.32,1220.37,3.82,1.93,0.0,92.3,103.71,25.18,55.73,0.0,643.1,21.48,0.0,40.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,58.44,58.44,1924.46,1954.08,2012.51,576.62,254.88,0.0,11.89,843.39,241.63,430.99,323.46,7.35,1003.43,3859.34,2165.17,17.81,219.69,2402.67,92.61,120.69,2.3,2618.27,135.13,495.91,452.57,76.96,79.72,0.77,1241.07,3859.34,374.92,172.58,1083.55,4.99,1.93,0.0,92.61,135.66,0.0,29.61,0.0,849.06,10.77,0.0,27.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
