Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-06-30,78.05,78.05,46.65,1.49,33.28,-3.37,0.95,-2.42,1.03,-3.45,-3.45,-0.75,-2.7,-2.7,62.76,-0.43,-0.42
2017-09-30,104.73,104.73,59.29,1.27,38.2,5.98,2.28,8.26,1.15,7.11,7.11,1.54,5.57,5.57,63.16,0.0,0.0
2017-12-31,107.77,107.77,58.44,1.43,34.09,13.81,1.69,15.49,1.02,14.48,14.48,3.77,10.7,10.7,63.16,1.71,1.66
2018-03-31,168.98,168.98,58.49,1.49,36.86,72.14,2.66,74.8,2.01,72.79,72.79,15.73,57.06,57.06,67.88,9.14,8.91
2018-06-30,91.12,91.12,56.36,1.41,36.31,-2.96,7.84,4.88,1.97,2.91,2.91,0.64,2.27,2.27,67.99,0.33,0.33
2018-09-30,135.22,135.22,63.17,1.45,50.83,19.77,5.69,25.45,1.9,23.55,23.55,5.18,18.37,18.37,68.06,2.7,2.65
2018-12-31,137.72,137.72,64.44,1.49,50.57,21.22,4.28,25.5,2.74,22.76,22.76,7.9,14.86,14.86,68.09,2.19,2.14
2019-03-31,187.99,187.99,64.76,1.45,46.5,75.27,2.42,77.7,1.8,75.89,75.89,15.57,60.33,60.33,68.46,8.86,8.7
2019-06-30,113.57,113.57,66.23,4.37,41.92,1.05,2.94,3.99,1.78,2.21,2.21,0.5,1.71,1.71,68.72,0.25,0.25
2019-09-30,131.13,131.13,78.18,4.48,45.75,2.72,4.78,7.5,3.3,4.2,4.2,0.95,3.25,3.25,68.99,0.47,0.47
2019-12-31,161.33,161.33,76.76,4.44,50.28,29.85,4.04,33.89,2.21,31.68,31.68,7.95,23.74,23.74,69.08,3.46,3.42
2020-03-31,171.37,171.37,71.55,4.8,53.22,41.81,9.08,50.9,3.42,47.48,47.48,10.27,37.21,37.21,69.09,5.39,5.38
2020-06-30,112.29,112.29,65.34,5.29,34.39,7.26,3.8,11.06,1.73,9.33,9.33,2.15,7.18,7.18,69.13,1.04,1.03
2020-09-30,145.17,145.17,60.54,4.45,46.18,33.99,2.93,36.92,0.74,36.18,36.18,8.66,27.52,27.52,69.17,3.98,3.95
2020-12-31,169.12,169.12,71.23,4.04,32.85,61.0,3.44,64.45,2.14,62.31,62.31,29.41,32.9,32.9,69.28,4.76,4.72
2021-03-31,183.82,183.82,82.14,4.73,38.47,58.48,4.14,62.62,0.74,61.88,61.88,11.88,50.0,50.0,69.31,7.22,7.12
2021-06-30,144.58,144.58,79.74,3.7,45.24,15.9,10.49,26.39,0.6,25.79,25.79,6.38,19.41,19.41,69.36,2.8,2.77
2021-09-30,169.44,169.44,87.93,3.84,38.65,39.01,6.82,45.83,0.51,45.32,45.32,10.59,34.73,34.73,69.44,5.01,4.96
2021-12-31,186.2,186.2,87.59,3.87,43.6,51.14,6.94,58.08,0.63,57.45,57.45,11.74,45.71,45.71,69.49,6.58,6.29
2022-03-31,210.57,210.57,93.64,3.92,53.27,59.74,5.68,65.42,1.43,63.99,63.99,7.85,56.14,56.14,69.54,8.08,8.04
2022-06-30,167.7,167.7,96.54,4.31,53.59,13.26,9.64,22.9,0.77,22.14,22.14,3.29,18.84,18.84,69.6,2.71,2.69
2022-09-30,201.76,201.76,103.64,4.74,65.82,27.56,7.11,34.68,1.08,33.6,33.6,6.11,27.49,27.49,69.62,3.95,3.93
2022-12-31,234.9,234.9,107.59,4.79,71.58,50.94,9.28,60.23,0.99,59.23,59.23,12.05,47.18,47.18,69.64,6.78,6.75
2023-03-31,283.44,283.44,119.43,5.33,72.56,86.13,7.11,93.24,1.04,92.2,92.2,15.82,76.38,76.38,69.66,10.97,10.73
2023-06-30,223.6,223.6,120.55,5.33,75.45,22.27,11.95,34.22,1.07,33.15,33.15,5.18,27.97,27.97,69.69,4.02,3.93
2023-09-30,263.96,263.96,132.52,6.32,79.32,45.79,8.41,54.2,1.03,53.17,53.17,9.53,43.64,43.64,69.74,6.26,6.14
2023-12-31,298.88,298.88,138.26,6.37,88.91,65.34,11.48,76.82,1.29,75.53,75.53,10.24,65.29,65.29,69.87,4.68,4.52
2024-03-31,349.68,349.68,146.15,6.86,85.66,111.01,13.72,124.73,1.18,123.55,123.55,22.32,101.23,101.23,139.78,7.24,7.01
2024-06-30,282.77,282.77,147.38,7.15,94.19,34.04,21.65,55.69,0.94,54.75,54.75,12.36,42.39,42.39,139.88,3.03,2.94
2024-09-30,331.27,331.27,153.37,7.4,101.7,68.8,18.87,87.67,0.89,86.78,86.78,20.91,65.87,65.87,139.92,4.71,4.56
2024-12-31,346.34,346.34,157.21,8.08,86.43,94.62,5.95,100.57,1.35,99.22,99.22,15.52,83.7,83.7,139.96,5.98,5.79
2025-03-31,393.97,393.97,158.58,8.04,106.93,120.42,13.21,133.63,1.36,132.28,132.28,30.96,101.32,101.32,140.21,7.23,7.09
