Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-03-31,152.17,152.17,24.17,24.6,18.5,70.47,14.44,2.56,16.99,12.0,4.99,0.0,4.99,0.42,4.57,4.57,43.96,1.04,0.69
2021-06-30,236.21,236.21,57.6,23.56,17.77,78.21,59.07,2.66,61.73,12.19,49.54,0.0,49.54,12.21,37.33,37.33,54.9,6.8,3.97
2021-09-30,251.76,251.76,62.29,28.37,18.97,74.09,68.05,5.42,73.46,11.54,61.93,0.0,61.93,15.51,46.42,46.42,105.0,4.42,0.0
2021-12-31,235.48,235.48,35.87,27.59,19.56,86.92,65.53,6.14,71.67,10.79,60.88,0.0,60.88,16.78,44.1,44.1,105.0,4.5,4.5
2022-03-31,201.15,201.15,32.03,29.89,20.69,92.25,26.29,6.6,32.89,15.49,17.4,0.0,17.4,2.96,14.44,14.44,105.0,1.61,1.57
2022-06-30,222.75,222.75,29.69,28.72,20.3,86.89,57.16,6.41,63.57,13.43,50.14,0.0,50.14,12.55,37.6,37.6,101.5,3.72,3.72
2022-09-30,297.79,297.79,41.16,32.46,20.82,119.2,84.16,7.94,92.1,12.5,79.6,-4.63,74.97,19.14,55.84,55.84,101.5,5.54,5.54
2022-12-31,290.72,290.72,0.0,36.62,21.03,152.29,80.78,8.24,89.02,12.86,76.17,0.0,76.17,19.29,56.88,56.88,101.5,5.63,5.63
2023-03-31,302.73,302.73,0.0,38.24,21.57,166.7,76.22,8.64,84.86,13.31,71.55,0.0,71.55,15.97,55.58,55.58,101.5,5.51,5.51
2023-06-30,270.35,270.35,0.0,41.57,23.64,146.24,58.91,7.59,66.5,13.85,52.65,0.0,52.65,13.32,39.33,39.33,101.5,3.87,3.87
2023-09-30,318.67,318.67,0.0,38.49,25.01,165.86,89.3,8.88,98.18,12.59,85.6,0.0,85.6,21.61,63.98,63.98,101.5,6.3,6.3
2023-12-31,321.79,321.79,0.0,41.28,25.93,166.76,87.82,8.24,96.06,13.52,82.55,0.0,82.55,21.4,61.14,61.14,101.5,6.03,6.03
2024-03-31,325.76,325.76,0.0,47.38,30.57,175.51,72.3,12.24,84.54,16.11,68.42,0.0,68.42,17.99,50.44,50.44,101.5,4.97,4.97
2024-06-30,315.02,315.02,41.26,47.06,32.44,136.68,57.59,11.48,69.07,17.44,51.63,0.0,51.63,12.9,38.73,38.73,101.5,3.82,3.82
2024-09-30,403.93,403.93,52.2,51.51,33.22,156.73,110.26,10.72,120.99,17.39,103.6,0.0,103.6,26.25,77.34,77.34,101.55,7.62,7.62
2024-12-31,381.57,381.57,51.96,47.2,33.54,152.25,96.62,12.85,109.46,17.35,92.11,0.0,92.11,25.14,66.98,66.98,101.55,6.6,6.6
