Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Employees Stock Options,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,21.05,30.19,51.24,251.64,251.64,302.88,0.0,139.72,0.0,0.0,176.74,570.5,747.94,43.95,26.41,1388.8,1868.42,296.39,0.36,30.25,0.0,327.0,21.09,0.82,0.0,0.25,349.15,0.0,481.83,468.81,472.86,95.76,0.0,1519.26,1868.42,243.55,7.6,0.7,174.9,56.55,2.48,15.66,0.0,0.0,0.0,0.0,37.02,1429.86,0.0,0.0,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,21.05,45.24,66.29,289.05,289.05,355.34,0.0,205.73,0.0,0.0,252.43,563.73,671.62,28.39,35.32,1299.07,1906.84,395.55,0.36,8.56,0.0,404.48,21.18,0.0,0.0,0.33,425.99,0.0,393.87,501.5,418.9,166.59,0.0,1480.86,1906.84,250.93,15.26,1.01,417.24,138.63,7.27,15.65,0.0,0.0,0.0,0.0,46.7,1401.39,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,29.92,45.24,75.16,718.34,718.34,793.5,6.55,302.52,0.0,0.0,358.22,773.84,1377.34,78.99,74.46,2304.64,3462.92,1003.73,0.36,19.23,0.0,1023.32,23.28,0.0,0.0,0.49,1047.09,0.0,869.91,660.81,588.51,296.6,0.0,2415.83,3462.92,333.22,34.74,1.01,911.6,560.04,59.0,7.78,0.0,0.0,0.0,0.0,55.7,2544.05,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,36.47,45.24,81.71,806.68,806.68,888.39,0.0,458.8,0.0,0.0,530.6,1010.97,1405.61,108.96,113.72,2639.27,4058.26,1054.46,3.38,38.33,0.0,1096.16,42.45,0.0,0.0,0.24,1138.86,0.0,957.87,826.33,671.17,464.03,0.0,2919.4,4058.26,517.52,29.07,0.99,877.53,528.94,21.63,20.15,0.0,0.0,0.0,0.0,71.8,2272.19,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,37.76,45.24,83.0,1001.21,1001.21,1084.21,22.42,533.93,0.0,0.0,635.72,1025.64,2660.61,230.11,116.43,4032.79,5775.13,1172.69,5.54,23.38,0.0,1201.62,81.92,0.0,0.0,0.22,1283.75,0.0,2138.23,1037.71,578.9,736.54,0.0,4491.38,5775.13,561.64,28.43,4.6,1361.25,485.18,21.43,59.57,0.0,0.0,0.0,0.0,101.78,3549.19,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,37.76,45.24,83.0,1079.57,1079.57,1162.57,22.8,712.16,0.0,0.0,846.94,1008.69,2705.09,168.5,144.24,4026.52,6058.84,1328.04,6.73,78.66,0.0,1413.42,81.78,0.0,0.0,0.18,1495.39,0.0,1509.33,1026.83,1014.79,1012.5,0.0,4563.45,6058.84,633.79,55.67,2.93,1692.9,648.9,7.62,50.2,0.0,0.0,0.0,0.0,134.78,4452.98,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,52.58,0.0,52.58,1833.44,1840.49,1893.07,31.72,710.34,0.0,0.0,878.99,1636.02,2710.18,150.25,199.86,4696.31,7500.08,1953.79,6.73,64.41,0.0,2024.92,196.73,0.0,0.0,0.15,2221.8,0.0,1587.28,1196.82,1501.38,992.79,0.0,5278.28,7500.08,722.37,42.39,3.34,1345.82,760.31,15.49,64.21,0.0,0.0,7.05,0.0,168.65,5853.28,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,66.51,2.0,68.51,2080.19,2087.24,2155.74,0.0,656.37,15.12,3.11,873.65,2520.35,3451.56,521.96,27.65,6521.52,9550.91,2100.6,2.77,181.87,0.0,2285.24,186.79,0.0,113.35,0.3,2585.68,0.45,2823.41,2230.05,1257.39,553.47,100.45,6965.23,9550.91,969.2,5.96,1.61,2267.22,906.35,65.56,79.35,0.5,0.0,7.05,0.0,199.05,4637.47,0.63,888.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,66.67,2.0,68.67,2131.1,2138.15,2206.82,0.0,799.71,33.25,1.67,1087.49,3787.4,4124.08,1461.52,17.03,9390.03,12684.34,2341.38,3.62,237.01,0.0,2582.0,210.29,0.0,84.71,1.66,2878.65,0.44,3660.2,3099.02,2399.23,470.67,176.12,9805.69,12684.34,1340.55,7.77,0.0,3234.33,1084.39,49.06,103.0,0.46,0.0,7.05,0.0,252.87,6912.79,0.74,933.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,66.78,2.0,68.78,2290.39,2297.44,2366.23,0.0,1037.42,27.95,0.0,1312.05,4401.32,4823.29,1503.23,21.2,10749.05,14427.32,2476.9,2.9,213.32,0.0,2693.12,261.08,0.0,118.91,0.34,3073.46,21.83,3344.15,4246.77,2949.94,545.6,245.56,11353.86,14427.32,1798.79,5.06,1.03,4321.07,1467.51,66.43,153.73,22.3,0.06,7.05,0.0,246.67,8164.48,6.9,1455.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
