Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,8175.16,-3.95,8171.22,5077.02,2829.49,-395.6,43.1,39.55,0.0,427.47,150.17,84.65,234.82,170.84,63.98,0.0,63.98,14.57,49.41,49.41,66.78,1.48,1.48,15.19,45.49,17.97,98.75,53.83
2013-03-31,7516.47,37.5,7553.96,4054.24,2746.28,-27.26,36.94,45.8,0.0,626.39,71.58,102.86,174.44,93.95,80.49,0.0,80.49,1.9,78.59,78.59,66.78,2.35,2.35,15.13,45.32,15.19,83.17,45.48
2013-06-30,4638.95,15.6,4654.55,2602.53,1084.16,441.22,39.2,40.31,0.0,382.71,64.42,81.73,146.15,140.21,5.94,0.0,5.94,2.86,3.08,3.08,66.81,0.09,0.09,15.11,45.24,15.25,83.36,45.65
2013-09-30,6022.67,29.34,6052.01,3206.03,2100.2,180.59,39.83,41.0,0.0,441.75,42.6,63.75,106.35,101.59,4.76,0.0,4.76,2.17,2.58,2.58,66.81,0.08,0.08,14.77,44.23,15.18,81.46,45.43
2013-12-31,7092.75,6.85,7099.6,4207.03,2846.76,-664.34,52.49,40.35,0.0,582.71,34.6,47.36,81.96,51.08,30.87,0.0,30.87,3.47,27.41,27.41,66.81,0.82,0.82,14.74,44.14,16.06,86.09,48.09
2014-03-31,6308.07,69.44,6377.51,3806.8,1603.92,274.09,45.39,42.83,0.0,493.06,111.41,27.23,138.65,141.55,-2.91,11.05,8.15,27.8,-19.65,-19.65,66.81,-0.59,-0.59,14.73,44.11,15.75,84.39,47.16
2014-06-30,5646.8,78.67,5725.47,3570.87,1609.52,63.6,44.5,55.4,0.0,272.97,108.62,10.48,119.1,113.33,5.77,0.0,5.77,5.59,0.18,0.18,66.81,0.0,0.0,14.74,44.11,15.8,84.65,47.31
2014-09-30,6985.22,81.78,7066.99,4059.25,2534.65,-54.47,46.13,24.49,0.0,361.18,95.76,7.45,103.21,91.18,12.03,0.0,12.03,6.81,5.22,5.22,66.81,0.16,0.16,14.74,44.11,15.8,84.65,47.31
2014-12-31,5691.75,85.61,5777.37,4366.21,905.41,-130.34,58.08,42.01,0.0,477.44,58.55,16.08,74.63,101.47,-26.84,64.93,38.1,1.54,36.55,36.55,66.81,1.09,1.09,14.74,44.11,15.79,84.6,47.28
2015-03-31,9629.12,110.13,9739.25,3984.24,4751.8,269.34,52.78,26.11,0.0,542.42,112.56,68.53,181.09,156.35,24.74,0.0,24.74,5.75,18.99,18.99,66.81,0.57,0.57,14.79,44.27,15.73,84.5,47.09
2015-06-30,5666.18,184.19,5850.38,3625.8,1405.33,58.35,46.26,36.61,0.0,551.39,126.64,18.14,144.77,122.57,22.2,1.64,23.84,22.27,1.57,1.57,66.82,0.01,0.01,14.74,44.12,15.88,85.03,47.51
2015-09-30,5337.87,314.23,5652.09,3561.81,1080.26,253.57,48.45,36.26,0.0,486.97,184.78,17.92,202.7,181.06,21.63,0.0,21.63,14.56,7.08,7.08,66.82,0.21,0.21,14.74,44.12,16.09,86.19,48.16
2015-12-31,8122.54,62.75,8185.29,3802.6,3810.71,-212.78,62.24,37.09,0.0,527.88,157.55,6.56,164.12,145.77,18.35,0.0,18.35,16.05,2.3,2.3,66.82,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2016-03-31,8436.64,-387.89,8048.75,3632.63,4359.67,211.63,54.43,39.92,0.0,630.57,-880.1,26.3,-853.8,169.34,-1023.13,0.75,-1022.38,-132.73,-889.65,-889.65,66.82,-26.63,-26.63,0.0,0.0,0.0,0.0,0.0
2016-06-30,4951.99,49.53,5001.52,2728.06,1521.15,184.39,50.16,38.66,0.0,307.19,171.91,14.94,186.85,232.0,-45.15,45.4,0.25,-0.78,1.03,1.03,66.82,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2016-09-30,4846.07,281.89,5127.96,2559.36,1779.49,240.55,52.19,39.97,0.0,330.67,125.73,14.91,140.63,137.15,3.48,0.0,3.48,-23.27,26.75,26.75,66.82,1.67,1.67,0.0,0.0,0.0,0.0,0.0
2016-12-31,4939.63,92.36,5031.99,2648.49,1947.59,30.47,42.92,37.79,0.0,306.22,18.51,45.36,63.87,258.67,-194.8,0.0,-194.8,22.03,-216.83,-216.83,66.82,-7.14,-7.14,0.0,0.0,0.0,0.0,0.0
2017-03-31,3767.28,-401.85,3365.43,2483.51,534.87,-153.15,41.41,39.63,1302.97,368.93,-1252.75,18.27,-1234.48,204.39,-1438.86,-0.5,-1439.36,-371.21,-1068.15,-1068.15,65.29,-38.63,-38.63,0.0,0.0,0.0,0.0,0.0
2017-06-30,3261.21,0.0,3261.21,2213.36,699.66,28.08,36.12,35.2,275.34,261.4,-287.96,18.97,-268.99,196.93,-465.92,0.0,-465.92,-179.69,-286.24,-286.24,65.29,-8.74,-8.75,0.0,0.0,0.0,0.0,0.0
2017-09-30,3088.76,0.0,3088.76,2269.29,337.46,53.14,47.34,35.54,2892.83,305.54,-2852.37,3.47,-2848.9,299.48,-3148.38,0.0,-3148.38,-265.67,-2882.71,-2882.71,65.29,-88.38,-88.38,0.0,0.0,0.0,0.0,0.0
2017-12-31,3024.84,0.0,3024.84,2476.73,216.6,-28.6,40.69,35.07,1667.85,274.9,-1658.4,25.11,-1633.29,323.32,-1956.61,0.0,-1956.61,-0.01,-1956.6,-1956.6,65.29,-59.93,-59.93,0.0,0.0,0.0,0.0,0.0
2018-03-31,2619.33,0.0,2619.33,2249.35,171.98,-46.99,33.26,34.55,314.16,253.94,-390.92,-12.41,-403.32,11.79,-415.12,0.0,-415.12,8.41,-423.52,-423.52,65.29,-12.97,-12.97,0.0,0.0,0.0,0.0,0.0
2018-06-30,2972.87,0.0,2972.87,2556.85,72.57,13.9,34.86,34.96,0.3,254.6,4.83,19.65,24.48,1.87,22.61,0.0,22.61,0.0,22.61,22.61,65.29,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2018-09-30,3142.7,0.0,3142.7,2734.8,47.26,36.85,40.86,33.5,0.0,248.47,0.96,17.1,18.06,2.35,15.71,0.0,15.71,0.0,15.71,15.71,65.29,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2018-12-31,3473.65,0.0,3473.65,3127.03,50.37,-48.98,37.74,36.32,9.66,279.86,-18.36,26.42,8.07,1.77,6.29,0.0,6.29,0.0,6.29,6.29,65.29,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2019-03-31,3146.33,0.0,3146.33,2549.22,185.15,77.03,37.73,33.47,3.44,257.73,2.56,30.53,33.1,0.99,32.11,0.0,32.11,0.0,32.11,32.11,65.29,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2019-06-30,3112.33,0.0,3112.33,2745.87,64.68,-35.51,36.66,33.73,5.14,258.29,3.46,13.33,16.79,2.77,14.02,0.0,14.02,0.0,14.02,14.02,65.29,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2019-09-30,3101.68,0.0,3101.68,2525.69,91.16,65.03,42.14,34.08,0.0,273.79,69.8,13.66,83.45,1.63,81.82,0.0,81.82,0.0,81.82,81.82,65.29,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2019-12-31,3712.81,0.0,3712.81,3187.82,88.32,-40.74,35.64,33.71,9.91,245.77,152.38,12.85,165.24,13.87,151.37,7466.07,7617.43,0.0,7617.43,7617.43,59.15,3947.77,3947.77,0.0,0.0,0.0,0.0,0.0
2020-03-31,3190.96,0.0,3190.96,2803.11,142.68,-64.79,38.26,34.25,0.0,198.3,39.16,18.06,57.22,94.04,-36.82,-18.43,-55.25,-14.0,-41.25,-41.25,59.15,-4.68,-4.68,0.0,0.0,0.0,0.0,0.0
2020-06-30,3043.08,0.0,3043.08,2617.35,113.5,-57.46,34.42,32.83,8.16,203.61,90.68,14.07,104.75,92.49,12.26,0.0,12.26,0.0,12.26,12.26,59.15,0.41,0.41,0.0,0.0,0.0,0.0,0.0
2020-09-30,3971.72,0.0,3971.72,3249.9,94.79,72.38,34.22,34.06,-8.16,289.1,205.43,19.01,224.43,97.69,126.74,0.0,126.74,0.0,126.74,126.74,59.15,4.29,4.29,0.0,0.0,0.0,0.0,0.0
