Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,3520.81,0.0,3520.81,2647.1,14.53,-581.96,0.0,69.32,228.61,0.0,416.27,726.94,9.05,735.99,370.52,365.47,-30.28,335.19,95.37,239.82,239.82,826.28,2.9,2.9,54.41,65.84,1.34,4.74,1.62
2013-03-31,3913.57,0.0,3913.57,2835.57,0.0,-344.64,0.0,74.94,219.51,0.0,385.91,742.28,13.68,755.96,405.47,350.49,30.13,380.62,149.84,230.78,230.78,826.28,2.79,2.77,54.4,65.84,0.35,1.25,0.42
2013-06-30,2995.18,0.0,2995.18,1972.18,4.72,-341.09,0.0,76.41,236.05,0.0,400.77,646.14,9.94,656.08,415.33,240.75,-190.89,49.86,16.95,32.91,32.91,1377.13,0.28,0.28,87.53,63.56,5.66,11.28,4.11
2013-09-30,3740.67,0.0,3740.67,3410.88,5.73,-1167.79,0.0,70.23,244.91,0.0,557.15,619.56,15.29,634.85,417.98,216.87,-74.57,142.3,45.32,96.98,96.98,1377.13,0.7,0.7,85.08,61.78,0.66,1.26,0.48
2013-12-31,3700.24,0.0,3700.24,3105.17,0.0,-794.46,0.0,74.48,249.21,0.0,520.25,545.59,18.94,564.53,442.23,122.3,26.61,148.91,50.62,98.29,98.29,1377.13,0.71,0.71,84.48,61.34,0.56,1.04,0.41
2014-03-31,3889.78,0.0,3889.78,2190.83,0.0,440.81,0.0,77.46,235.08,0.0,382.27,563.33,26.0,589.33,458.17,131.16,65.69,196.85,66.2,130.65,130.65,1377.13,0.95,0.95,84.31,61.22,0.29,0.54,0.21
2014-06-30,3734.9,0.0,3734.9,2238.14,0.0,325.95,0.0,72.71,244.29,0.0,277.18,576.63,7.27,583.9,517.26,66.64,0.0,66.64,23.16,43.48,43.48,1377.13,0.32,0.32,83.75,60.81,0.15,0.27,0.11
2014-09-30,3744.84,12.21,3757.05,2855.29,0.0,-322.28,0.0,68.96,245.07,0.0,315.55,594.46,33.43,627.89,559.17,68.72,0.0,68.72,23.36,45.36,45.36,1377.13,0.33,0.33,83.55,60.67,0.47,0.87,0.34
2014-12-31,3571.74,20.47,3592.21,3608.98,0.0,-1252.45,0.0,61.39,248.3,0.0,318.41,607.58,31.01,638.59,599.13,39.46,0.0,39.46,13.6,25.86,25.86,1377.33,0.19,0.19,83.57,60.67,0.13,0.23,0.09
2015-03-31,3422.78,33.76,3456.54,3382.81,0.0,-1116.13,0.0,57.58,239.26,0.0,274.55,618.47,5.06,623.53,586.06,37.47,0.0,37.47,32.35,5.12,5.12,1377.33,0.04,0.04,85.16,61.83,0.13,0.24,0.09
