Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Current Investments,Trade/Other Goods,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,88.23,83.67,171.9,218.0,218.0,389.9,451.24,0.0,0.0,502.97,367.18,124.75,8.7,14.99,515.62,1429.91,448.12,0.0,131.41,0.0,579.53,4.07,0.0,0.0,584.81,203.53,420.33,157.27,63.97,0.0,845.1,1429.91,73.88,7.0,0.0,95.04,0.0,0.75,4.28,0.08,0.0,51.73,1.21,2.4,0.0,70.8,0.0,0.0,21.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,134.02,84.33,218.35,460.73,460.73,679.08,928.46,0.0,0.0,1005.08,390.45,138.35,7.05,24.52,560.37,2247.85,701.08,0.0,178.19,0.0,879.27,7.85,0.0,0.0,888.64,363.27,402.97,496.8,93.17,3.0,1359.21,2247.85,223.01,12.74,5.13,273.54,0.0,0.75,10.95,1.62,0.0,76.62,1.52,3.36,0.0,112.59,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,157.47,68.0,225.47,650.06,650.06,875.53,1718.1,0.0,0.0,1825.18,426.4,154.04,17.31,26.33,624.08,3324.79,1155.77,0.0,718.47,0.0,1874.24,39.7,0.0,0.0,1920.92,358.15,354.53,533.03,158.16,0.0,1403.87,3324.79,211.18,17.48,0.15,365.66,0.0,0.75,25.75,35.79,0.0,107.08,6.98,4.73,0.0,294.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,170.37,0.0,170.37,854.07,854.07,1024.44,2767.84,0.0,0.0,2916.25,568.92,228.04,27.42,37.47,861.85,4802.54,1975.32,0.0,608.48,0.0,2583.8,219.49,0.0,0.0,2809.88,464.46,544.52,785.3,198.38,0.0,1992.66,4802.54,374.58,22.96,1.23,608.17,0.0,0.75,26.39,75.4,0.0,148.41,6.59,38.11,0.0,278.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,187.17,0.0,187.17,1134.01,1134.01,1321.18,5194.46,0.0,0.0,5409.51,572.85,396.84,45.33,36.49,1051.51,7892.36,2837.08,57.9,996.32,0.0,3891.3,618.96,0.0,0.0,4514.83,687.58,607.71,1673.74,408.5,0.0,3377.53,7892.36,342.56,40.05,3.03,969.0,6.95,0.75,18.24,47.68,0.0,215.05,4.57,84.18,0.0,358.38,0.0,0.0,110.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,196.97,0.0,196.97,1399.19,1399.19,1596.16,5897.19,0.0,0.0,6208.53,699.16,367.32,104.09,28.78,1199.35,9151.74,3765.7,59.89,2158.28,0.0,5983.87,478.58,0.0,0.0,6465.82,943.84,884.18,344.95,512.95,0.0,2685.92,9151.74,388.16,74.87,0.0,972.48,2.51,0.75,8.73,378.59,0.0,311.34,3.37,185.56,0.0,584.87,0.0,0.0,147.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,787.79,0.0,787.79,1928.23,1928.23,2716.02,7665.9,0.0,0.0,8087.9,843.78,379.91,109.02,55.07,1387.78,12191.7,6138.67,67.19,939.25,0.0,7145.11,229.69,0.0,0.0,7389.82,1474.41,1101.23,1390.29,835.95,0.0,4801.88,12191.7,522.72,89.62,0.0,1437.06,7.45,0.75,9.64,216.54,0.0,422.0,15.02,582.68,0.0,317.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,787.79,0.0,787.79,2309.8,2309.8,3097.59,6051.4,0.0,79.35,6638.41,2846.19,562.92,1050.49,71.87,4531.47,14267.47,7384.29,42.92,906.55,0.0,8333.76,139.93,324.92,0.0,8798.61,2002.62,1740.19,1139.85,425.03,133.92,5468.86,14267.47,952.08,173.33,0.0,2032.34,0.06,0.75,6.08,126.94,27.25,507.66,0.0,939.55,47.31,399.33,27.25,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,826.28,0.0,826.28,2829.22,2829.22,3655.5,7013.06,0.0,176.39,7816.22,4126.42,506.42,2058.2,75.6,6766.64,18238.36,8514.54,37.55,914.16,0.0,9466.25,175.79,257.04,0.0,9899.08,3379.91,2152.15,1294.84,1395.04,113.4,8339.28,18238.36,1724.89,186.02,0.0,2767.98,0.18,0.75,0.0,166.79,3.94,626.77,0.0,1281.58,68.33,749.95,3.94,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,1377.13,0.0,1377.13,3710.99,3710.99,5088.12,9085.47,0.0,194.35,9943.96,4640.71,957.38,3851.25,250.27,9699.61,24731.69,9156.9,26.53,555.13,0.0,9738.56,129.15,1637.35,0.0,11505.06,5726.47,5025.96,882.65,1503.74,85.08,13226.63,24731.69,3195.14,249.93,0.03,4667.74,0.0,0.75,0.0,129.15,2.73,664.14,0.0,1328.67,38.97,268.19,2.73,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
