,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2024-12-31,JPM,USD,0000019617,2024-12-31,2024-12-31 00:00:00,2024,FY,166878000000,0,166878000000,1,0,20888000000,4974000000,82245000000,0,82245000000,82245000000,0,0,8812000000,74633000000,0.4543498843,84633000000,0.5071549276,-9552000000,75081000000,0.4499155071,16610000000,58471000000,0.350381716,19.79,19.75,2873900000,2879000000,,
1,2023-12-31,JPM,USD,0000019617,2024-02-16,2024-02-16 16:20:22,2023,FY,145670000000,0,145670000000,1,0,46465000000,4591000000,75127000000,0,75127000000,75127000000,170588000000,81321000000,7512000000,78055000000,0.5358344203,70543000000,0.4842658063,-8931000000,61612000000,0.4229559964,12060000000,49552000000,0.3401661289,16.25,16.23,2938600000,2943100000,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/0000019617-24-000225-index.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/jpm-20231231.htm
2,2022-12-31,JPM,USD,0000019617,2023-02-21,2023-02-21 16:13:55,2022,FY,128641000000,0,128641000000,1,0,41636000000,3911000000,45547000000,30593000000,76140000000,76140000000,92807000000,26097000000,7051000000,59574000000,-0.0159358214,52523000000,0.4294673666,-6357000000,46166000000,0.3774877758,8490000000,37676000000,0.3080671802,12.1,12.09,2965800000,2970000000,https://www.sec.gov/Archives/edgar/data/19617/000001961723000231/0000019617-23-000231-index.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961723000231/jpm-20221231.htm
3,2021-12-31,JPM,USD,0000019617,2022-02-22,2022-02-22 16:56:31,2021,FY,121685000000,0,121685000000,1,0,38567000000,3036000000,41603000000,29733000000,71336000000,71336000000,57864000000,5553000000,7932000000,72956000000,-0.01854789,65024000000,0.4967531971,-5462000000,59562000000,0.4550260508,11228000000,48334000000,0.3692493392,15.39,15.36,3021500000,3026600000,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/0000019617-22-000272-index.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/jpm-20211231.htm
4,2020-12-31,JPM,USD,0000019617,2021-02-23,2021-02-23 16:17:29,2020,FY,119883000000,0,119883000000,1,0,34988000000,2476000000,37464000000,29192000000,66656000000,66656000000,64523000000,9960000000,8614000000,50370000000,-0.0236563983,41756000000,0.4074908999,-5941000000,35815000000,0.3495135209,6684000000,29131000000,0.28428531,8.89,8.88,3082400000,3087400000,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/0000019617-21-000236-index.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/jpm-20201231.htm
