Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,445.09,445.09,0.0,3.47,394.4,47.22,54.79,102.01,45.98,56.03,0.0,56.03,6.58,49.45,49.45,332.36,1.49,1.49,12.41,37.34,17.69,84.95,53.23
2013-03-31,514.37,514.37,0.0,3.36,465.92,45.08,54.76,99.84,36.88,62.96,0.0,62.96,13.41,49.55,49.55,332.36,1.49,1.49,12.34,37.12,17.42,83.33,52.4
2013-06-30,628.6,628.6,0.0,3.34,612.13,13.13,54.74,67.87,41.28,26.59,0.0,26.59,-0.03,26.62,26.62,332.36,0.8,0.8,12.31,37.03,17.39,83.11,52.34
2013-09-30,473.62,473.62,0.0,6.98,365.42,101.22,93.6,194.82,51.49,143.34,0.0,143.34,23.05,120.29,120.29,332.36,3.62,3.62,12.58,37.84,15.39,74.52,46.32
2013-12-31,550.05,550.05,0.0,4.25,487.37,58.43,31.14,89.57,52.21,37.36,0.0,37.36,11.84,25.52,25.52,332.36,0.77,0.77,12.55,37.75,17.43,84.22,52.43
2014-03-31,561.14,561.14,0.0,6.27,500.26,54.61,109.05,163.66,59.18,104.48,0.0,104.48,-11.31,115.79,115.79,332.36,3.48,3.48,12.72,38.29,18.78,91.54,56.49
2014-06-30,569.32,569.32,0.0,3.66,503.41,62.24,43.64,105.88,60.58,45.31,0.0,45.31,15.39,29.92,29.92,332.36,0.9,0.9,12.92,38.89,18.78,92.44,56.49
2014-09-30,436.45,436.45,0.0,4.43,391.27,40.75,111.46,152.2,65.86,86.34,0.0,86.34,6.1,80.24,80.24,332.36,2.41,2.41,12.92,38.89,20.16,99.26,60.66
2014-12-31,463.95,463.95,0.0,3.55,412.39,48.01,44.53,92.55,68.81,23.74,0.0,23.74,7.91,15.83,15.83,332.36,0.48,0.48,12.92,38.89,20.16,99.26,60.66
2015-03-31,486.0,486.0,0.0,3.69,433.92,48.39,43.97,92.36,74.02,18.34,0.0,18.34,6.01,12.33,12.33,351.45,0.37,0.37,14.83,42.21,20.16,99.26,57.36
2015-06-30,475.05,475.05,0.0,4.38,419.56,51.12,117.16,168.29,70.31,97.97,0.0,97.97,11.83,86.15,86.15,351.45,2.45,2.45,14.83,42.21,20.16,99.26,57.36
2015-09-30,629.75,629.75,0.0,5.32,565.19,59.24,45.35,104.58,71.11,33.47,0.0,33.47,13.66,19.81,19.81,351.45,0.56,0.56,0.0,0.0,0.0,0.0,0.0
2015-12-31,803.5,803.5,0.0,8.0,721.9,73.6,117.52,191.12,71.93,119.2,0.0,119.2,19.23,99.97,99.97,351.45,2.84,2.84,0.0,0.0,0.0,0.0,0.0
2016-03-31,859.24,859.24,0.0,10.83,798.64,49.77,113.28,163.05,64.85,98.2,0.0,98.2,12.09,86.11,86.11,351.45,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2016-06-30,888.25,888.25,0.0,6.98,807.84,73.43,39.09,112.51,68.63,43.88,0.0,43.88,17.61,26.27,26.27,351.45,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2016-09-30,715.25,715.25,0.0,11.08,661.95,42.22,41.31,83.53,76.68,6.85,0.0,6.85,-1.28,8.13,8.13,351.45,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2016-12-31,799.25,799.25,0.0,13.66,737.13,48.47,38.39,86.86,86.16,0.71,0.0,0.71,0.61,0.1,0.1,351.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1009.79,1009.79,0.0,26.79,775.0,208.0,104.61,312.62,72.12,240.49,0.0,240.49,71.76,168.74,168.74,351.45,4.8,4.8,0.0,0.0,0.0,0.0,0.0
2017-06-30,671.06,671.06,0.0,8.79,615.66,46.61,138.04,184.66,59.97,124.69,0.0,124.69,4.69,120.0,120.0,351.45,3.41,3.41,0.0,0.0,0.0,0.0,0.0
2017-09-30,690.94,690.94,0.0,14.36,604.31,72.27,122.82,195.09,61.08,134.02,0.0,134.02,13.24,120.78,120.78,351.45,3.44,3.44,0.0,0.0,0.0,0.0,0.0
