Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Fixed Assets,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,0.25,0.25,-0.02,-0.02,0.23,0.29,0.0,0.0,0.0,0.29,0.0,0.0,3.62,0.18,3.8,76.07,22.51,0.0,0.0,0.29,22.8,0.0,0.0,5.19,48.09,0.0,53.28,76.07,0.0,0.0,0.0,0.0,0.0,0.0,71.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,114.3,114.3,0.03,0.03,114.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.21,2.66,116.99,23.23,0.0,0.0,0.59,23.82,0.0,1.07,0.05,92.05,0.0,93.17,116.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,133.3,133.3,8.7,8.7,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.4,1.44,150.53,134.94,0.0,0.0,0.47,135.41,0.0,0.83,9.81,4.48,0.0,15.12,150.53,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,247.27,247.27,15.27,15.27,262.54,276.64,0.0,0.0,0.0,276.64,1.48,13.55,2.02,1.64,18.7,557.87,268.23,0.03,0.0,17.56,285.83,0.0,0.83,264.14,7.08,0.0,272.05,557.87,560.5,0.0,1.88,266.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,332.36,332.36,1026.02,1026.02,1358.38,0.0,0.0,0.0,0.0,0.0,16.88,5.75,0.89,1.88,25.41,1383.79,609.03,0.0,0.0,0.0,609.03,0.0,0.07,308.74,465.95,0.0,774.76,1383.79,802.97,2.41,184.79,425.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,332.36,332.36,1032.21,1032.21,1364.57,0.0,0.0,0.0,0.0,0.0,137.18,0.42,4.43,16.96,159.0,1523.57,855.02,0.0,0.0,0.0,855.02,0.0,0.0,221.0,447.55,0.0,668.54,1523.57,1541.13,0.04,89.24,765.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,332.36,332.36,1038.19,1038.19,1370.56,650.0,0.0,0.0,0.0,650.0,3.79,7.59,499.02,50.38,560.78,2581.34,936.87,0.0,0.0,0.0,936.87,0.0,0.09,267.54,1376.83,0.0,1644.47,2581.34,1831.95,0.09,28.15,908.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,332.36,332.36,1078.5,1078.5,1410.86,0.0,0.0,326.43,0.83,327.25,1240.91,83.13,171.12,50.79,1545.95,3284.06,935.55,0.37,241.79,0.0,1177.71,46.72,116.95,894.29,987.22,61.18,2106.36,3284.06,6598.83,0.67,0.32,935.45,0.0,46.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,332.36,332.36,1184.61,1184.61,1516.97,250.0,0.0,493.06,1.04,744.11,1550.99,408.27,264.54,1.43,2225.23,4486.3,1374.44,0.43,941.18,0.0,2316.06,8.55,49.16,1022.83,1078.49,11.22,2170.24,4486.3,7414.04,0.08,0.22,1374.34,0.0,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,332.36,332.36,1239.0,1239.0,1571.37,300.0,0.0,535.38,1.09,836.46,835.25,700.75,745.56,35.11,2316.67,4724.5,1583.72,0.63,1235.23,0.0,2819.58,57.19,127.39,883.25,825.87,11.22,1904.92,4724.5,8468.19,0.02,0.2,1583.62,0.0,57.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
