Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Deferred Tax Assets [Net],Long Term Loans And Advances,Capital Goods,Equity Share Application Money,Preference Share Capital,Raw Materials,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,2742.53,2742.53,-1719.9,-1719.9,0.0,1022.63,2263.53,0.0,0.0,2263.53,0.0,0.0,448.64,0.0,448.64,3734.8,1650.85,957.26,74.41,0.0,2682.52,92.03,0.0,2774.55,0.0,9.37,73.45,87.48,763.62,26.33,960.25,3734.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,2742.53,2742.53,-1695.74,-1695.74,0.0,1046.79,2698.03,0.0,0.0,2730.93,0.0,0.0,445.87,0.0,445.87,4223.59,1797.53,879.96,64.62,0.0,2742.11,307.03,0.0,3082.04,0.0,13.47,109.8,151.89,833.75,32.65,1141.55,4223.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,2259.53,2742.53,-1574.0,-1574.0,0.0,1168.53,1468.9,0.0,0.0,1468.9,1446.71,543.39,218.85,11.39,2220.34,4857.77,2008.74,808.74,95.91,0.0,2913.39,307.03,0.0,3220.42,0.0,8.81,90.82,129.09,1405.8,2.84,1637.35,4857.77,213.92,8.03,0.0,69.95,0.0,307.03,0.0,0.0,0.0,0.0,331.49,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,2592.86,2592.86,-413.71,-413.71,0.0,2179.15,3539.72,0.0,0.0,3621.79,710.79,1610.87,487.26,53.84,2862.76,8663.71,4424.79,1167.64,506.52,0.0,6098.95,13.83,0.0,6193.8,0.0,17.91,152.48,1819.73,479.8,0.0,2469.91,8663.71,1236.57,23.29,0.0,72.8,0.0,13.83,0.0,82.07,81.02,0.0,926.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,2635.36,2635.36,906.91,906.91,0.0,3542.27,5454.43,0.0,0.0,5620.75,1060.33,1685.46,858.21,81.82,3685.81,12852.59,7888.16,1779.24,941.13,0.0,10608.52,569.93,0.0,11278.59,0.0,27.62,198.59,497.06,850.74,0.0,1574.0,12852.59,2308.87,31.25,0.0,79.03,0.0,569.93,0.0,166.32,100.14,0.0,1603.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,3100.1,3100.1,8176.09,8176.09,0.0,11276.18,6079.37,0.0,0.0,6453.01,1500.0,1993.87,1128.52,98.65,4721.04,22468.47,8506.14,2316.75,1721.82,0.0,12544.71,4928.81,0.0,17704.63,0.0,42.73,329.59,2344.43,2047.1,0.0,4763.85,22468.47,2279.41,41.57,0.0,68.66,1634.32,2724.62,0.0,373.65,231.11,0.0,1909.51,18.23,0.0,18.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,3299.84,3299.84,8112.95,8112.95,0.0,11412.79,6526.41,0.0,0.0,7160.55,0.0,2507.32,1172.31,137.76,3817.39,22435.17,11285.13,3641.93,462.58,0.0,15389.64,2755.13,0.0,18553.27,0.0,46.7,430.12,280.44,3124.65,0.0,3881.9,22435.17,1960.75,74.72,0.0,71.27,0.0,2755.13,0.0,634.14,408.5,0.0,2025.21,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,3303.27,3303.27,9027.43,9027.43,0.0,12330.7,7578.76,227.77,123.09,8216.64,1693.38,3572.52,2808.75,6.08,8080.72,28628.07,14253.87,4877.76,3549.19,0.0,22680.81,1636.81,0.0,25681.04,936.0,52.22,534.75,451.54,971.72,0.81,2947.03,28628.07,5112.85,242.67,0.0,111.33,0.0,1636.81,936.0,287.02,0.0,1363.42,1398.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,3308.85,3308.85,9625.69,9625.69,0.0,12934.54,8612.16,451.91,138.96,9755.77,1526.01,2970.38,3791.03,6.33,8293.75,30984.05,16893.82,6849.44,633.27,0.0,24376.53,1636.81,0.0,28595.74,0.0,52.94,807.55,134.19,1391.86,1.77,2388.31,30984.05,5505.48,375.24,0.0,148.68,0.0,1636.81,0.0,552.74,0.0,2582.4,1191.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,3314.32,3314.32,10705.58,10705.58,0.0,14019.9,10574.4,826.65,201.89,12626.05,705.04,2431.59,4520.11,123.97,7780.7,34426.65,17685.95,8252.6,843.43,0.0,26781.97,1637.71,0.0,31421.55,929.6,54.51,915.68,115.74,988.73,0.84,3005.1,34426.65,13528.9,481.56,0.0,297.03,0.0,1637.71,929.6,1023.12,0.0,3001.87,1286.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
