Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,217.46,2.96,220.42,10.03,119.75,6.72,44.3,39.62,14.99,54.61,0.23,54.38,54.38,12.54,41.84,41.84,43.56,9.61,9.41,2.25,51.65,2.11,100.0,48.35
2013-03-31,198.09,1.27,199.36,3.34,114.44,7.51,41.28,32.79,1.31,34.1,0.25,33.85,33.85,10.81,23.04,23.04,43.58,5.29,5.18,2.25,51.64,2.11,100.0,48.36
2013-06-30,215.76,2.39,218.15,2.12,117.89,7.24,49.96,40.94,26.01,66.95,0.91,66.04,66.04,19.91,46.13,46.13,43.6,10.58,10.38,2.25,51.65,2.11,100.0,48.35
2013-09-30,240.83,3.35,244.18,1.67,124.87,7.29,44.62,65.73,12.22,77.95,0.19,77.76,77.76,25.62,52.14,52.14,43.68,11.95,11.75,2.26,51.73,2.11,100.0,48.27
2013-12-31,223.99,2.67,226.66,1.3,124.94,7.54,44.42,48.46,6.8,55.26,0.22,55.04,55.04,10.64,44.4,44.4,43.7,10.16,9.96,2.26,51.74,2.11,100.0,48.26
2014-03-31,227.9,4.91,232.81,1.84,118.15,7.46,41.36,64.0,-4.72,59.28,0.16,59.12,59.12,14.57,44.55,44.55,43.77,10.19,9.95,2.26,51.72,2.11,100.0,48.28
2014-06-30,230.79,8.52,239.31,3.98,130.95,8.01,38.76,57.61,4.7,62.31,0.32,61.99,61.99,16.57,45.42,45.42,43.85,10.37,10.15,2.27,51.82,2.11,100.0,48.18
2014-09-30,261.95,3.99,265.94,3.04,149.55,7.66,48.2,57.49,12.84,70.33,0.23,70.1,70.1,21.64,48.46,48.46,43.93,11.04,10.82,2.28,51.9,2.11,100.0,48.1
2014-12-31,286.36,3.57,289.93,16.97,162.2,7.61,43.73,59.42,5.99,65.41,0.34,65.07,65.07,18.66,46.41,46.41,43.97,10.56,10.31,2.28,51.93,2.11,100.0,48.07
2015-03-31,273.35,12.31,285.66,2.44,161.18,9.48,52.36,60.2,-3.65,56.55,0.26,56.29,56.29,13.47,42.82,42.82,44.33,9.73,9.56,2.32,52.33,2.11,100.0,47.67
