Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,286.35,3.31,289.66,5.46,160.43,9.01,50.17,64.59,23.1,87.69,0.12,87.57,87.57,23.07,64.5,64.5,44.35,14.55,14.29,2.3,51.86,2.14,100.0,48.14
2015-09-30,332.59,2.67,335.26,22.16,168.49,8.71,57.23,78.67,15.22,93.89,0.49,93.4,93.4,23.42,69.98,69.98,44.46,15.76,15.51,2.31,51.97,2.14,100.0,48.03
2015-12-31,305.74,3.36,309.1,20.42,171.54,9.34,47.49,60.31,4.08,64.39,0.35,64.04,64.04,17.41,46.63,46.63,44.54,10.48,10.31,0.0,0.0,0.0,0.0,0.0
2016-03-31,308.44,3.48,311.92,4.55,172.36,10.21,56.45,68.35,4.39,72.74,0.6,72.14,72.14,19.01,53.13,53.13,44.63,11.91,11.75,0.0,0.0,0.0,0.0,0.0
2016-06-30,322.8,2.46,325.26,26.22,170.93,7.33,57.33,63.45,12.98,76.43,0.07,76.36,76.36,23.22,53.14,53.14,44.67,11.91,11.76,0.0,0.0,0.0,0.0,0.0
2016-09-30,327.36,2.53,329.89,23.2,186.64,9.37,49.49,61.19,-0.58,60.61,0.21,60.4,60.4,16.63,43.77,43.77,44.75,9.79,9.64,0.0,0.0,0.0,0.0,0.0
2016-12-31,324.57,2.64,327.21,11.18,186.57,8.48,44.66,76.32,12.4,88.72,0.25,88.47,88.47,25.04,63.43,63.43,44.8,14.16,13.94,0.0,0.0,0.0,0.0,0.0
2017-03-31,297.67,2.79,300.46,5.72,179.67,8.73,63.92,42.42,-13.12,29.3,1.54,27.76,27.76,7.87,19.89,19.89,44.87,4.44,4.37,0.0,0.0,0.0,0.0,0.0
2017-06-30,303.31,0.0,303.31,3.96,185.46,11.79,62.84,39.26,11.43,50.69,2.9,47.79,47.79,12.76,35.03,35.03,44.88,7.8,7.7,0.0,0.0,0.0,0.0,0.0
2017-09-30,322.86,0.0,322.86,5.83,186.83,12.66,58.0,59.54,23.48,83.02,3.11,79.91,79.91,18.36,61.55,61.55,44.94,13.71,13.55,0.0,0.0,0.0,0.0,0.0
2017-12-31,318.46,0.0,318.46,10.86,185.01,12.39,61.02,49.18,5.94,55.12,3.21,51.91,51.91,13.61,38.3,38.3,44.98,8.52,8.43,0.0,0.0,0.0,0.0,0.0
2018-03-31,341.18,0.0,341.18,5.09,189.72,9.26,78.92,58.19,21.9,80.09,2.92,77.17,77.17,19.47,57.7,57.7,44.99,12.83,12.69,0.0,0.0,0.0,0.0,0.0
2018-06-30,342.83,0.0,342.83,3.97,199.32,10.35,63.99,65.2,16.99,82.19,2.75,79.44,79.44,20.32,59.12,59.12,45.0,13.14,13.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,349.18,0.0,349.18,2.61,194.0,10.85,65.32,76.4,33.5,109.9,2.11,107.79,107.79,25.19,82.6,82.6,45.01,3.67,3.61,0.0,0.0,0.0,0.0,0.0
2018-12-31,325.39,0.0,325.39,3.91,196.45,10.62,63.69,50.72,-2.87,47.85,2.2,45.65,45.65,12.28,33.37,33.37,45.02,1.48,1.46,0.0,0.0,0.0,0.0,0.0
2019-03-31,352.69,0.0,352.69,1.6,199.72,10.96,75.02,65.39,37.36,102.75,2.12,100.63,100.63,17.72,82.91,82.91,45.02,3.68,3.62,0.0,0.0,0.0,0.0,0.0
2019-06-30,337.06,0.0,337.06,1.88,198.53,18.96,65.14,52.55,16.22,68.77,5.15,63.62,63.62,16.04,47.58,47.58,45.04,2.11,2.08,0.0,0.0,0.0,0.0,0.0
2019-09-30,351.1,0.0,351.1,2.66,212.4,19.07,63.59,53.38,29.88,83.26,3.56,79.7,79.7,15.41,64.29,64.29,45.05,2.85,2.81,0.0,0.0,0.0,0.0,0.0
2019-12-31,329.14,0.0,329.14,2.67,198.95,21.55,49.8,56.17,16.31,72.48,6.61,65.87,65.87,17.26,48.61,48.61,45.07,2.16,2.12,0.0,0.0,0.0,0.0,0.0
2020-03-31,352.99,0.0,352.99,1.56,199.25,21.8,56.02,74.36,28.53,102.89,7.98,94.91,94.91,24.35,70.56,70.56,45.08,3.13,3.09,0.0,0.0,0.0,0.0,0.0
2020-06-30,328.4,0.0,328.4,0.55,189.96,23.08,39.4,75.41,19.95,95.36,6.11,89.25,89.25,23.9,65.35,65.35,45.09,2.9,2.86,0.0,0.0,0.0,0.0,0.0
2020-09-30,336.76,0.0,336.76,0.5,190.86,21.79,40.41,83.2,5.54,88.74,5.23,83.51,83.51,19.97,63.54,63.54,45.09,2.82,2.78,0.0,0.0,0.0,0.0,0.0
2020-12-31,348.73,0.0,348.73,5.96,195.02,21.46,31.38,94.91,13.05,107.96,5.33,102.63,102.63,22.89,79.74,79.74,45.09,3.54,3.49,0.0,0.0,0.0,0.0,0.0
2021-03-31,347.88,0.0,347.88,0.04,200.96,23.12,56.21,67.55,35.37,102.92,5.13,97.79,97.79,16.79,81.0,81.0,45.12,3.59,3.56,0.0,0.0,0.0,0.0,0.0
2021-06-30,370.2,0.0,370.2,0.0,223.0,21.9,41.4,83.9,19.9,103.8,5.2,98.6,98.6,22.6,76.0,76.0,45.1,3.37,3.34,0.0,0.0,0.0,0.0,0.0
2021-09-30,401.8,0.0,401.8,2.7,257.3,21.9,42.2,77.7,17.9,95.6,6.9,88.7,88.7,20.2,68.5,68.5,45.2,3.03,3.02,0.0,0.0,0.0,0.0,0.0
2021-12-31,411.8,0.0,411.8,1.2,279.7,21.9,34.8,74.2,24.4,98.6,4.6,94.0,94.0,23.4,70.6,70.6,45.2,3.13,3.11,0.0,0.0,0.0,0.0,0.0
2022-03-31,445.1,0.0,445.1,0.3,287.1,22.5,42.7,92.5,71.5,164.0,15.0,149.0,149.0,43.4,105.6,105.6,45.2,4.67,4.63,0.0,0.0,0.0,0.0,0.0
2022-06-30,435.4,0.0,435.4,0.0,302.5,23.9,44.8,64.2,16.9,81.1,4.8,76.3,76.3,21.4,54.9,54.9,45.3,2.43,2.4,0.0,0.0,0.0,0.0,0.0
2022-09-30,461.4,0.0,461.4,0.8,336.4,22.4,62.9,38.9,29.4,68.3,4.6,63.7,63.7,20.9,42.8,42.8,45.3,1.89,1.87,0.0,0.0,0.0,0.0,0.0
2022-12-31,449.6,0.0,449.6,1.1,326.8,22.2,39.3,60.2,23.7,83.9,4.4,79.5,79.5,20.6,58.9,58.9,45.3,2.6,2.59,0.0,0.0,0.0,0.0,0.0
2023-03-31,477.0,0.0,477.0,-0.1,314.3,7.1,49.2,106.5,81.7,188.2,4.3,183.9,183.9,32.1,151.8,151.8,45.3,6.71,6.67,0.0,0.0,0.0,0.0,0.0
2023-06-30,489.2,0.0,489.2,0.0,315.8,16.3,45.0,112.1,75.5,187.6,4.1,183.5,183.5,34.7,148.8,148.8,45.3,6.57,6.51,0.0,0.0,0.0,0.0,0.0
2023-09-30,513.9,0.0,513.9,0.0,321.8,16.1,42.0,134.0,27.5,161.5,4.0,157.5,157.5,43.0,114.5,114.5,45.3,5.05,5.01,0.0,0.0,0.0,0.0,0.0
2023-12-31,501.0,0.0,501.0,0.0,328.9,15.6,50.6,105.9,31.1,137.0,5.2,131.8,131.8,30.8,101.0,101.0,45.3,4.46,4.42,0.0,0.0,0.0,0.0,0.0
2024-03-31,515.1,0.0,515.1,0.0,344.3,7.5,45.0,118.3,38.5,156.8,1.6,155.2,155.2,42.4,112.8,112.8,45.3,4.98,4.94,0.0,0.0,0.0,0.0,0.0
2024-06-30,529.6,0.0,529.6,0.0,350.4,12.2,63.8,103.2,113.0,216.2,3.1,213.1,213.1,34.4,178.7,178.7,45.3,7.88,7.82,0.0,0.0,0.0,0.0,0.0
2024-09-30,556.2,0.0,556.2,0.0,385.4,16.5,50.9,103.4,51.0,154.4,2.7,151.7,151.7,35.5,116.2,116.2,45.4,5.13,5.09,0.0,0.0,0.0,0.0,0.0
2024-12-31,559.2,0.0,559.2,0.0,381.0,9.9,59.8,108.5,80.2,188.7,2.0,186.7,186.7,33.5,153.2,153.2,45.4,6.76,6.7,0.0,0.0,0.0,0.0,0.0
2025-03-31,581.1,0.0,581.1,0.0,380.1,10.2,63.5,127.3,58.9,186.2,3.2,183.0,183.0,36.3,146.7,146.7,45.4,6.46,6.39,0.0,0.0,0.0,0.0,0.0
