Date,Net Sales/Income from operations,Total Income From Operations,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-12-31,327.53,327.53,-1.74,9.67,15.33,234.61,69.66,25.77,95.43,36.86,58.57,0.0,58.57,21.3,37.27,37.27,256.74,0.0,0.34,0.34
2018-03-31,445.57,445.57,-0.34,9.35,15.86,344.84,75.86,27.05,102.91,35.69,67.22,0.0,67.22,24.38,42.84,42.84,256.74,622.16,0.17,0.0
2018-06-30,372.59,372.59,0.5,11.78,15.87,257.8,86.64,35.79,122.43,37.6,84.83,0.0,84.83,29.49,55.34,55.34,109.98,0.0,0.5,0.5
2018-09-30,423.17,423.17,-1.65,10.68,16.13,308.56,89.45,27.57,117.02,31.33,85.69,0.0,85.69,33.5,52.19,52.19,109.98,0.0,0.47,0.47
2018-12-31,457.34,457.34,-3.72,9.5,17.11,344.6,89.85,11.68,101.53,10.42,91.11,-25.0,66.11,20.61,45.5,45.5,109.98,0.0,0.41,0.41
2019-03-31,465.86,465.86,10.31,10.04,18.2,305.92,121.39,11.64,133.03,10.5,122.53,-2.64,119.89,44.21,75.68,75.68,109.98,0.0,0.69,0.69
2019-06-30,450.56,450.56,0.47,9.06,12.55,306.16,122.32,10.72,133.04,10.34,122.7,0.0,122.7,43.43,79.27,79.27,109.98,0.0,0.72,0.72
2019-09-30,472.57,472.57,-0.21,13.03,11.67,323.92,124.16,11.61,135.77,10.79,124.98,0.0,124.98,4.55,120.43,120.43,109.98,0.0,1.1,1.1
2019-12-31,489.17,489.17,0.32,10.34,12.93,322.4,143.18,10.33,153.51,9.89,143.62,0.0,143.62,29.15,114.47,114.47,109.98,0.0,1.04,1.04
2020-03-31,462.25,462.25,-0.24,15.03,13.55,279.51,154.4,11.73,166.13,10.03,156.1,0.0,156.1,34.03,122.07,122.07,109.98,0.0,1.11,1.11
2020-06-30,197.15,197.15,0.16,13.35,14.29,106.28,63.07,8.37,71.44,8.86,62.58,0.0,62.58,16.25,46.33,46.33,109.98,0.0,0.42,0.42
2020-09-30,417.86,417.86,-1.34,12.43,15.02,197.24,194.51,8.04,202.55,10.15,192.4,-9.99,182.41,46.74,135.67,135.67,109.98,0.0,1.23,1.23
2020-12-31,496.11,496.11,-0.98,11.21,16.07,273.12,196.69,8.77,205.46,10.12,195.34,0.0,195.34,50.21,145.13,145.13,109.98,0.0,1.32,1.32
2021-03-31,584.48,584.48,1.08,14.53,17.14,364.2,187.53,19.18,206.71,11.35,195.36,-4.48,190.88,46.06,144.82,144.82,109.98,0.0,1.32,1.32
2021-06-30,494.33,494.33,0.27,11.71,18.59,275.24,188.52,8.23,196.75,11.29,185.46,0.0,185.46,47.06,138.4,138.4,109.98,0.0,1.26,1.26
2021-09-30,648.19,648.19,-0.99,11.91,20.68,405.84,210.75,15.03,225.78,12.69,213.09,0.0,213.09,54.2,158.89,158.89,109.98,0.0,1.44,1.44
2021-12-31,883.27,883.27,-1.46,13.23,20.98,668.18,182.34,8.06,190.4,13.45,176.95,0.0,176.95,45.37,131.58,131.58,109.98,0.0,1.2,1.2
2022-03-31,1012.02,1012.02,-6.69,17.88,22.48,869.69,108.66,10.18,118.84,15.3,103.54,0.0,103.54,27.75,75.79,75.79,109.98,0.0,0.69,0.69
2022-06-30,1042.35,1042.35,-4.58,10.71,23.75,817.67,194.8,9.11,203.91,18.7,185.21,0.0,185.21,47.37,137.84,137.84,109.98,0.0,1.25,1.25
2022-09-30,1115.5,1115.5,10.37,13.91,27.43,865.0,198.79,10.06,208.85,21.31,187.54,0.0,187.54,48.2,139.34,139.34,109.98,0.0,1.27,1.27
2022-12-31,1105.56,1105.56,1.35,16.51,31.06,857.47,199.17,8.2,207.37,6.31,201.06,0.0,201.06,52.67,148.39,148.39,109.98,0.0,1.35,1.35
2023-03-31,1114.62,1114.62,-4.09,14.36,30.72,909.09,164.54,9.75,174.29,32.23,142.06,0.0,142.06,37.81,104.25,104.25,109.98,0.0,0.95,0.95
2023-06-30,1055.58,1055.58,0.72,14.61,32.63,792.6,215.02,7.59,222.61,23.82,198.79,0.0,198.79,51.1,147.69,147.69,109.98,0.0,1.34,1.34
2023-09-30,1094.9,1094.9,0.33,16.59,37.39,798.57,242.02,10.1,252.12,27.11,225.01,0.0,225.01,57.22,167.79,167.79,109.98,0.0,1.53,1.53
2023-12-31,1155.3,1155.3,-1.94,16.57,38.26,852.64,249.77,13.06,262.83,31.37,231.46,0.0,231.46,59.18,172.28,172.28,109.98,0.0,1.57,1.57
2024-03-31,1165.95,1165.95,0.98,18.68,48.82,857.64,239.83,15.87,255.7,29.05,226.65,0.0,226.65,61.31,165.34,165.34,109.98,0.0,1.5,1.5
2024-06-30,1143.53,1143.53,-1.0,14.6,44.68,833.61,251.64,11.71,263.35,26.37,236.98,0.0,236.98,59.89,177.09,177.09,109.98,0.0,1.61,1.61
2024-09-30,1215.77,1215.77,-1.55,13.76,50.03,896.36,257.17,5.64,262.81,22.93,239.88,0.0,239.88,61.77,178.11,178.11,109.98,0.0,1.62,1.62
2024-12-31,1290.93,1290.93,1.74,14.1,51.66,1010.59,212.84,7.68,220.52,27.4,193.12,0.0,193.12,49.68,143.44,143.44,109.98,0.0,1.3,1.3
2025-03-31,1335.85,1335.85,-2.29,13.2,51.67,1059.82,213.45,8.63,222.08,23.62,198.46,0.0,198.46,49.08,149.38,149.38,109.98,0.0,1.36,1.36
