Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,4774.62,1478.28,41.11,25.84,639.52,4428.4,732.67,439.94,1358.36,857.33,0.0,501.03,198.63,302.4,302.4,550.55,12437.68,54.35,0.0,10.78,5.49,5.49,6383.62,3168.51,3.36,1.7,0.44,25.13,45.65,29.92,100.0,54.35
2013-03-31,5055.89,1495.33,42.14,31.76,875.47,4645.64,664.14,506.18,1684.63,655.53,0.0,1029.1,239.72,789.38,789.38,596.79,15092.63,57.89,0.0,11.45,14.15,14.15,6313.83,3353.38,2.98,1.61,1.08,25.13,42.11,34.55,100.0,57.89
2013-06-30,5125.88,1634.32,51.49,45.58,756.26,4948.17,789.89,463.7,1411.77,681.55,0.0,730.22,170.0,560.22,560.22,596.79,15092.63,57.89,0.0,11.14,9.39,9.39,7092.85,3882.81,3.5,1.96,0.73,25.13,42.11,34.55,100.0,57.89
2013-09-30,5287.59,1889.69,50.84,43.02,611.15,5316.66,806.68,534.02,1224.93,936.75,0.0,288.18,80.06,208.12,208.12,596.79,15092.63,57.89,0.0,10.38,3.49,3.49,8060.7,4670.27,3.64,2.15,0.25,25.13,42.11,34.55,100.0,57.89
2013-12-31,5565.36,1910.8,36.32,37.8,679.89,5586.78,823.18,558.58,1261.63,610.4,0.0,651.23,302.29,348.94,348.94,630.31,14838.03,60.13,0.0,10.79,5.79,5.79,8776.19,5047.85,3.85,2.26,0.42,25.13,39.87,37.9,100.0,60.13
2014-03-31,5761.53,1835.64,39.88,33.65,774.25,5618.47,888.02,618.69,1319.77,920.52,0.0,399.25,-179.71,578.96,578.96,630.31,14885.17,60.13,0.0,11.89,9.19,9.19,9563.72,5340.08,4.08,2.33,0.68,25.13,39.87,37.9,100.0,60.13
2014-06-30,5877.37,1870.46,50.37,57.98,691.38,5739.0,919.39,517.24,1371.93,392.82,0.0,979.11,315.0,664.11,664.11,630.31,16274.72,60.13,0.0,11.43,10.54,10.54,10231.8,5763.59,4.27,2.46,0.77,25.13,39.87,37.9,100.0,60.13
2014-09-30,5991.03,1850.7,53.13,48.52,811.31,5858.94,944.3,617.54,1333.91,785.41,0.0,548.5,177.16,371.34,371.34,635.78,16274.72,60.47,0.0,10.57,5.88,5.88,11461.62,6449.13,4.69,2.71,0.42,25.13,39.87,3.79,100.0,60.13
2014-12-31,6027.13,1895.3,50.67,70.66,877.24,5922.53,965.91,567.22,1465.34,851.92,0.0,613.42,311.0,302.42,302.42,635.78,16274.72,60.47,0.0,10.64,4.76,4.76,12596.0,7118.4,5.08,2.95,0.34,25.13,39.53,38.44,100.0,60.47
2015-03-31,6081.72,2052.41,35.88,70.63,1143.07,6119.59,955.92,655.91,1652.29,1009.94,0.0,642.35,198.58,443.77,443.77,635.78,17701.54,60.47,0.0,10.74,6.98,6.98,13030.87,6918.97,4.96,2.71,0.47,25.13,39.53,38.44,100.0,60.47
2015-06-30,6181.09,1836.96,57.91,183.97,783.24,6129.76,853.33,571.89,1488.19,642.41,0.0,845.78,327.0,518.78,518.78,635.78,17701.54,60.47,0.0,10.7,8.16,8.16,14143.62,7633.78,5.53,3.08,0.55,25.13,39.53,38.44,100.0,60.47
2015-09-30,5897.9,1973.06,213.99,56.53,959.42,6039.75,926.07,645.01,1490.07,432.51,-79.4,978.16,320.0,658.16,658.16,687.44,0.0,63.44,0.0,10.79,10.34,10.34,15541.17,8334.86,6.12,3.39,0.68,25.13,36.56,43.61,100.0,63.44
2015-12-31,5771.91,1891.71,198.8,46.95,892.69,5912.86,904.18,650.87,1334.15,1237.65,0.0,96.5,17.96,78.54,78.54,687.44,0.0,63.44,0.0,10.91,1.14,1.14,18495.16,10322.0,7.05,4.07,0.08,0.0,0.0,0.0,0.0,0.0
2016-03-31,5807.16,1833.42,216.59,30.85,996.39,5803.33,936.31,735.16,1409.61,1564.67,0.0,-155.06,-251.18,96.12,96.12,687.44,0.0,63.44,0.0,0.0,1.4,1.4,24170.89,14025.94,8.7,5.25,0.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,5763.5,1876.54,197.97,38.61,1039.89,5774.37,858.97,658.1,1625.07,1352.96,0.0,272.11,105.79,166.32,166.32,687.44,0.0,63.44,0.0,11.4,2.42,2.42,27280.9,15824.72,10.16,6.16,0.17,0.0,0.0,0.0,0.0,0.0
