Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,488.03,12.06,500.09,232.27,6.58,51.16,18.16,156.61,35.31,4.24,39.55,22.38,17.17,11.41,28.58,6.04,22.54,22.54,21.01,1.07,1.07,10.6,50.47,10.41,100.0,49.53
2013-03-31,469.44,12.24,481.68,215.97,-2.23,47.83,17.17,156.76,46.18,5.63,51.81,18.23,33.58,-10.13,23.45,7.06,16.39,16.39,21.01,0.78,0.78,10.6,50.47,10.41,100.0,49.53
2013-06-30,515.3,8.23,523.53,238.82,15.85,55.9,18.88,153.34,40.74,21.22,61.96,22.68,39.28,0.0,39.28,9.83,29.45,29.45,21.01,1.4,1.4,10.6,50.47,10.41,100.0,49.53
2013-09-30,491.66,10.02,501.68,221.88,7.9,54.71,19.3,156.35,41.54,17.26,58.8,16.29,42.51,0.0,42.51,7.16,35.35,35.35,21.01,1.68,1.68,10.6,50.47,10.41,100.0,49.53
2013-12-31,467.47,8.98,476.45,214.84,-6.94,53.76,19.42,151.17,44.2,4.06,48.26,9.76,38.5,0.0,38.5,9.86,28.64,28.64,21.01,1.36,1.36,10.6,50.47,10.41,100.0,49.53
2014-03-31,507.96,12.66,520.62,220.54,-10.19,59.27,18.77,178.94,53.29,6.17,59.46,9.86,49.6,-10.0,39.6,12.15,27.45,27.45,21.01,1.31,1.31,10.6,50.47,10.41,100.0,49.53
2014-06-30,566.81,11.8,578.61,261.1,-14.0,60.13,27.5,179.56,64.32,1.11,65.43,12.81,52.62,0.0,52.62,14.5,38.12,38.12,21.01,1.81,1.81,10.6,50.47,10.41,100.0,49.53
2014-09-30,606.34,12.42,618.76,289.67,-29.29,61.68,15.19,194.39,87.12,3.1,90.22,23.36,66.86,0.0,66.86,15.77,51.09,51.09,21.01,2.44,2.44,10.6,50.47,10.41,100.0,49.53
2014-12-31,575.46,13.16,588.62,258.91,-21.28,62.51,21.76,215.78,50.94,5.18,56.12,20.13,35.99,0.0,35.99,5.86,30.13,30.13,21.01,1.43,1.43,10.6,50.47,10.41,100.0,49.53
2015-03-31,581.78,18.62,600.4,247.45,2.79,60.53,23.87,223.04,42.72,13.97,56.69,25.09,31.6,-10.0,21.6,5.63,15.97,15.97,21.01,0.76,0.76,10.6,50.47,10.41,100.0,49.53
2015-06-30,621.62,10.32,631.94,276.38,-12.39,64.69,22.59,214.94,65.73,5.92,71.65,10.69,60.96,-2.5,58.46,16.17,42.29,42.29,21.01,2.01,2.01,10.6,50.47,10.41,100.0,49.53
2015-09-30,650.13,10.18,660.31,284.41,-16.68,65.43,22.14,231.26,73.75,7.37,81.12,14.5,66.62,0.0,66.62,14.88,51.74,51.74,21.01,2.46,2.46,10.6,50.47,10.41,100.0,49.53
2015-12-31,602.43,11.47,613.9,231.93,16.31,66.51,22.43,204.44,72.28,1.25,73.53,16.26,57.27,0.0,57.27,15.52,41.75,41.75,21.01,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2016-03-31,688.03,12.78,700.81,269.99,25.96,68.19,24.65,230.5,81.52,19.88,101.4,18.52,82.88,-43.1,39.78,-35.61,75.39,75.39,21.01,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2016-06-30,701.88,11.12,713.0,284.69,-8.03,69.67,24.14,231.92,110.61,5.21,115.82,14.26,101.56,0.0,101.56,26.01,75.55,75.55,21.01,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,723.52,14.69,738.21,301.37,-21.68,73.97,24.71,245.01,114.83,1.96,116.79,12.3,104.49,0.0,104.49,27.56,76.93,76.93,21.01,3.66,3.66,0.0,0.0,0.0,0.0,0.0
2016-12-31,697.66,11.66,709.32,279.02,-4.0,75.7,22.0,228.63,107.97,5.65,113.62,10.98,102.64,0.0,102.64,27.3,75.34,75.34,21.01,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2017-03-31,775.11,0.0,775.11,287.47,16.58,84.73,18.92,243.36,124.05,0.37,124.42,6.14,118.28,-2.37,115.91,28.25,87.66,87.66,21.01,4.17,4.17,0.0,0.0,0.0,0.0,0.0
2017-06-30,788.82,0.0,788.82,317.63,-6.77,81.19,24.81,249.27,122.69,8.82,131.51,6.29,125.22,0.0,125.22,35.05,90.17,90.17,21.01,4.29,4.29,0.0,0.0,0.0,0.0,0.0
2017-09-30,813.72,0.0,813.72,317.38,1.87,79.25,23.82,261.72,129.68,5.98,135.66,13.48,122.18,0.0,122.18,31.75,90.43,90.43,21.01,4.3,4.3,0.0,0.0,0.0,0.0,0.0
2017-12-31,848.13,0.0,848.13,362.43,-15.17,81.66,24.27,268.82,126.12,0.98,127.1,0.48,126.62,0.0,126.62,34.96,91.66,91.66,21.01,4.36,4.36,0.0,0.0,0.0,0.0,0.0
2018-03-31,945.45,0.0,945.45,385.24,4.12,86.17,25.17,304.06,140.69,17.34,158.03,12.31,145.72,0.0,145.72,50.5,95.22,95.22,21.01,4.53,4.53,0.0,0.0,0.0,0.0,0.0
2018-06-30,938.79,32.18,970.97,424.26,-18.32,87.46,25.74,300.98,150.85,15.31,166.16,12.72,153.44,0.0,153.44,47.26,106.18,106.18,21.01,5.05,5.05,0.0,0.0,0.0,0.0,0.0
2018-09-30,969.83,31.78,1001.61,456.67,-36.4,86.42,26.46,305.91,162.55,9.58,172.13,10.35,161.78,0.0,161.78,51.56,110.22,110.22,21.01,5.25,5.25,0.0,0.0,0.0,0.0,0.0
2018-12-31,982.07,39.39,1021.46,450.5,-21.35,84.71,27.8,314.97,164.83,1.94,166.77,7.92,158.85,0.0,158.85,47.67,111.18,111.18,21.01,5.29,5.29,0.0,0.0,0.0,0.0,0.0
2019-03-31,962.44,45.86,1008.3,433.51,-11.22,91.88,29.85,317.88,146.4,7.52,153.92,7.97,145.95,0.0,145.95,36.41,109.54,109.54,21.01,5.21,5.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,905.58,39.77,945.35,403.37,-23.87,88.1,32.7,301.99,143.06,1.09,144.15,9.6,134.55,0.0,134.55,41.44,93.11,93.11,21.01,4.43,4.43,0.0,0.0,0.0,0.0,0.0
2019-09-30,741.03,25.79,766.82,271.1,61.32,77.18,33.81,219.23,104.18,7.36,111.54,14.04,97.5,0.0,97.5,26.43,71.07,71.07,21.01,3.38,3.38,0.0,0.0,0.0,0.0,0.0
2019-12-31,670.33,22.47,692.8,273.88,12.16,75.39,34.25,215.25,81.87,8.42,90.29,9.16,81.13,0.0,81.13,-21.93,103.06,103.06,21.01,4.9,4.9,0.0,0.0,0.0,0.0,0.0
2020-03-31,701.56,18.04,719.6,296.44,0.27,61.8,35.75,243.33,82.01,3.57,85.58,11.06,74.52,-11.3,63.22,16.42,46.8,46.8,21.01,2.23,2.23,0.0,0.0,0.0,0.0,0.0
2020-06-30,267.88,8.85,276.73,83.15,35.15,58.2,36.48,94.88,-31.13,7.64,-23.49,7.91,-31.4,0.0,-31.4,-7.92,-23.48,-23.48,21.01,-1.12,-1.12,0.0,0.0,0.0,0.0,0.0
2020-09-30,744.25,22.6,766.85,309.7,-6.42,61.63,36.81,240.93,124.2,6.51,130.71,0.06,130.65,0.0,130.65,33.29,97.36,97.36,21.01,4.64,4.64,0.0,0.0,0.0,0.0,0.0
2020-12-31,914.5,27.7,942.2,404.22,-32.29,68.74,37.07,298.89,165.57,3.21,168.78,2.78,166.0,0.0,166.0,41.76,124.24,124.24,21.01,5.91,5.91,0.0,0.0,0.0,0.0,0.0
2021-03-31,1050.26,28.99,1079.25,470.63,-20.35,82.87,36.22,335.97,173.91,2.36,176.27,3.41,172.86,0.0,172.86,42.84,130.02,130.02,21.01,6.19,6.19,0.0,0.0,0.0,0.0,0.0
2021-06-30,938.81,0.0,938.81,409.43,-31.69,76.66,37.58,301.07,145.76,9.54,155.3,4.17,151.13,0.0,151.13,38.58,112.55,112.55,21.01,5.36,5.36,0.0,0.0,0.0,0.0,0.0
2021-09-30,1063.07,0.0,1063.07,486.09,-39.04,78.11,38.02,338.18,161.71,1.22,162.93,2.07,160.86,0.0,160.86,40.7,120.16,120.16,21.01,5.72,5.72,0.0,0.0,0.0,0.0,0.0
2021-12-31,1024.25,0.0,1024.25,454.34,-2.3,79.24,38.31,316.92,137.74,3.97,141.71,3.23,138.48,0.0,138.48,35.14,103.34,103.34,21.01,4.91,4.91,0.0,0.0,0.0,0.0,0.0
2022-03-31,1146.44,0.0,1146.44,554.59,-24.94,77.72,38.92,371.62,128.53,10.88,139.41,3.92,135.49,-30.0,105.49,34.08,71.41,71.41,21.01,3.4,3.4,0.0,0.0,0.0,0.0,0.0
2022-06-30,1239.64,0.0,1239.64,578.7,-11.53,84.2,38.76,379.99,169.52,6.58,176.1,5.01,171.09,0.0,171.09,40.98,130.11,130.11,21.01,6.19,6.19,0.0,0.0,0.0,0.0,0.0
2022-09-30,1218.19,0.0,1218.19,582.17,-38.92,83.01,39.43,406.37,146.13,7.66,153.79,4.33,149.46,0.0,149.46,37.71,111.75,111.75,21.01,5.32,5.32,0.0,0.0,0.0,0.0,0.0
2022-12-31,1226.87,0.0,1226.87,580.24,-4.12,85.58,39.88,386.28,139.01,9.31,148.32,6.27,142.05,0.0,142.05,35.92,106.13,106.13,21.01,5.05,5.05,0.0,0.0,0.0,0.0,0.0
2023-03-31,1234.73,0.0,1234.73,556.74,1.88,81.19,38.95,400.05,155.92,6.43,162.35,9.02,153.33,0.0,153.33,36.92,116.41,116.41,21.01,5.54,5.54,0.0,0.0,0.0,0.0,0.0
2023-06-30,1215.65,0.0,1215.65,531.72,6.08,88.44,40.83,394.06,154.52,1.96,156.48,5.89,150.59,0.0,150.59,38.06,112.53,112.53,21.01,5.36,5.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,1234.31,0.0,1234.31,576.55,-38.44,87.05,43.37,408.54,157.24,4.66,161.9,3.9,158.0,0.0,158.0,40.07,117.93,117.93,21.01,5.61,5.61,0.0,0.0,0.0,0.0,0.0
2023-12-31,1180.62,0.0,1180.62,503.68,30.27,86.1,42.2,383.68,134.69,24.3,158.99,3.41,155.58,0.0,155.58,39.39,116.19,116.19,21.01,5.53,5.53,0.0,0.0,0.0,0.0,0.0
2024-03-31,1278.13,0.0,1278.13,546.03,-3.21,86.12,41.67,445.04,162.48,16.65,179.13,4.79,174.34,0.0,174.34,41.8,132.54,132.54,21.01,6.31,6.31,0.0,0.0,0.0,0.0,0.0
2024-06-30,1310.33,0.0,1310.33,559.68,-2.31,88.86,42.35,442.89,178.86,1.85,180.71,3.52,177.19,0.0,177.19,45.55,131.64,131.64,21.01,6.26,6.26,0.0,0.0,0.0,0.0,0.0
2024-09-30,1288.84,0.0,1288.84,564.31,-52.59,92.2,44.09,471.1,169.73,11.33,181.06,5.36,175.7,0.0,175.7,45.06,130.64,130.64,21.01,6.22,6.22,0.0,0.0,0.0,0.0,0.0
2024-12-31,1256.58,0.0,1256.58,543.79,-36.84,92.81,44.61,454.22,157.99,0.31,158.3,5.2,153.1,0.0,153.1,32.74,120.36,120.36,21.01,5.73,5.73,0.0,0.0,0.0,0.0,0.0
2025-03-31,1353.99,0.0,1353.99,586.62,-30.52,92.74,44.75,500.78,159.62,8.1,167.72,5.62,162.1,12.5,174.6,40.23,134.37,134.37,21.01,6.39,6.39,0.0,0.0,0.0,0.0,0.0
