Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,10.22,10.22,222.41,222.41,232.62,25.13,51.63,0.0,0.0,76.76,192.42,91.26,1.91,10.46,296.05,605.72,255.9,0.0,2.78,0.0,258.67,20.2,2.82,0.0,0.0,281.7,101.82,149.58,9.28,63.35,0.0,324.02,605.72,34.15,8.6,170.93,1.93,7.95,1.12,20.1,0.0,0.0,103.26,0.0,0.0,14.96,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.51,10.51,271.48,271.48,281.99,12.54,55.15,0.0,0.0,67.69,308.02,122.33,2.44,15.12,447.91,797.6,311.94,0.0,5.91,0.0,317.86,21.6,1.59,0.0,0.0,341.05,151.68,207.12,3.39,94.36,0.0,456.55,797.6,50.16,13.49,261.11,7.59,7.95,1.31,21.5,0.0,0.0,143.73,0.0,0.0,39.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.51,10.51,313.37,313.37,323.87,3.12,60.13,0.0,0.0,63.26,435.48,125.18,4.93,12.63,578.21,965.34,350.58,0.0,1.77,0.0,352.35,72.15,1.4,0.0,0.0,425.9,171.06,262.85,3.0,102.53,0.0,539.44,965.34,54.85,29.86,323.33,10.58,7.95,2.2,72.04,0.0,0.0,221.99,0.0,0.0,19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,21.01,21.01,353.75,353.75,374.76,0.08,63.89,0.0,0.0,63.98,439.61,123.23,5.38,6.43,574.65,1013.39,361.1,0.0,43.66,0.0,404.76,72.76,1.28,0.0,0.0,478.8,162.97,246.21,6.71,118.7,0.0,534.59,1013.39,53.86,42.92,358.25,4.64,18.46,2.49,72.65,0.0,0.0,241.07,0.0,0.0,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,21.01,21.01,401.1,401.1,422.11,0.01,74.83,0.0,0.0,74.84,555.06,144.15,17.92,3.67,720.8,1217.75,485.9,0.0,33.54,0.0,519.44,133.25,5.68,0.0,0.0,658.36,209.29,260.28,20.19,69.63,0.0,559.39,1217.75,77.05,36.41,341.92,2.39,18.46,3.82,133.14,0.0,0.0,258.8,0.0,0.0,48.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,21.01,21.01,406.21,406.21,427.23,320.47,79.55,0.0,0.0,400.02,346.91,100.13,19.86,4.01,470.91,1298.16,541.89,0.0,26.08,0.0,567.98,142.45,4.84,0.0,0.0,715.27,221.49,234.93,10.78,115.68,0.0,582.89,1298.16,36.95,34.91,429.13,0.79,18.46,2.26,142.35,0.0,0.0,295.19,0.0,0.0,34.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,21.01,21.01,459.14,459.14,480.15,277.39,83.74,0.0,0.0,361.13,290.51,166.85,2.93,16.73,477.03,1318.32,560.14,0.0,19.64,0.0,579.78,142.39,2.37,0.0,0.0,724.55,209.53,260.37,5.03,118.84,0.0,593.77,1318.32,80.96,24.26,332.15,1.08,18.46,4.41,142.29,0.0,0.0,199.57,0.0,0.0,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,21.01,21.01,533.94,533.94,554.95,287.14,86.33,0.0,4.0,377.48,356.41,136.47,158.82,18.25,669.94,1602.37,605.06,2.75,31.75,0.0,639.56,142.37,0.0,26.78,0.46,809.17,286.93,364.55,8.13,133.52,0.07,793.2,1602.37,42.27,19.24,479.35,0.0,18.46,5.67,142.27,0.0,0.0,319.77,43.51,0.14,37.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,21.01,21.01,612.45,612.45,633.46,255.91,89.31,0.0,3.51,348.73,439.96,163.9,195.42,27.92,827.19,1809.38,671.16,1.64,40.09,0.0,712.88,141.58,0.0,33.21,0.46,888.13,323.98,433.52,6.71,155.44,0.55,921.25,1809.38,63.04,28.15,645.88,2.75,18.46,5.39,142.53,1.05,1.05,348.03,60.2,0.05,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,21.01,21.01,673.28,673.28,694.29,288.15,90.34,0.0,2.87,381.36,421.05,172.57,145.38,30.65,769.65,1845.3,707.1,0.53,21.41,0.0,729.04,132.02,0.0,38.41,0.47,899.93,321.18,432.92,10.59,178.7,1.98,945.37,1845.3,102.38,27.24,678.25,4.8,18.46,6.52,131.92,0.0,0.0,245.2,39.8,0.51,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,21.01,21.01,754.63,754.63,775.64,228.97,91.01,0.0,2.83,322.8,369.02,215.76,128.33,37.57,750.69,1849.13,782.47,0.0,20.53,0.0,803.0,123.16,0.0,34.74,0.34,961.24,290.18,405.77,9.21,178.27,4.48,887.9,1849.13,69.6,33.8,760.75,16.01,18.46,6.95,123.06,0.0,0.0,181.51,28.56,0.13,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,21.01,21.01,837.95,837.95,858.97,133.75,85.87,0.0,3.38,223.0,509.33,225.64,184.36,36.89,956.22,2038.19,795.08,0.0,14.73,0.0,809.8,113.93,0.0,163.15,0.34,1087.21,370.89,403.13,7.87,160.68,5.38,950.97,2038.19,127.84,55.43,898.72,17.17,18.46,10.27,113.83,3.02,3.02,238.16,31.99,0.6,42.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,21.01,21.01,1016.97,1016.97,1037.98,166.6,53.7,1.38,4.12,225.81,372.41,298.5,225.91,20.45,917.26,2181.06,810.41,0.0,53.98,0.5,864.89,308.55,0.0,3.02,70.19,1246.64,365.99,460.75,4.73,6.82,96.11,934.41,2181.06,110.21,76.79,908.12,9.46,18.46,8.7,291.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,21.01,21.01,1292.05,1292.05,1313.06,99.07,68.4,2.26,6.5,176.23,455.29,299.27,189.44,13.45,957.45,2446.74,916.55,0.0,50.43,0.48,967.46,320.58,0.0,2.46,125.6,1416.1,392.78,564.26,8.49,6.73,58.38,1030.64,2446.74,144.06,0.0,0.0,0.0,18.46,11.78,308.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,21.01,21.01,1567.99,1567.99,1589.0,97.77,120.62,6.39,7.14,231.92,367.13,353.88,219.94,18.47,959.42,2780.34,1034.11,0.0,31.54,0.46,1066.11,359.23,0.0,1.92,143.73,1570.99,446.72,677.97,10.88,6.78,67.0,1209.35,2780.34,0.0,337.84,0.0,1137.03,18.46,14.31,344.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
