Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,46.38,61.83,797.73,797.73,859.56,197.31,0.0,0.0,275.21,114.94,78.48,35.09,73.37,301.88,1436.66,326.22,40.97,26.07,0.0,393.26,558.93,3.84,0.0,0.0,956.03,0.0,161.45,128.37,75.75,115.06,0.0,480.63,1436.66,26.38,29.25,204.11,1.64,34.44,529.91,383.55,0.0,0.0,0.01,0.0,72.65,0.0,0.0,19.59,77.9,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,92.76,94.16,1011.28,1011.28,1105.44,1770.11,0.0,0.0,1858.05,44.54,83.13,53.88,84.45,266.0,3229.5,398.18,40.97,47.94,0.0,487.09,985.24,2.64,0.0,0.0,1474.97,0.0,186.62,234.97,890.03,442.91,0.0,1754.53,3229.5,39.77,66.27,275.1,11.55,80.82,304.17,950.63,0.0,0.0,0.01,0.0,81.68,0.0,0.0,26.33,87.94,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,92.87,94.27,1370.67,1370.67,1464.94,1727.59,0.0,0.0,1834.71,18.23,76.96,89.22,122.5,306.91,3606.56,491.8,44.39,30.8,0.0,566.99,779.62,2.68,0.0,0.0,1349.29,0.0,263.41,256.47,1230.82,506.57,0.0,2257.27,3606.56,39.76,74.62,365.21,39.64,80.82,490.53,745.01,0.0,0.0,0.0,0.0,179.04,0.0,0.0,29.61,107.12,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,96.7,98.07,2351.42,2351.42,2449.49,1047.76,0.0,0.0,1161.52,20.39,67.45,164.02,7.7,259.56,3870.57,544.9,44.39,31.91,0.0,621.2,1057.49,4.44,0.0,0.0,1683.13,0.0,333.38,310.0,1202.68,341.38,0.0,2187.44,3870.57,107.62,112.49,480.56,1.38,80.82,444.06,1022.88,0.0,0.0,0.0,0.0,220.2,0.0,0.0,59.0,113.76,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,103.56,103.56,4104.06,4104.06,4207.62,79.64,0.0,0.0,199.06,22.88,646.48,79.83,262.79,1011.98,5418.66,585.58,44.46,33.43,0.0,663.47,1843.57,6.48,0.0,0.0,2513.52,0.0,389.63,1055.44,1072.42,387.65,0.0,2905.14,5418.66,72.08,104.43,806.45,88.62,80.82,603.19,1808.96,0.0,0.0,0.0,0.0,248.64,0.0,0.0,19.44,119.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,103.56,103.56,5047.86,5047.86,5151.42,0.0,0.0,0.0,123.25,23.6,477.79,95.3,342.1,938.79,6213.46,654.8,44.46,75.95,0.0,775.21,2694.59,5.83,0.0,0.0,3475.63,0.0,486.74,680.03,1265.47,305.59,0.0,2737.83,6213.46,85.36,129.86,813.77,14.34,80.82,150.04,2664.2,0.0,0.0,0.0,0.0,259.26,0.0,0.0,36.77,123.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,103.56,103.56,5614.42,5614.42,5717.98,0.0,0.0,0.0,125.15,29.49,148.25,115.05,342.48,635.27,6478.4,696.06,44.46,92.15,0.0,832.67,3951.69,9.82,0.0,0.0,4794.18,0.0,570.14,553.29,187.27,373.52,0.0,1684.22,6478.4,184.24,111.41,838.95,11.88,80.82,571.22,3580.97,0.0,0.0,0.0,0.0,327.29,0.0,0.0,24.2,125.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,103.56,103.56,6576.97,6576.97,6680.53,0.0,2.19,8.68,139.38,50.53,269.66,42.08,424.42,786.69,7606.6,783.18,11.21,0.0,0.0,990.04,1778.59,0.0,143.89,0.19,2912.71,1822.83,618.26,542.62,1250.91,418.35,40.92,4693.89,7606.6,0.0,111.71,896.36,4.2,80.82,233.27,1710.95,34.6,1787.83,0.0,0.0,258.58,21.32,33.73,90.35,128.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,103.56,103.56,7774.56,7774.56,7878.12,0.0,2.03,98.62,234.56,40.3,400.19,62.54,515.49,1018.52,9131.2,975.93,1.37,0.0,0.0,1226.17,3592.8,0.0,338.54,2.83,5160.34,844.98,640.07,713.48,1327.71,390.61,54.01,3970.86,9131.2,0.0,154.94,1462.82,1.77,80.82,63.27,3531.07,12.09,832.73,0.0,0.0,289.52,34.71,66.9,90.78,133.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,103.56,103.56,7685.32,7685.32,7788.88,4.64,1.01,131.49,302.55,38.49,363.27,145.15,608.15,1155.06,9246.49,1134.76,1.03,0.0,0.0,1483.83,3376.49,0.0,491.09,7.83,5359.24,941.05,868.76,737.53,431.12,849.5,59.29,3887.25,9246.49,0.0,252.4,1923.8,37.72,80.82,66.6,3314.76,0.0,941.05,0.0,0.0,269.2,49.86,94.44,121.76,165.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
