Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,21.14,21.14,8.17,8.17,29.31,55.77,0.94,0.0,0.0,56.71,0.0,9.51,151.95,9.41,170.87,256.88,19.13,0.29,0.0,0.0,0.0,19.42,19.02,0.27,0.0,0.0,38.71,64.56,28.06,10.94,114.61,0.0,218.17,256.88,0.36,0.07,4.23,0.04,0.0,0.0,19.02,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,21.14,29.87,35.68,35.68,65.55,158.22,2.36,0.0,0.0,160.57,65.21,20.59,179.02,21.8,286.63,512.74,42.74,0.39,12.29,0.0,0.0,55.42,0.02,0.15,0.0,0.0,55.58,190.54,36.39,6.58,223.64,0.0,457.16,512.74,3.68,0.27,9.51,0.0,0.0,0.0,0.02,0.0,0.28,6.29,0.0,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,21.14,29.87,106.96,106.96,136.83,322.73,1.67,0.0,0.0,324.4,100.38,25.58,375.45,39.44,540.85,1002.08,99.43,0.48,366.61,0.0,0.0,466.52,2.7,0.0,0.0,0.0,469.22,254.4,80.3,44.97,153.2,0.0,532.86,1002.08,0.0,15.83,0.0,0.0,0.0,0.0,2.7,0.0,0.05,0.92,0.0,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,72.9,72.9,742.64,742.64,815.54,581.49,2.23,0.0,0.0,583.72,2.19,100.22,428.54,103.04,633.99,2033.26,182.79,1.1,902.83,0.0,0.0,1086.72,52.77,0.0,0.0,0.0,1139.48,377.8,157.74,68.36,289.88,0.0,893.77,2033.26,8.61,6.52,0.0,0.0,0.0,42.28,2.7,0.0,11.32,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,72.9,72.9,915.44,915.44,988.34,1366.15,0.0,0.0,0.0,1366.15,396.9,80.81,396.32,89.91,963.94,3318.43,186.95,0.0,1652.05,0.0,0.0,1839.0,29.4,1.07,0.0,0.0,1869.46,787.86,545.16,12.59,103.36,0.0,1448.97,3318.43,109.35,1.83,0.0,0.02,0.0,42.28,2.69,0.0,10.23,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,72.9,72.9,1016.59,1016.59,1089.49,1593.62,0.0,0.0,0.0,1593.62,318.56,80.53,475.03,27.99,902.11,3585.21,166.88,6.35,51.56,0.0,0.0,224.78,36.16,3.07,0.0,0.0,264.02,1049.19,355.32,21.05,1895.63,0.0,3321.2,3585.21,138.27,0.34,0.0,0.0,0.0,42.28,36.16,0.0,7.76,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,98.06,98.06,1610.4,1610.4,1708.47,1192.54,0.0,0.0,0.0,1192.54,261.5,86.61,474.71,53.71,876.52,3777.53,136.52,6.4,63.2,0.0,0.0,206.11,42.94,5.15,0.0,0.0,254.2,1017.39,416.58,80.04,2009.32,0.0,3523.33,3777.53,192.94,1.29,0.0,0.0,0.0,42.28,42.94,0.0,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,98.06,98.06,1758.56,1758.56,1856.62,2.07,0.0,17.76,2.57,22.4,325.12,284.18,1226.29,90.42,1926.0,3805.03,136.65,0.63,64.65,0.0,0.0,201.93,50.61,7.38,460.72,7.8,728.45,970.67,104.44,21.7,1694.38,284.4,3076.58,3805.03,112.94,1.81,0.0,0.0,0.0,42.28,50.61,1.0,10.73,2.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,98.06,98.06,1902.42,1902.42,2000.49,24.44,33.04,17.76,2.07,77.31,197.34,335.83,1336.67,123.63,1993.46,4071.26,273.96,5.79,1.28,0.0,0.0,281.03,153.91,0.0,555.32,9.24,999.5,1435.19,111.72,53.3,1257.37,214.19,3071.76,4071.26,104.89,2.56,0.0,0.0,0.0,42.28,153.91,0.0,10.45,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,98.06,98.06,2018.69,2018.69,2116.75,14.9,63.81,0.0,19.21,97.92,1078.46,407.3,842.49,126.49,2454.75,4669.42,312.8,4.07,0.0,0.0,0.0,316.87,247.83,0.0,430.81,8.86,1004.38,1587.96,164.67,54.52,1397.81,460.08,3665.04,4669.42,360.98,3.44,0.0,0.0,0.0,42.28,247.83,0.0,21.38,12.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
