Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2014-12-31,646.8,11.8,658.6,43.7,0.0,37.3,52.2,17.6,425.8,82.0,3.5,85.5,38.0,47.5,47.5,14.7,32.8,32.8,98.1,0.0,3.34,3.34,3.87,39.42,4.87,81.99,49.67
2015-03-31,481.4,1.6,483.0,48.2,0.0,-52.6,48.0,17.0,321.1,101.3,4.0,105.3,23.2,82.1,82.1,28.1,54.0,54.0,98.1,0.0,5.51,5.51,3.87,39.42,4.87,81.99,49.67
2015-06-30,448.9,1.1,450.0,40.3,122.4,-139.2,44.5,13.6,260.6,107.8,2.5,110.3,37.1,73.2,73.2,26.8,46.4,46.4,98.1,0.0,4.73,4.73,3.87,39.42,4.87,81.99,49.67
2015-09-30,439.7,1.5,441.2,39.9,98.5,-95.2,44.9,12.7,256.4,84.0,5.3,89.3,39.7,49.6,49.6,17.2,32.4,32.4,98.1,0.0,3.3,3.3,3.87,39.42,4.87,81.99,49.67
2015-12-31,384.7,5.6,390.3,39.2,84.0,-73.1,43.7,14.4,197.2,84.9,3.2,88.1,40.2,47.9,47.9,18.2,29.7,29.7,98.1,0.0,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2016-03-31,521.0,0.8,521.8,41.1,69.6,40.5,43.4,17.9,196.8,112.5,4.2,116.7,35.9,80.8,80.8,52.4,28.4,28.4,98.1,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0
2016-06-30,579.2,0.9,580.1,38.7,114.5,28.4,46.3,14.4,249.4,88.4,7.6,96.0,37.6,58.4,58.4,21.7,36.7,36.7,98.1,0.0,3.74,3.74,0.0,0.0,0.0,0.0,0.0
2016-09-30,527.2,0.4,527.6,42.4,104.8,-31.5,45.2,14.5,267.5,84.7,9.3,94.0,37.2,56.8,56.8,21.5,35.3,35.3,96.3,0.0,3.65,3.65,0.0,0.0,0.0,0.0,0.0
2016-12-31,533.0,0.5,533.5,52.8,134.3,-206.6,43.2,14.7,419.8,75.3,8.1,83.4,36.6,46.8,46.8,18.4,28.4,28.4,96.3,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2017-03-31,542.3,8.8,551.1,64.1,192.6,-530.8,43.2,16.4,665.2,100.4,1.5,101.9,39.0,62.9,62.9,23.2,39.7,39.7,96.3,0.0,4.12,4.12,0.0,0.0,0.0,0.0,0.0
2017-06-30,636.7,8.7,645.4,63.3,160.1,-6.3,49.1,12.5,256.3,110.4,0.8,111.2,44.6,66.6,66.6,21.8,44.8,44.8,96.3,0.0,4.65,4.65,0.0,0.0,0.0,0.0,0.0
2017-09-30,608.0,8.0,616.0,59.6,155.5,-1.3,49.5,12.7,224.9,115.1,2.8,117.9,51.1,66.8,66.8,22.3,44.5,44.5,96.3,0.0,4.62,4.62,0.0,0.0,0.0,0.0,0.0
2017-12-31,632.9,8.1,641.0,63.7,160.5,-20.1,47.4,12.7,258.8,118.0,0.3,118.3,49.3,69.0,69.0,24.3,44.7,44.7,94.8,2462.4,4.7,4.7,0.0,0.0,0.0,0.0,0.0
2018-03-31,719.8,7.5,727.3,67.4,171.7,27.3,52.5,12.5,277.6,118.3,11.5,129.8,49.8,80.0,80.0,20.1,59.9,59.9,94.8,2522.3,6.32,6.32,0.0,0.0,0.0,0.0,0.0
2018-06-30,534.7,8.1,542.8,52.9,202.7,-170.9,51.7,13.9,285.3,107.2,4.3,111.5,52.2,59.3,59.3,16.1,43.2,43.2,94.8,1821.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2018-09-30,640.9,11.2,652.1,61.8,202.0,-158.3,59.8,14.4,342.5,129.9,6.2,136.1,51.7,84.4,84.4,27.1,57.3,57.3,94.8,1796.9,6.04,6.04,0.0,0.0,0.0,0.0,0.0
2018-12-31,772.3,9.5,781.8,61.5,386.0,-227.5,58.8,14.8,336.6,151.6,9.7,161.3,51.6,109.7,109.7,38.6,71.1,71.1,94.8,1867.4,7.5,7.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,1410.0,12.7,1422.7,99.4,24.5,294.9,65.6,15.1,685.0,238.2,14.2,252.4,73.8,178.6,178.6,63.6,115.0,115.0,94.8,1982.5,12.13,12.13,0.0,0.0,0.0,0.0,0.0
2019-06-30,1171.8,12.8,1184.6,80.8,250.9,-94.4,64.6,16.3,645.2,221.2,3.0,224.2,82.0,142.2,142.2,51.1,91.1,91.1,94.8,2073.9,9.61,9.61,0.0,0.0,0.0,0.0,0.0
2019-09-30,802.4,11.1,813.5,83.6,193.5,-186.5,63.6,16.6,392.5,250.2,9.0,259.2,164.4,94.8,94.8,25.9,68.9,68.9,94.8,2062.7,7.26,7.26,0.0,0.0,0.0,0.0,0.0
2019-12-31,876.0,10.7,886.7,66.6,88.9,-5.1,58.2,16.9,387.0,274.2,6.4,280.6,167.4,113.2,113.2,37.0,76.2,76.2,94.8,0.0,8.03,8.03,0.0,0.0,0.0,0.0,0.0
2020-03-31,906.5,10.1,916.6,69.2,38.5,-30.4,60.0,17.6,511.3,250.4,10.7,261.1,170.3,90.8,90.8,37.6,53.2,53.2,94.8,0.0,5.61,5.61,0.0,0.0,0.0,0.0,0.0
2020-06-30,349.7,0.0,349.7,27.7,21.5,-47.3,30.4,17.7,126.6,173.1,9.4,182.5,175.3,7.2,7.2,-0.1,7.3,7.3,94.8,0.0,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2020-12-31,670.7,0.0,670.7,46.6,143.5,-40.6,48.3,19.0,312.5,141.4,19.1,160.5,132.3,28.2,28.2,4.9,23.3,23.3,94.8,0.0,2.46,2.46,0.0,0.0,0.0,0.0,0.0
2021-03-31,553.3,0.0,553.3,64.1,157.0,-273.8,52.6,20.5,415.9,117.0,42.3,159.3,144.8,14.5,14.5,-3.8,18.3,18.3,94.8,0.0,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2021-06-30,511.6,0.0,511.6,37.3,30.6,10.2,51.7,16.5,184.8,180.5,13.4,193.9,178.6,15.3,15.3,2.7,12.6,12.6,94.8,0.0,1.33,1.33,0.0,0.0,0.0,0.0,0.0
2021-09-30,815.5,0.0,815.5,45.3,202.7,-8.4,62.2,16.8,266.6,230.3,13.9,244.2,179.9,64.3,64.3,17.0,47.3,47.3,94.8,0.0,4.99,4.99,0.0,0.0,0.0,0.0,0.0
2021-12-31,655.4,0.0,655.4,45.7,218.3,-121.8,56.3,16.8,279.9,160.2,30.2,190.4,156.7,33.7,33.7,8.5,25.2,25.2,94.8,0.0,2.66,2.66,0.0,0.0,0.0,0.0,0.0
2022-03-31,731.6,0.0,731.6,69.9,146.0,-154.6,59.3,17.9,410.3,182.8,37.3,220.1,180.8,39.3,39.3,11.6,27.7,27.7,94.8,0.0,2.92,2.92,0.0,0.0,0.0,0.0,0.0
2022-06-30,587.2,0.0,587.2,65.6,103.2,-135.5,58.5,14.1,295.4,185.9,15.9,201.8,183.7,18.1,18.1,5.2,12.9,12.9,94.8,0.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2022-09-30,644.4,0.0,644.4,90.1,288.1,-576.4,76.5,17.2,687.6,61.3,25.0,86.3,61.3,25.0,25.0,11.2,13.8,13.8,94.8,0.0,1.46,1.46,0.0,0.0,0.0,0.0,0.0
2022-12-31,890.5,0.0,890.5,97.4,215.0,-505.9,74.5,16.9,916.6,76.0,28.5,104.5,62.4,42.1,42.1,5.5,36.6,36.6,94.8,0.0,3.86,3.86,0.0,0.0,0.0,0.0,0.0
2023-03-31,1219.5,0.0,1219.5,112.9,342.8,-201.1,79.1,16.9,779.7,89.2,33.0,122.2,59.6,62.6,62.6,18.6,44.0,44.0,94.8,0.0,4.64,4.64,0.0,0.0,0.0,0.0,0.0
2023-06-30,889.02,0.0,889.02,72.98,259.26,96.0,79.61,17.31,326.01,37.85,33.87,71.72,59.55,12.17,12.17,4.15,8.02,8.02,94.85,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2023-09-30,743.81,0.0,743.81,78.22,246.18,-196.75,90.82,18.31,456.96,50.07,35.07,85.14,62.27,22.87,22.87,8.09,14.79,14.79,94.85,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2023-12-31,695.11,0.0,695.11,73.79,242.11,-148.93,90.39,19.1,365.62,53.03,31.11,84.14,59.93,24.22,24.22,6.44,17.78,17.78,94.85,0.0,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2024-03-31,764.01,0.0,764.01,64.05,238.14,-218.36,91.81,19.47,532.27,36.63,30.64,67.27,58.16,9.11,9.11,3.13,5.98,5.98,94.85,0.0,0.63,0.63,0.0,0.0,0.0,0.0,0.0
2024-06-30,633.23,0.0,633.23,60.27,245.15,-1190.91,92.96,19.38,1373.27,33.12,32.37,65.49,52.51,12.98,12.98,3.94,9.04,9.04,94.85,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2024-09-30,912.17,0.0,912.17,59.63,329.7,-367.08,99.59,21.87,719.38,49.1,34.8,83.89,48.02,35.87,35.87,10.27,25.6,25.6,100.9,0.0,2.55,2.54,0.0,0.0,0.0,0.0,0.0
2024-12-31,1246.8,0.0,1246.8,63.15,349.88,-78.47,104.01,22.62,738.22,47.4,35.9,83.29,45.58,37.71,37.71,10.17,27.55,27.55,100.9,0.0,2.73,2.67,0.0,0.0,0.0,0.0,0.0
