Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-03-31,475.8,1.1,476.9,36.3,0.0,-32.5,34.2,11.7,258.3,168.9,1.3,170.2,37.1,133.1,133.1,44.1,89.0,89.0,98.1,0.0,9.08,9.08,3.87,39.45,4.87,81.98,49.64
2012-06-30,423.5,1.2,424.7,28.1,0.0,7.1,41.2,12.6,235.1,100.6,1.5,102.1,34.1,68.0,68.0,22.0,46.0,46.0,98.1,0.0,4.69,4.69,3.87,39.45,4.87,81.98,49.64
2012-09-30,394.0,0.8,394.8,25.8,0.0,-74.1,40.4,13.8,295.5,93.4,1.1,94.5,37.8,56.7,56.7,15.8,40.9,40.9,98.1,0.0,4.17,4.17,3.87,39.45,4.87,81.99,49.67
2012-12-31,426.1,1.0,427.1,22.1,0.0,-60.0,39.7,14.5,300.5,110.3,2.6,112.9,36.2,76.7,76.7,25.1,51.6,51.6,98.1,0.0,5.26,5.26,3.87,39.42,4.87,81.99,49.67
2013-03-31,555.1,1.3,556.4,31.8,0.0,-21.8,42.2,15.2,370.2,118.8,2.5,121.3,34.8,86.5,86.5,28.3,58.2,58.2,98.1,0.0,5.93,5.93,3.87,39.42,4.87,81.99,49.67
2013-06-30,474.2,0.6,474.8,34.6,0.0,-64.1,49.0,15.7,329.4,110.2,2.8,113.0,30.6,82.4,82.4,29.7,52.7,52.7,98.1,0.0,5.37,5.37,3.87,39.42,4.87,81.99,49.67
2013-09-30,530.4,0.8,531.2,42.1,0.0,-77.4,40.8,16.3,402.5,106.9,5.2,112.1,34.5,77.6,77.6,26.0,51.6,51.6,98.1,0.0,5.26,5.26,3.87,39.42,4.87,81.99,49.67
2014-03-31,564.0,5.1,569.1,52.4,0.0,-173.3,46.4,17.2,523.6,102.8,5.3,108.1,35.3,72.8,72.8,24.5,48.3,48.3,98.1,0.0,4.93,4.93,3.87,39.42,4.87,81.99,49.67
2014-06-30,567.7,1.8,569.5,47.7,0.0,-226.6,46.1,17.2,566.1,119.0,6.2,125.2,40.7,84.5,84.5,28.2,56.3,56.3,98.1,0.0,5.74,5.74,3.87,39.42,4.87,81.99,49.67
2014-09-30,668.6,2.7,671.3,48.6,0.0,3.3,51.4,17.1,420.8,130.1,5.6,135.7,50.4,85.3,85.3,29.3,56.0,56.0,98.1,0.0,5.71,5.71,3.87,39.42,4.87,81.99,49.67
