Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,15.3,15.3,249.63,249.63,264.94,0.65,0.0,0.0,69.79,150.45,0.4,36.68,188.81,523.54,87.37,0.0,21.15,0.0,0.0,108.52,130.4,0.0,0.0,251.72,0.0,107.21,111.72,18.71,34.18,0.0,271.82,523.54,23.89,5.31,8.89,0.29,0.01,5.42,9.48,121.76,0.0,0.0,69.14,86.4,0.0,0.0,0.0,12.81,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.51,25.51,297.89,297.89,323.4,2.9,0.0,0.0,86.54,143.68,0.31,76.54,224.02,633.96,131.63,0.0,29.26,0.0,0.0,160.89,179.12,0.0,0.0,352.63,0.0,114.56,104.84,13.32,48.62,0.0,281.33,633.96,14.36,6.07,12.34,0.92,0.04,15.62,6.33,173.11,0.0,0.0,83.65,113.26,0.0,0.0,2.71,12.62,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,25.51,25.51,380.55,380.55,406.05,3.41,0.0,0.0,103.17,151.08,0.98,77.7,239.76,748.98,159.89,0.0,17.96,0.0,0.0,177.85,163.93,0.0,0.0,353.42,0.0,178.24,143.92,15.79,57.62,0.0,395.57,748.98,6.9,7.32,32.91,3.27,0.26,15.62,6.37,157.92,0.0,0.0,99.76,140.59,0.0,0.0,1.21,11.63,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,25.51,25.51,484.78,484.78,510.29,5.08,0.0,0.0,108.15,149.62,2.72,44.03,203.31,823.18,189.82,0.0,17.63,0.0,0.0,207.45,154.82,0.0,0.0,373.86,0.0,180.42,194.69,21.49,52.71,0.0,449.32,823.18,2.88,8.57,37.85,1.76,0.34,15.62,7.53,147.46,0.0,0.0,103.07,163.28,0.0,0.0,2.41,11.59,1.44,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,26.95,26.95,566.74,566.74,593.69,0.59,0.0,0.0,97.5,168.38,0.51,83.7,253.64,944.82,207.2,0.0,26.64,0.0,0.0,233.84,232.14,0.0,0.0,476.96,0.0,173.41,212.93,33.38,48.15,0.0,467.87,944.82,5.91,9.54,1.65,4.27,1.21,15.62,7.89,224.78,0.0,0.0,96.91,188.58,0.0,0.0,3.52,10.98,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,26.95,26.95,627.5,627.5,654.45,1.39,0.0,0.0,93.18,243.8,0.44,83.85,329.92,1077.55,237.44,0.0,35.62,0.0,0.0,273.06,294.43,0.0,0.0,579.47,0.0,170.63,209.57,76.16,41.71,0.0,498.08,1077.55,2.85,9.28,21.47,4.16,1.04,15.62,21.25,273.7,0.0,0.0,91.79,173.63,0.0,0.0,4.17,11.99,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,26.95,26.95,745.87,745.87,772.82,1.13,0.0,0.0,89.01,303.87,0.46,93.67,420.1,1281.93,287.12,2.21,16.43,0.0,0.0,305.75,401.54,0.0,0.0,719.94,0.0,247.44,232.37,41.08,41.09,0.0,561.99,1281.93,25.19,10.56,22.4,0.7,0.03,15.62,25.84,376.29,0.0,0.0,87.89,282.04,0.0,0.0,0.76,12.65,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,53.89,53.89,862.28,862.28,916.17,0.0,0.0,42.84,117.89,320.37,54.64,66.27,441.28,1475.34,273.65,4.55,75.17,0.0,0.0,353.37,72.69,53.46,0.0,492.93,299.14,354.1,260.26,39.6,12.2,17.11,982.41,1475.34,84.33,12.58,28.0,0.64,0.03,42.57,0.0,174.81,25.84,197.02,75.05,352.65,1.94,20.62,1.31,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,53.89,53.89,1009.26,1009.26,1063.15,0.0,0.0,43.21,112.19,354.24,95.37,73.17,522.78,1698.12,393.06,3.27,161.49,0.0,0.0,557.81,43.91,43.72,0.0,655.67,139.59,453.71,358.83,59.18,12.75,18.39,1042.45,1698.12,24.48,12.52,37.33,1.11,0.06,42.57,0.0,73.92,40.64,109.58,68.98,475.76,0.98,28.6,6.91,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,53.89,53.89,1232.09,1232.09,1285.98,43.06,0.0,38.52,142.07,389.34,164.83,80.0,634.18,2062.23,772.57,1.9,123.49,0.0,0.0,897.96,48.1,44.24,0.0,990.3,12.5,534.07,419.99,60.07,19.3,26.0,1071.93,2062.23,89.07,14.9,41.06,0.59,0.03,42.57,4.83,43.95,0.0,12.5,60.49,491.49,1.19,24.96,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,53.89,53.89,1369.3,1369.3,1423.2,65.84,0.0,28.79,146.34,440.74,166.34,78.51,685.59,2255.13,904.88,4.7,48.16,0.0,0.0,957.73,33.1,40.15,0.0,1030.98,23.38,645.66,454.84,54.87,25.52,19.89,1224.15,2255.13,6.32,15.01,41.06,1.29,0.06,42.57,4.53,28.96,0.0,23.38,51.71,606.18,1.98,25.0,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,53.89,53.89,1542.93,1542.93,1596.82,75.15,0.0,25.49,142.14,327.17,180.63,96.6,604.4,2343.36,902.56,2.44,43.94,0.0,0.0,948.94,33.1,66.74,0.0,1048.78,182.48,541.67,496.34,34.05,19.97,20.07,1294.58,2343.36,8.31,14.39,41.06,0.67,0.03,42.56,4.87,28.96,0.0,182.48,41.5,587.68,1.66,28.91,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,53.89,53.89,2235.27,2235.27,2289.16,84.13,0.0,16.9,129.82,400.04,244.14,206.21,850.39,3269.37,926.04,0.52,41.95,0.0,0.0,968.51,43.89,72.91,0.0,1085.31,498.61,571.71,524.62,477.89,90.3,20.93,2184.06,3269.37,86.74,14.41,52.26,1.1,0.05,42.56,33.96,10.63,0.0,498.61,28.79,797.69,1.12,24.98,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,53.89,53.89,2751.43,2751.43,2805.32,79.21,0.0,0.0,97.54,550.2,121.04,23.26,694.5,3597.36,945.53,0.89,142.12,0.0,0.18,1088.72,22.03,10.31,121.64,1242.7,530.75,691.31,571.71,249.69,11.19,300.01,2354.66,3597.36,240.25,18.46,0.0,2.24,0.05,42.56,0.67,21.36,25.04,505.71,18.33,902.09,1.57,22.45,7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,53.89,53.89,3071.23,3071.23,3125.12,80.42,0.0,0.0,90.13,683.58,147.9,21.13,852.61,4067.86,1004.28,2.12,343.09,0.0,0.18,1349.67,25.81,11.26,150.49,1537.23,519.96,805.76,675.69,360.91,3.32,164.99,2530.63,4067.86,162.05,19.56,0.0,4.95,0.1,42.56,0.69,25.12,14.14,505.82,9.71,1034.56,2.59,32.11,22.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,53.89,53.89,3370.58,3370.58,3424.47,105.1,0.0,0.0,108.5,631.86,126.68,14.41,772.95,4305.92,1312.19,3.54,314.69,0.0,0.18,1630.6,108.93,13.27,390.95,2143.75,195.56,1052.77,674.02,81.37,4.58,153.87,2162.17,4305.92,162.36,1210.35,0.0,0.0,7.84,42.56,0.71,108.22,14.31,181.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,53.89,53.89,3732.98,3732.98,3786.87,84.97,49.04,0.0,134.01,519.51,136.4,15.65,671.56,4592.44,1705.67,2.79,164.43,0.0,0.18,1873.07,149.92,14.88,291.2,2329.07,305.1,930.14,674.5,166.28,4.3,183.05,2263.37,4592.44,158.57,769.25,0.0,0.0,9.6,42.56,0.47,149.45,16.26,288.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,53.89,53.89,4027.04,4027.04,4080.93,88.38,72.69,0.0,161.07,809.03,139.08,19.01,967.12,5209.12,1724.75,1.18,205.83,0.0,0.18,1931.94,165.54,14.59,203.26,2315.33,668.06,1090.2,836.16,75.29,6.23,217.85,2893.79,5209.12,204.89,763.12,0.0,0.0,9.39,42.56,0.57,175.79,16.23,651.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,53.89,53.89,4117.04,4117.04,4170.93,95.55,85.93,22.27,203.75,890.4,112.06,18.58,1021.04,5395.72,1866.42,9.55,223.88,0.0,0.18,2100.03,90.87,0.0,233.51,2424.41,209.46,1531.54,965.43,80.65,0.0,184.23,2971.31,5395.72,208.27,1106.38,0.0,0.0,11.6,42.56,0.71,112.37,9.52,199.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,53.89,53.89,4553.49,4553.49,4607.38,102.25,93.78,21.13,217.16,937.51,292.19,20.89,1250.59,6075.13,1985.91,8.9,112.62,0.0,0.13,2107.56,154.9,0.0,250.55,2513.01,498.13,1648.02,1117.15,94.74,0.0,204.08,3562.12,6075.13,103.12,1315.08,0.0,0.0,10.62,42.56,0.89,154.01,11.53,486.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
