Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,400.7,22.1,422.8,152.5,41.5,7.7,60.9,22.3,87.4,50.5,16.1,66.6,0.3,66.3,0.0,66.3,21.5,44.8,0.0,44.8,23.0,19.49,19.49,0.91,39.6,1.39,100.0,60.4
2013-03-31,362.9,25.2,388.1,155.2,77.2,-67.6,56.4,22.3,94.9,49.7,16.2,65.9,0.3,65.6,0.0,65.6,21.3,44.3,0.0,44.3,23.0,19.2,19.2,0.91,39.6,1.39,100.0,60.4
2013-06-30,410.0,25.1,435.1,143.8,61.0,-6.0,62.4,22.7,86.5,64.7,14.5,79.2,0.1,79.1,0.0,79.1,27.9,51.2,0.0,51.2,23.0,22.27,22.27,0.91,39.6,1.39,100.0,60.4
2013-09-30,472.5,24.9,497.4,156.4,56.3,12.2,60.6,23.4,87.3,101.2,15.3,116.5,0.0,116.5,0.0,116.5,39.6,76.9,0.0,76.9,23.0,33.43,33.43,0.91,39.6,1.39,100.0,60.4
2013-12-31,461.1,27.2,488.3,161.7,43.1,16.2,62.5,23.9,90.9,90.0,11.8,101.8,0.0,101.8,25.4,127.2,34.5,92.7,0.0,92.7,23.0,40.29,40.29,0.91,39.6,1.39,100.0,60.4
2014-03-31,419.9,25.0,444.9,186.7,48.8,-22.3,62.5,24.0,88.2,57.0,21.5,78.5,0.2,78.3,0.0,78.3,26.6,51.7,0.0,51.7,23.0,22.48,22.48,0.91,39.6,1.39,100.0,60.4
2014-06-30,486.7,19.1,505.8,157.7,111.4,-22.7,70.5,24.0,91.0,73.9,13.5,87.4,0.2,87.2,0.0,87.2,29.7,57.5,0.0,57.5,23.0,24.96,24.96,0.91,39.6,1.39,100.0,60.4
2014-09-30,487.3,27.6,514.9,158.1,112.6,-18.3,71.7,24.0,86.9,79.9,14.1,94.0,0.0,94.0,0.0,94.0,32.0,62.0,0.0,62.0,23.0,26.93,26.93,0.91,39.6,1.39,100.0,60.4
2014-12-31,481.1,30.8,511.9,135.4,215.1,-88.4,83.5,24.6,110.2,31.5,15.2,46.7,0.1,46.6,0.0,46.6,20.7,25.9,66.6,92.5,23.0,40.09,40.09,0.91,39.6,1.39,100.0,60.4
2015-03-31,459.8,29.1,488.9,141.6,125.2,-26.9,78.7,25.9,87.4,57.0,19.4,76.4,0.1,76.3,0.0,76.3,27.9,48.4,16.1,64.5,23.0,28.04,28.04,0.91,39.6,1.39,100.0,60.4
