Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-12-31,23.03,23.03,380.99,398.8,0.0,421.83,0.0,0.0,19.6,40.32,57.11,32.55,129.98,571.41,124.9,26.76,2.79,0.0,154.45,5.29,0.53,0.0,0.0,160.27,101.65,91.82,167.31,50.37,0.0,411.14,571.41,99.62,16.54,18.46,192.86,20.4,18.38,1.94,5.17,17.81,0.0,167.8,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,23.03,23.03,483.78,500.75,0.0,523.78,15.71,0.0,15.71,56.34,28.22,86.41,170.97,710.46,113.74,26.76,1.34,0.0,141.84,5.31,21.43,0.0,0.0,168.59,136.34,51.03,294.39,60.12,0.0,541.88,710.46,117.07,4.52,18.46,222.2,20.34,18.38,5.1,5.18,16.97,0.0,210.55,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,23.03,23.03,569.04,585.18,0.0,608.21,14.04,0.0,14.04,82.31,28.11,139.59,250.01,872.26,105.27,27.16,13.2,0.0,145.62,5.31,27.15,0.0,0.0,178.08,158.8,68.49,386.12,80.78,0.0,694.18,872.26,132.88,3.45,18.46,220.82,15.12,18.38,9.37,5.18,16.14,0.0,218.19,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,23.03,23.03,668.52,683.82,0.0,706.85,13.99,0.0,13.99,97.34,16.01,95.35,208.7,929.55,108.2,27.47,9.32,0.0,144.99,5.31,26.61,0.0,0.0,176.91,180.8,57.51,390.62,123.73,0.0,752.64,929.55,132.54,5.3,36.94,166.76,17.8,18.38,23.37,5.18,15.3,0.0,219.08,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,23.03,23.03,791.61,806.07,0.0,829.1,12.89,0.0,12.89,127.23,11.21,97.79,236.23,1078.23,115.36,27.47,6.25,0.0,149.08,5.19,28.21,0.0,0.0,182.48,172.55,89.5,497.37,136.32,0.0,895.75,1078.23,150.63,6.95,18.47,205.49,23.6,18.38,3.67,5.06,14.46,0.0,244.08,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,23.03,23.03,895.14,908.76,0.0,931.79,15.23,0.0,15.23,118.22,39.95,115.37,273.54,1220.57,116.83,28.06,27.14,0.0,172.04,5.19,29.8,0.0,0.0,207.03,231.14,52.74,585.95,143.72,0.0,1013.54,1220.57,157.67,5.0,18.47,224.8,52.17,18.38,8.76,5.06,13.63,0.0,346.98,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,23.03,23.03,978.33,991.12,0.0,1014.15,15.47,0.0,15.47,124.12,49.58,220.56,394.26,1423.88,144.44,26.61,13.3,0.0,184.35,0.36,25.32,0.0,0.0,210.03,241.32,60.44,655.35,256.74,0.0,1213.85,1423.88,135.38,4.08,28.51,206.69,175.31,18.38,19.84,0.24,12.79,0.0,330.05,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,23.03,23.03,1081.64,1093.59,0.0,1116.62,8.46,1.0,29.02,147.64,70.9,138.36,356.9,1502.54,167.36,569.61,20.51,2.35,759.83,0.36,0.0,74.98,0.63,835.8,254.27,104.09,234.23,67.73,6.42,666.74,1502.54,169.27,8.85,76.5,219.53,85.45,18.38,13.36,0.24,11.95,19.56,187.19,0.4,190.28,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,23.03,23.03,1169.98,1181.09,0.0,1204.12,21.28,0.0,40.56,154.17,84.99,147.47,386.63,1631.31,194.25,505.11,40.63,2.84,742.83,0.36,0.0,58.18,2.64,804.01,272.45,98.6,428.85,23.3,4.1,827.3,1631.31,143.32,8.07,45.9,244.67,75.66,18.38,32.08,0.24,11.11,19.28,192.45,0.21,231.13,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,23.03,23.03,1313.4,1323.67,0.0,1346.7,36.69,0.74,62.71,187.1,89.93,158.35,435.38,1844.79,254.0,444.55,136.2,0.0,834.75,0.24,0.0,61.59,1.07,897.65,340.0,118.31,264.4,219.12,5.31,947.14,1844.79,296.19,8.34,54.25,415.17,71.31,18.38,0.0,0.24,10.27,25.28,215.59,0.58,312.6,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,23.03,23.03,1459.35,1462.81,0.0,1485.84,53.88,0.0,85.95,326.86,110.04,218.92,655.82,2227.61,266.21,382.15,207.81,2.07,858.24,0.24,0.0,104.81,1.5,964.79,478.09,115.22,468.84,196.14,4.53,1262.82,2227.61,249.66,12.08,13.91,478.79,70.73,18.38,0.0,0.24,3.46,32.07,285.14,0.49,435.69,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,23.03,23.03,1603.87,1604.13,0.0,1627.16,120.28,11.41,160.5,225.61,106.1,285.24,616.95,2404.61,557.53,319.6,17.78,4.28,899.19,0.24,0.0,259.84,1.66,1160.93,479.22,144.06,571.51,43.73,5.16,1243.68,2404.61,120.99,13.01,25.04,531.15,136.87,18.38,0.0,0.24,0.26,28.81,284.0,0.4,271.58,15.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,23.0,23.0,1712.3,1712.6,0.0,1735.6,96.6,11.9,136.6,242.4,111.0,314.4,667.8,2540.0,561.1,248.7,29.4,4.2,843.4,0.2,0.0,128.6,0.5,972.7,493.1,144.8,558.5,362.7,8.2,1567.3,2540.0,170.7,21.9,25.0,580.1,134.4,18.38,0.0,0.2,0.3,28.1,261.0,1.1,375.5,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,23.0,23.0,2003.4,2003.4,0.0,2026.4,103.1,46.5,149.6,326.9,149.9,124.9,601.7,2777.7,546.1,222.9,24.4,5.7,799.1,0.2,0.0,418.1,116.5,1333.9,415.6,195.1,729.9,3.5,99.7,1443.8,2777.7,203.3,525.7,0.0,630.6,0.0,18.38,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,23.0,23.0,2196.2,2196.2,0.0,2219.2,92.1,49.1,141.2,343.8,151.3,128.4,623.5,2983.9,547.9,184.9,16.4,4.7,753.9,0.2,0.0,512.9,124.7,1391.7,483.1,158.4,831.9,4.3,114.5,1592.2,2983.9,235.8,758.7,0.0,714.5,0.0,18.38,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,23.0,23.0,2419.3,2419.3,0.0,2442.3,44.6,54.1,98.7,368.9,196.3,138.2,703.4,3244.4,352.7,146.0,12.7,4.7,516.1,0.0,0.0,460.2,138.8,1115.1,469.6,224.0,1129.5,1.5,304.7,2129.3,3244.4,290.6,831.8,0.0,870.7,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,23.0,23.0,2042.0,2042.0,54.0,2119.0,30.2,82.5,112.7,318.3,220.0,148.5,686.8,2918.5,356.6,107.5,6.3,3.7,474.1,0.0,0.0,457.9,153.2,1085.2,368.0,148.0,1208.6,5.7,103.0,1833.3,2918.5,267.7,602.0,0.0,815.6,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,23.0,23.0,2142.5,2142.5,60.1,2225.6,6.3,79.5,85.8,376.7,242.9,130.0,749.6,3061.0,332.8,1.3,8.9,3.9,346.9,0.0,0.0,457.4,118.8,923.1,392.4,142.9,1550.3,4.5,47.8,2137.9,3061.0,283.4,572.3,0.0,385.6,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,23.0,23.0,1190.6,1190.6,62.2,1275.8,4.9,50.4,55.3,356.4,241.5,142.7,740.6,2071.7,305.2,0.3,18.8,4.8,329.1,0.0,0.0,0.0,132.3,461.4,408.0,129.1,1016.9,2.0,54.3,1610.3,2071.7,288.8,403.68,0.0,390.4,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,23.0,23.0,924.2,924.2,68.3,1015.5,3.7,44.6,48.3,291.5,225.7,134.1,651.3,1715.1,310.0,4.9,13.3,2.6,330.8,2.0,0.0,0.0,136.0,468.8,663.8,131.7,404.9,1.9,44.0,1246.3,1715.1,297.1,717.67,0.0,514.31,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,23.0,23.0,837.6,837.6,0.0,860.6,0.0,32.0,32.0,406.3,194.4,118.5,719.2,1611.8,311.2,1.3,18.1,0.0,330.6,0.0,0.1,0.0,154.3,485.0,499.8,230.0,294.8,1.0,101.2,1126.8,1611.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
