Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net]
2005-09-30,47.11,100.0,147.11,679.23,700.35,847.46,758.06,67.43,0.0,0.0,825.49,239.64,367.41,90.24,37.14,734.42,2407.37,639.02,0.0,89.46,728.48,96.22,0.0,0.0,832.25,0.0,926.25,333.46,150.86,164.56,0.0,1575.12,2407.37,30.92,943.31,2.43,598.01,944.89,25.8,161.98,79.11,0.0,21.12,922.92,0.0,18.54,0.0,7.55
2006-09-30,48.36,100.0,148.36,854.86,871.8,1020.17,1079.1,77.64,0.0,0.0,1156.74,300.85,963.08,137.4,89.88,1491.21,3679.77,715.0,0.11,166.64,881.75,96.47,0.0,0.0,979.24,0.0,1374.13,752.63,390.98,182.79,0.0,2700.53,3679.77,144.39,1408.12,3.89,959.67,1486.57,25.8,172.72,76.93,0.0,16.95,953.2,0.0,31.56,11.65,1.02
2007-12-31,51.14,100.0,151.14,1821.18,1833.87,1985.01,889.88,101.13,0.0,0.0,991.01,269.51,661.02,197.98,138.99,1267.49,4243.51,811.71,0.2,413.1,1225.01,226.97,0.0,0.0,1459.45,0.0,1165.6,1093.65,269.47,255.34,0.0,2784.06,4243.51,437.23,2763.8,4.87,2304.64,2646.88,25.8,1248.41,207.43,0.0,12.69,2394.57,0.0,54.06,0.0,7.46
2008-12-31,52.12,100.0,152.12,2168.69,2177.29,2329.41,1133.52,116.72,0.0,0.0,1250.24,503.04,1112.64,200.81,79.01,1895.51,5496.46,1085.0,0.27,800.45,1885.72,215.31,0.0,0.0,2107.14,0.0,1642.99,1188.61,140.82,416.91,0.0,3389.32,5496.46,410.52,439.13,6.08,2345.58,286.41,25.8,2.47,212.88,0.0,8.6,2410.72,0.0,334.13,21.29,6.1
2010-03-31,54.72,100.0,154.72,3481.61,3486.53,3641.25,719.46,214.94,0.0,0.0,934.4,17.59,627.18,205.67,87.68,938.13,5513.78,1866.15,0.39,266.68,2133.22,619.87,0.0,0.0,2782.22,0.0,790.27,794.06,165.61,981.63,0.0,2731.56,5513.78,195.79,212.85,4.88,2591.61,7.29,25.8,2.39,617.44,0.0,4.91,2403.9,0.0,97.35,0.0,29.13
2011-03-31,55.25,0.0,55.25,3961.22,3965.94,4021.19,89.06,226.65,0.44,22.22,338.37,1155.28,318.37,951.17,36.91,2461.72,6821.27,1918.3,7.22,344.17,2269.69,654.31,229.57,8.19,3161.76,0.0,1648.2,1234.61,93.25,674.39,9.06,3659.51,6821.27,0.0,140.85,7.72,1579.25,8.59,25.8,0.16,654.3,0.0,4.72,2138.53,39.17,50.74,0.0,0.0
2012-03-31,55.25,0.0,55.25,3493.13,3497.67,3552.92,968.67,102.52,0.08,28.9,1100.16,1516.68,436.89,935.09,38.27,2926.93,7580.01,2029.18,8.42,691.41,2729.01,698.97,252.85,19.6,3700.42,0.0,1803.5,1289.62,172.22,607.32,6.92,3879.59,7580.01,0.0,202.18,6.18,2688.71,9.08,25.8,0.0,698.97,0.0,4.54,2122.19,72.76,111.16,0.0,0.0
2013-03-31,55.25,0.0,55.25,3669.03,3673.38,3728.62,1480.74,174.77,0.05,31.33,1686.89,1762.51,468.76,484.97,38.44,2754.68,8170.2,2547.83,8.4,1011.2,3567.44,756.53,228.91,0.0,4552.88,70.0,1471.11,1238.57,62.93,772.78,1.94,3617.32,8170.2,0.0,303.47,6.17,3198.69,11.41,25.8,0.0,756.53,70.0,4.35,2038.18,69.01,301.99,0.0,0.0
2014-03-31,55.25,0.0,55.25,3822.52,3826.67,3881.92,1885.18,221.27,29.42,32.42,2168.29,1519.47,394.58,497.07,35.69,2446.82,8497.02,3526.05,15.41,203.66,3745.11,773.16,271.02,0.0,4789.29,15.0,1386.72,1337.1,40.47,925.23,3.2,3707.74,8497.02,0.0,182.45,6.17,1653.0,8.31,25.8,0.0,773.16,15.0,4.16,1181.42,75.08,40.31,0.0,0.0
2015-03-31,58.01,0.0,58.01,4167.87,4171.74,4229.74,2038.13,363.28,29.41,52.58,2483.39,2454.16,568.75,909.36,38.73,3971.0,10684.14,3477.01,4.55,421.6,3903.16,968.91,304.72,0.0,5176.79,273.0,2126.96,1499.44,182.37,1421.31,4.27,5507.35,10684.14,0.0,599.42,6.17,2101.25,9.61,25.8,0.0,968.91,273.0,3.86,1869.18,92.05,72.47,0.0,0.0
