Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net]
2016-03-31,60.91,0.0,60.91,5240.76,5240.76,5301.67,2179.98,328.45,119.01,57.21,2684.64,2446.42,297.12,827.75,5.46,3576.76,11563.07,5752.26,4.92,203.67,5960.84,550.3,157.01,72.08,6740.23,125.12,1796.66,1585.13,124.05,525.18,666.71,4822.84,11563.07,0.0,3426.8,0.0,0.0,0.0,25.8,0.0,550.3,125.12,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,63.95,0.0,63.95,5499.91,5499.91,5563.87,1752.66,408.69,135.98,79.94,2377.26,2000.28,291.06,696.26,7.82,2995.42,10936.55,5769.42,3.59,65.5,5838.51,591.48,183.94,71.72,6685.66,0.0,1799.27,1208.09,39.65,708.51,495.37,4250.89,10936.55,0.0,3905.51,0.0,0.0,3066.29,25.8,0.0,591.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,63.95,0.0,63.95,5849.08,5849.08,5913.03,1796.03,459.3,139.32,91.44,2486.09,2422.49,378.88,571.84,10.48,3383.7,11782.82,5633.53,4.02,107.76,5745.31,648.62,207.69,78.4,6680.01,0.0,1951.04,1642.57,42.08,1065.24,401.88,5102.81,11782.82,0.0,0.0,0.0,0.0,0.0,25.8,0.0,648.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,63.95,0.0,63.95,6301.56,6301.56,6365.51,1618.77,545.29,142.0,94.95,2401.0,2322.92,1572.6,632.13,12.75,4540.4,13306.9,5690.84,6.3,230.59,5927.72,664.73,385.01,90.69,7068.15,0.0,2746.37,1862.24,111.17,1080.27,438.7,6238.76,13306.9,2629.45,2838.17,0.0,0.0,2838.17,25.8,0.0,664.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,63.95,0.0,63.95,6798.59,6798.59,6862.54,1326.52,414.5,339.44,131.08,2211.55,2178.9,1246.07,637.82,15.52,4078.31,13152.4,5963.09,10.09,204.83,6178.02,638.19,393.48,86.24,7295.93,0.0,2194.11,1532.57,257.38,1225.03,647.38,5856.47,13152.4,3094.35,3605.57,0.0,0.0,3380.94,25.8,0.0,638.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,63.95,0.0,63.95,7074.23,7074.23,7138.18,1392.38,504.34,299.46,122.55,2318.73,1551.59,1687.73,1221.75,17.31,4478.38,13935.3,5904.08,9.18,157.1,6070.36,655.94,409.12,126.49,7261.91,60.0,2454.15,1730.88,486.62,1414.62,527.13,6673.39,13935.3,2237.13,2684.76,0.0,0.0,2665.61,25.8,0.0,655.94,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,63.95,0.0,63.95,7425.1,7425.1,7489.06,1031.12,608.2,260.14,38.33,1937.78,3141.47,1337.36,571.45,83.57,5133.84,14560.68,5844.9,8.9,165.64,6019.44,1024.96,124.89,323.41,7492.7,0.0,3071.49,1443.57,516.71,1315.01,721.19,7067.98,14560.68,3328.98,2111.82,0.0,0.0,2621.01,25.8,0.0,1024.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,63.95,0.0,63.95,8075.65,8075.65,8139.6,786.19,642.7,372.04,26.86,1827.79,2335.42,2841.2,927.35,84.4,6188.38,16155.76,5812.59,7.47,206.46,6026.52,1270.03,2.78,272.24,7571.58,0.0,3351.19,3168.45,62.55,1445.68,556.31,8584.19,16155.76,5113.25,4635.29,0.0,0.0,3579.56,25.8,0.0,1270.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,63.95,34.2,98.15,10127.38,10127.38,10225.53,1244.71,867.67,159.36,17.29,2289.03,2608.01,2811.29,716.0,99.24,6234.54,18749.09,7270.97,66.9,541.28,7879.15,1182.01,1.96,258.36,9321.48,0.13,3970.37,2927.0,597.65,1354.93,577.55,9427.62,18749.09,5599.18,4103.11,0.0,0.0,4503.52,25.8,0.0,1182.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,63.95,0.0,63.95,11874.1,11874.1,11938.05,563.05,874.46,161.84,4.92,1604.27,2443.36,2323.41,569.61,113.24,5449.62,18991.94,7794.53,4.49,543.33,8342.35,2090.1,2.05,262.57,10697.07,0.0,4182.01,3015.15,588.71,5.02,503.98,8294.87,18991.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
