Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,762.68,21.09,783.77,250.48,59.01,-5.04,63.11,11.32,99.85,166.43,138.61,11.74,150.35,0.0,150.35,0.0,150.35,39.3,111.05,111.05,13.6,8.17,8.17,6.66,49.0,6.94,100.0,51.0
2013-03-31,811.58,19.95,831.53,257.09,63.48,1.62,69.61,11.27,82.1,188.98,157.38,12.09,169.47,0.0,169.47,0.0,169.47,46.27,123.2,123.2,13.6,9.06,9.06,6.66,49.0,6.94,100.0,51.0
2013-06-30,844.62,15.07,859.69,254.73,89.09,-15.56,61.99,11.74,101.39,202.77,153.54,17.12,170.66,0.0,170.66,70.64,241.3,56.08,185.22,185.22,13.6,13.62,13.62,6.66,49.0,6.94,100.0,51.0
2013-09-30,895.69,5.04,900.73,264.32,110.6,-12.8,53.46,11.66,119.47,219.35,134.67,13.02,147.69,0.0,147.69,0.0,147.69,38.17,109.52,109.52,13.6,8.05,8.05,6.66,49.0,6.94,100.0,51.0
2013-12-31,883.98,7.13,891.11,259.16,90.14,-3.55,52.95,12.05,121.46,220.42,138.48,16.24,154.72,0.0,154.72,-0.11,154.61,41.78,112.83,112.83,13.6,8.3,8.3,6.66,49.0,6.94,100.0,51.0
2014-03-31,920.59,6.69,927.28,351.2,9.55,5.14,43.38,15.3,99.46,216.68,186.57,3.94,190.51,0.0,190.51,-6.15,184.36,52.06,132.3,132.3,13.6,9.73,9.73,6.66,49.0,6.94,100.0,51.0
2014-06-30,950.64,6.26,956.9,287.68,70.14,-0.59,58.39,16.55,180.55,167.07,177.11,6.45,183.56,0.0,183.56,0.0,183.56,48.65,134.91,134.91,13.6,9.92,9.92,6.66,49.0,6.94,100.0,51.0
2014-09-30,993.57,6.95,1000.52,298.64,86.03,-11.69,68.09,17.73,201.0,171.94,168.78,9.92,178.7,0.0,178.7,0.0,178.7,49.12,129.58,129.58,13.6,9.53,9.53,6.66,49.0,6.94,100.0,51.0
2014-12-31,988.56,7.45,996.01,298.86,68.77,-3.9,66.11,20.28,178.21,193.36,174.32,9.66,183.98,0.0,183.98,0.0,183.98,53.12,130.86,130.86,13.6,9.62,9.62,6.66,49.0,6.94,100.0,51.0
2015-03-31,1022.0,6.51,1028.51,300.53,73.41,-0.17,66.34,20.46,154.49,186.44,227.01,7.14,234.15,0.0,234.15,0.0,234.15,70.52,163.63,163.63,13.6,12.03,12.03,6.66,49.0,6.94,100.0,51.0
2015-06-30,923.7,7.24,930.94,289.33,67.05,7.73,63.95,25.27,125.55,173.52,178.54,8.09,186.63,0.0,186.63,-31.34,155.29,39.35,115.94,115.94,13.6,4.26,4.26,6.66,49.0,6.94,100.0,51.0
2015-09-30,958.13,6.69,964.82,277.73,92.99,-4.95,58.07,26.92,99.79,186.93,227.34,10.7,238.04,0.0,238.04,0.0,238.04,81.19,156.85,156.85,27.2,5.77,5.77,0.0,0.0,0.0,0.0,0.0
2015-12-31,948.35,8.49,956.84,252.1,102.13,-1.36,65.85,29.49,105.84,193.58,209.21,9.77,218.98,0.0,218.98,0.0,218.98,53.87,165.11,165.11,27.2,6.07,6.07,0.0,0.0,0.0,0.0,0.0
2016-03-31,1007.88,7.71,1015.59,308.09,91.5,-5.67,74.53,29.73,116.37,189.43,211.61,11.36,222.97,0.0,222.97,0.0,222.97,79.7,143.27,143.27,27.2,5.27,5.27,0.0,0.0,0.0,0.0,0.0
2016-06-30,1005.59,7.55,1013.14,303.29,76.71,2.21,73.92,31.64,155.6,190.14,179.63,10.08,189.71,0.0,189.71,0.0,189.71,63.99,125.72,125.72,27.2,4.62,4.62,0.0,0.0,0.0,0.0,0.0
2016-09-30,1048.32,8.26,1056.58,313.32,82.44,-4.8,73.06,33.3,127.97,189.83,241.46,11.28,252.74,0.0,252.74,0.0,252.74,71.43,181.31,181.31,27.2,6.67,6.67,0.0,0.0,0.0,0.0,0.0
2016-12-31,864.98,9.6,874.58,256.26,71.16,-11.53,65.21,34.17,83.91,195.51,179.89,10.9,190.79,0.0,190.79,0.0,190.79,62.97,127.82,127.82,27.2,4.7,4.7,0.0,0.0,0.0,0.0,0.0
2017-03-31,1032.58,4.94,1037.52,263.49,104.54,19.7,76.31,34.13,144.25,184.92,210.18,8.01,218.19,0.0,218.19,0.0,218.19,75.61,142.58,142.58,27.2,5.24,5.24,0.0,0.0,0.0,0.0,0.0
2017-06-30,969.43,8.68,978.11,294.9,71.72,-8.23,72.72,37.29,143.35,181.83,184.53,12.45,196.98,0.0,196.98,0.0,196.98,60.6,136.38,136.38,27.2,5.01,5.01,0.0,0.0,0.0,0.0,0.0
2017-09-30,1077.98,6.9,1084.88,314.23,75.65,7.07,82.34,39.17,119.23,185.75,261.44,8.85,270.29,0.0,270.29,0.0,270.29,92.72,177.57,177.57,27.2,6.53,6.53,0.0,0.0,0.0,0.0,0.0
2017-12-31,1026.97,6.35,1033.32,274.56,82.82,2.4,75.04,39.57,120.7,195.38,242.85,9.04,251.89,0.0,251.89,0.0,251.89,81.24,170.65,170.65,27.2,6.27,6.27,0.0,0.0,0.0,0.0,0.0
2018-03-31,1085.06,6.6,1091.66,305.28,54.24,15.44,75.83,40.48,143.55,189.8,267.04,8.48,275.52,0.0,275.52,-11.65,263.87,75.1,188.77,188.77,27.2,6.94,6.94,0.0,0.0,0.0,0.0,0.0
2018-06-30,1033.55,7.75,1041.3,313.21,46.58,-4.83,74.92,39.39,143.51,186.32,242.2,9.16,251.36,0.0,251.36,34.12,285.48,95.97,189.51,189.51,27.2,6.97,6.97,0.0,0.0,0.0,0.0,0.0
