Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1083.18,9.56,1092.74,522.53,10.6,4.13,119.95,69.37,65.21,140.36,160.59,0.0,160.59,39.97,120.62,120.62,37.0,83.62,0.0,83.62,63.65,0.0,13.14,13.14,2.45,38.47,3.92,100.0,61.53
2013-03-31,1126.21,20.12,1146.33,534.91,18.16,-21.44,111.8,74.01,63.05,160.61,205.23,0.0,205.23,42.87,162.36,162.36,47.11,115.25,0.0,115.25,63.65,0.0,18.11,18.11,2.45,38.47,3.92,100.0,61.53
2013-06-30,1193.61,19.2,1212.81,551.65,13.59,-2.55,124.6,75.27,65.56,161.65,223.04,8.72,231.76,41.26,190.5,190.5,46.0,144.5,0.0,144.5,63.65,0.0,22.7,22.7,2.44,38.39,3.92,100.0,61.61
2013-09-30,1279.51,10.51,1290.02,599.68,17.07,-82.79,134.91,81.04,71.58,194.52,274.01,0.96,274.97,35.16,239.81,239.81,62.0,177.81,0.0,177.81,63.65,0.0,27.94,27.94,2.44,38.3,3.93,100.0,61.7
2013-12-31,1415.98,15.21,1431.19,649.17,12.69,-1.8,141.56,81.16,71.51,202.53,274.37,0.0,274.37,31.13,243.24,243.24,68.0,175.24,0.0,175.24,63.65,0.0,27.53,27.53,2.43,38.15,3.94,100.0,61.85
2014-03-31,1282.22,9.98,1292.2,711.89,13.78,-142.32,143.82,82.7,85.48,146.75,250.1,0.0,250.1,44.28,205.82,205.82,51.5,154.32,0.0,154.32,63.65,0.0,24.25,24.25,2.43,38.15,3.94,100.0,61.85
2014-06-30,1417.6,27.47,1445.07,750.89,15.09,-12.07,151.41,83.18,117.58,173.87,165.12,12.95,178.07,40.45,137.62,137.62,31.35,106.27,0.0,106.27,63.65,0.0,16.7,16.7,2.43,38.15,3.94,100.0,61.85
2014-09-30,1487.53,38.44,1525.97,767.84,18.76,46.47,151.57,89.14,116.36,190.6,145.23,0.0,145.23,28.38,116.85,116.85,25.15,91.7,0.0,91.7,63.65,0.0,14.41,14.41,2.43,38.15,3.94,100.0,61.85
2014-12-31,1429.11,38.25,1467.36,726.79,18.07,40.72,156.2,90.76,122.61,191.69,120.52,0.0,120.52,24.07,96.45,96.45,25.5,70.95,0.0,70.95,63.65,0.0,11.15,11.15,2.43,38.15,3.94,100.0,61.85
2015-03-31,1407.79,40.95,1448.74,654.99,22.51,55.9,148.65,87.75,132.3,179.66,166.98,0.0,166.98,28.63,138.35,138.35,48.15,90.2,0.0,90.2,63.65,0.0,14.17,14.17,2.43,38.15,3.94,100.0,61.85
2015-06-30,1386.51,12.34,1398.85,654.36,14.45,10.79,156.63,93.61,86.65,180.04,202.32,19.29,221.61,24.02,197.59,197.59,53.24,144.35,0.0,144.35,62.05,0.0,23.26,23.26,2.43,38.15,3.94,100.0,61.85
2015-09-30,1374.63,10.67,1385.3,679.33,20.46,-32.2,159.94,101.74,89.76,185.9,180.37,44.32,224.69,19.73,204.96,204.96,45.72,159.24,0.0,159.24,63.65,0.0,25.02,25.02,2.43,38.15,3.94,100.0,61.85
2015-12-31,1436.22,8.58,1444.8,656.68,15.64,32.76,145.38,113.6,88.24,192.63,199.87,0.0,199.87,18.76,181.11,181.11,52.8,128.31,0.0,128.31,63.65,0.0,20.16,20.16,2.42,38.08,3.94,100.0,61.92
2016-03-31,1389.93,45.61,1435.54,676.78,16.6,0.85,139.78,101.45,97.25,192.14,210.69,90.16,300.85,24.57,276.28,276.28,58.79,217.49,0.0,217.49,63.65,0.0,34.17,34.17,0.0,0.0,0.0,0.0,0.0
2016-06-30,1400.1,25.53,1425.63,679.55,13.13,-18.11,142.18,105.19,79.85,188.09,235.75,0.0,235.75,24.87,210.88,210.88,60.81,150.07,0.0,150.07,62.05,0.0,24.18,24.18,0.0,0.0,0.0,0.0,0.0
2016-09-30,1400.48,58.44,1458.92,688.17,3.9,-23.17,140.72,111.24,80.79,191.09,266.18,0.0,266.18,25.9,240.28,240.28,68.82,171.46,310.04,481.5,62.05,0.0,77.6,77.6,0.0,0.0,0.0,0.0,0.0
2016-12-31,1397.85,56.33,1454.18,700.71,6.93,-63.07,134.83,116.95,81.65,204.36,271.82,0.0,271.82,19.4,252.42,252.42,71.36,181.06,0.0,181.06,62.05,0.0,29.18,29.18,0.0,0.0,0.0,0.0,0.0
2017-03-31,1513.46,0.0,1513.46,768.25,5.24,30.17,136.26,120.23,87.2,186.88,179.23,87.67,266.9,21.66,245.24,245.24,56.3,188.94,0.0,188.94,55.93,0.0,30.88,30.88,0.0,0.0,0.0,0.0,0.0
2017-06-30,1479.79,0.0,1479.79,812.75,10.08,-14.99,144.84,114.28,56.8,201.27,154.76,37.68,192.44,23.74,168.7,168.7,29.42,139.28,0.0,139.28,57.39,0.0,24.9,24.9,0.0,0.0,0.0,0.0,0.0
2017-09-30,1397.15,0.0,1397.15,818.75,0.0,-58.74,147.91,128.35,54.05,170.1,136.73,53.29,190.02,26.89,163.13,163.13,31.51,131.62,0.0,131.62,56.63,0.0,23.24,23.24,0.0,0.0,0.0,0.0,0.0
2017-12-31,1551.46,0.0,1551.46,775.82,8.48,98.34,149.52,119.83,57.67,190.43,151.37,30.22,181.59,27.18,154.41,154.41,38.61,115.8,0.0,115.8,57.39,0.0,20.32,20.1,0.0,0.0,0.0,0.0,0.0
2018-03-31,1417.25,0.0,1417.25,773.2,15.07,-72.62,144.2,117.17,60.02,193.04,187.17,61.37,248.54,34.02,214.52,214.52,55.46,159.06,0.0,159.06,57.43,0.0,27.7,27.42,0.0,0.0,0.0,0.0,0.0
2018-06-30,1580.75,0.0,1580.75,798.85,10.46,27.06,153.0,125.45,59.0,195.07,211.86,23.92,235.78,32.88,202.9,202.9,57.12,145.78,0.0,145.78,57.44,0.0,25.38,25.13,0.0,0.0,0.0,0.0,0.0
2018-09-30,1555.31,0.0,1555.31,812.55,9.53,-67.7,165.68,128.35,59.05,204.64,243.21,58.99,302.2,28.6,273.6,273.6,77.34,196.26,0.0,196.26,57.44,0.0,34.17,33.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,1624.24,0.0,1624.24,839.63,12.91,-35.58,175.28,131.4,59.98,191.47,249.15,52.28,301.43,26.18,275.25,275.25,85.97,189.28,0.0,189.28,57.44,0.0,32.95,32.64,0.0,0.0,0.0,0.0,0.0
2019-03-31,1654.28,0.0,1654.28,813.47,17.18,77.95,171.94,134.66,63.45,189.81,185.82,83.01,268.83,30.18,238.65,238.65,74.09,164.56,0.0,164.56,57.48,0.0,28.63,28.34,0.0,0.0,0.0,0.0,0.0
2019-06-30,1558.32,0.0,1558.32,833.62,18.71,-24.13,178.39,135.73,72.45,189.41,154.14,31.03,185.17,36.36,148.81,148.81,45.29,103.52,0.0,103.52,57.49,0.0,18.01,17.85,0.0,0.0,0.0,0.0,0.0
2019-09-30,1552.78,0.0,1552.78,872.21,12.1,-81.26,172.97,139.66,78.97,198.18,159.95,38.81,198.76,32.95,165.81,165.81,45.77,120.04,0.0,120.04,57.5,0.0,20.88,20.7,0.0,0.0,0.0,0.0,0.0
2019-12-31,1722.88,0.0,1722.88,859.68,13.69,70.94,192.94,143.89,82.99,233.99,124.76,62.29,187.05,28.58,158.47,158.47,-30.39,188.86,0.0,188.86,57.5,0.0,32.84,32.56,0.0,0.0,0.0,0.0,0.0
2020-03-31,1491.17,0.0,1491.17,767.12,7.55,-15.85,165.98,131.7,84.81,225.15,124.71,39.85,164.56,34.65,129.91,129.91,-3.15,133.06,0.0,133.06,57.52,0.0,23.13,22.97,0.0,0.0,0.0,0.0,0.0
