Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities
2011-03-31,443.0,443.0,2098.36,17498.46,19596.82,20039.82,293436.64,14261.65,8206.75,335944.86,22014.79,8693.32,83636.02,211268.29,2844.4,7488.02,335944.86,3257.0,43397.0,15.38,10.87,4.51,3089.21,1.0,2347.33,1.11,1.0,29041.74,140847.47
2012-03-31,443.0,443.0,2065.14,20181.82,22246.96,22689.96,327053.73,15525.39,8891.12,374160.19,17795.14,10384.27,102057.43,232489.82,2857.54,8576.01,374160.19,3600.0,42272.0,13.76,10.35,3.41,4031.75,2.0,3386.31,1.46,1.0,36132.91,205367.76
2013-03-31,443.0,443.0,2033.24,22401.55,24434.79,24877.79,355855.99,20283.37,11325.45,412342.61,15405.93,19308.77,121132.83,242176.62,2862.72,11455.73,412342.61,3728.0,42693.0,12.4,9.77,2.63,6260.16,3.0,5278.07,2.18,2.0,38655.01,263705.34
2014-03-31,461.26,461.26,5498.25,23660.6,29158.85,29620.11,420722.82,27230.64,14348.29,491921.85,22153.78,22674.93,126828.26,301067.48,6641.56,12555.85,491921.85,4755.0,48794.0,10.63,7.68,2.95,7570.21,2.0,5965.46,1.98,2.0,36082.62,239320.37
2015-03-31,475.2,475.2,5405.85,25978.18,31384.04,31859.23,473840.1,25671.57,16629.66,548000.56,21971.95,26669.14,145346.18,330035.51,6949.45,17028.32,548000.56,5682.0,53984.0,10.56,8.02,2.54,13039.96,4.0,8740.09,2.65,3.0,40481.83,297258.69
2016-03-31,542.99,542.99,5444.66,25615.55,31060.21,31603.2,479791.56,26873.32,14692.7,552960.78,20664.05,36069.61,142309.3,324714.82,7198.1,22004.89,552960.78,5849.0,54008.0,11.08,8.8,2.28,31637.83,9.0,20832.91,6.42,6.0,26563.0,314508.56
2017-03-31,597.29,597.29,5373.15,27715.1,33088.25,33685.54,495275.24,39503.56,15055.1,583519.44,19922.5,38902.96,150265.89,342008.76,7168.32,25251.02,583519.44,6083.0,55717.0,12.86,9.77,3.09,34202.04,10.0,21648.98,6.33,6.0,27176.31,459646.73
2018-03-31,733.24,733.24,6524.73,28346.86,34871.59,35604.84,524771.86,38808.51,17700.9,616886.1,22100.04,27812.29,144053.67,381702.99,8318.64,32898.47,616886.1,5849.0,58855.0,13.22,10.3,2.92,47468.47,12.0,28542.4,7.48,7.0,26782.08,293728.89
2019-03-31,753.24,753.24,6448.17,28975.81,35423.99,36177.23,599033.27,40992.29,18563.89,694766.69,29919.02,36233.67,152985.3,427727.27,8410.23,39491.2,694766.69,6310.0,58350.0,11.9,9.04,2.86,39224.12,9.0,22955.11,5.37,5.0,28847.92,359059.22
2020-03-31,1030.23,1030.23,6332.79,31929.94,38262.73,39292.96,625351.17,42761.77,16468.84,723874.75,22570.14,45701.33,176244.94,432175.2,8276.29,38906.84,723874.75,6329.0,58632.0,13.65,10.12,3.53,37041.15,8.0,18250.95,4.22,4.0,35939.89,373497.97
2021-03-31,1646.74,1646.74,8284.24,48953.96,57238.19,58884.93,1010874.58,49983.56,33931.96,1153675.03,43111.62,135296.41,261690.39,639048.99,11206.53,63321.09,1153675.03,10416.0,88213.0,13.18,10.08,3.1,60288.0,9.0,24442.0,3.82,4.0,53385.99,507071.81
2022-03-31,1814.13,1814.13,0.0,64297.18,64297.18,66111.31,1086409.25,46284.96,28174.15,1226979.67,51602.91,130451.39,282012.9,703601.82,11356.3,47954.35,1226979.67,0.0,0.0,14.9,0.0,0.0,55651.58,8.0,18668.02,2.65,0.0,0.0,0.0
2023-03-31,1814.13,1814.13,0.0,71793.05,71793.05,73607.18,1179218.61,58089.79,34816.67,1345732.25,54988.45,86434.75,319038.45,830672.55,10230.67,44367.38,1345732.25,0.0,0.0,16.68,0.0,0.0,46159.51,5.0,14349.33,1.73,1.0,0.0,0.0
2024-03-31,1814.13,1814.13,0.0,85140.46,85140.46,86954.59,1312366.61,57592.28,34627.24,1491540.72,71068.18,79691.54,357454.42,931612.83,12228.17,39485.58,1491540.72,0.0,0.0,16.28,0.0,0.0,40604.57,4.23,11822.83,1.27,1.01,0.0,0.0
2025-03-31,1814.13,1814.13,0.0,98085.98,98085.98,99900.11,1456883.18,89665.12,36401.19,1682849.6,89998.57,115341.61,380343.4,1049155.02,10215.15,37795.85,1682849.6,0.0,0.0,16.33,0.0,0.0,31530.03,2.94,7353.31,0.7,1.09,0.0,0.0
