Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,338.9,338.9,7403.91,7403.91,7742.81,402.79,1499.96,0.0,0.0,1902.75,1298.01,652.63,5795.51,1207.01,8953.16,18598.72,6577.91,0.0,496.34,0.0,7074.25,2048.42,0.0,0.0,9168.55,0.0,5402.53,1000.29,197.06,2830.29,0.0,9430.17,18598.72,2248.32,9243.17,1035.68,0.0,264.43,2957.5,345.72,0.0,0.0,9287.6,0.0,24.82,45.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,338.93,338.93,8101.92,8101.92,8440.85,200.11,1444.64,0.0,0.0,1644.75,1985.24,2099.25,4078.57,815.02,8978.08,19063.68,6904.42,39.22,786.84,0.0,7730.48,1756.84,0.0,0.0,9557.21,0.0,5682.21,1048.61,201.63,2574.02,0.0,9506.47,19063.68,3481.65,13913.1,1612.95,0.0,264.43,2354.23,354.13,0.0,0.0,13905.41,0.0,42.75,69.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,338.94,338.94,8396.8,8396.8,8735.74,4419.62,1461.25,0.0,0.0,5880.87,2244.21,3377.04,4017.7,563.14,10202.09,24818.7,7293.49,43.91,2363.88,0.0,9701.28,4027.64,0.0,0.0,13805.73,0.0,7810.29,1392.26,42.59,1767.83,0.0,11012.97,24818.7,6768.48,19164.58,2818.28,0.0,264.43,4458.23,354.13,0.0,0.0,19977.66,0.0,85.16,76.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,338.95,338.95,9259.7,9259.7,9598.65,8615.18,1546.13,0.0,0.0,10161.31,1902.35,4376.41,4515.36,1227.72,12021.84,31781.8,8767.58,53.26,4243.56,0.0,13064.4,7127.47,0.0,0.0,20317.1,0.0,8098.4,1577.78,86.79,1693.27,8.46,11464.7,31781.8,7176.59,27368.29,4749.27,0.0,264.43,7094.89,574.11,0.0,0.0,27789.02,0.0,205.8,125.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,339.01,339.01,10224.28,10224.28,10563.29,12535.09,1793.99,0.0,0.0,14329.08,4251.61,6897.49,4978.63,557.57,16685.3,41577.67,11840.33,88.95,3315.95,0.0,15245.23,6837.05,0.0,0.0,22280.29,0.0,12020.28,1710.67,294.01,5067.44,204.98,19297.38,41577.67,6450.22,28970.93,6366.85,0.0,264.43,8068.12,610.56,0.0,0.0,29406.29,0.0,180.89,198.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,339.01,339.01,10391.62,10391.62,10730.63,19252.83,1873.37,0.0,0.0,21126.2,3502.34,5645.41,4892.81,1217.59,15258.15,47114.98,11535.37,119.18,5001.27,0.0,16655.82,14196.47,0.0,0.0,31122.29,0.0,8793.24,2240.91,608.31,4345.25,4.98,15992.69,47114.98,5588.88,33866.95,6021.26,0.0,264.43,12948.34,1026.39,0.0,0.0,32665.25,0.0,55.26,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,339.01,339.01,11218.96,11218.96,11557.97,11785.89,2257.62,0.0,0.0,14043.51,9516.48,7393.13,7056.77,2105.21,26071.59,51673.07,15137.0,167.26,3890.0,0.0,19194.26,11387.22,0.0,0.0,31031.13,0.0,12579.22,2437.34,243.17,5377.23,4.98,20641.94,51673.07,4598.74,25918.85,6382.26,0.0,264.43,10226.97,1595.39,0.0,0.0,29285.64,0.0,89.07,449.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,339.01,339.01,12206.8,12206.8,12545.81,5418.05,3195.64,4613.57,273.21,13500.47,18211.04,9029.4,5848.84,1625.53,34714.81,60761.09,18526.38,118.15,3696.0,0.0,22340.53,7324.33,1275.46,227.56,31167.88,4010.69,16622.28,3076.86,79.02,5551.79,252.57,29593.21,60761.09,8369.84,28925.79,5522.8,0.0,264.43,5690.7,2790.88,4010.69,0.0,29930.78,83.63,112.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,339.01,339.01,12783.51,12783.51,13122.52,6291.37,3085.28,5471.27,436.55,15284.47,21187.88,12561.12,7406.52,1547.04,42702.56,71109.55,20735.56,114.09,4444.47,0.0,25294.12,7483.43,1499.28,67.46,34344.29,2887.07,19454.53,3565.16,226.38,10151.31,480.81,36765.26,71109.55,7162.04,49684.26,7782.48,0.0,264.43,5280.76,2949.98,2887.07,0.0,51465.12,63.09,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,339.01,339.01,13387.39,13387.39,13726.4,8947.18,3598.35,6211.19,498.96,19255.68,23511.09,11036.94,6914.08,1800.54,43262.65,76244.73,22441.67,107.03,5172.87,0.0,27721.57,8266.07,1930.47,95.98,38014.09,2360.86,16438.7,4935.04,147.13,14070.36,278.55,38230.64,76244.73,9018.47,56145.05,6416.82,0.0,264.43,5294.97,3732.61,2360.86,0.0,56117.4,88.88,126.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
