Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,90.98,0.19,91.17,39.94,12.61,-1.51,6.51,0.92,16.62,16.07,0.03,16.1,0.44,15.66,0.0,15.66,5.14,10.52,10.52,12.01,0.88,0.88,6.17,51.39,5.84,100.0,48.61
2012-12-31,88.13,0.29,88.41,37.4,11.14,-0.56,6.78,1.02,17.53,15.1,0.66,15.76,0.34,15.42,0.0,15.42,5.05,10.38,10.38,12.01,0.86,0.86,6.17,51.39,5.84,100.0,48.61
2013-03-31,89.66,0.16,89.82,38.64,11.77,-2.29,6.55,1.08,17.58,16.48,0.46,16.94,0.12,16.83,0.0,16.83,5.51,11.32,11.32,12.01,0.94,0.94,6.77,56.38,5.24,100.0,43.62
2013-06-30,95.28,0.13,95.41,37.34,12.96,2.39,7.85,0.9,17.06,16.91,1.58,18.49,0.01,18.48,0.0,18.48,6.21,12.27,12.27,12.01,1.02,1.02,3.65,30.38,8.36,100.0,69.62
2013-09-30,97.04,0.11,97.15,40.0,13.62,-2.44,8.17,0.95,18.12,18.74,1.41,20.14,0.02,20.13,0.0,20.13,6.76,13.36,13.36,12.01,1.11,1.11,3.65,30.38,8.36,100.0,69.62
2013-12-31,105.69,0.09,105.78,41.06,15.44,-2.29,8.9,0.98,21.19,20.51,0.58,21.09,0.01,21.08,0.0,21.08,7.06,14.02,14.02,12.01,1.17,1.17,3.65,30.38,8.36,100.0,69.62
2014-03-31,105.03,0.13,105.17,42.03,15.0,-0.76,8.64,0.8,20.07,19.4,0.53,19.93,0.04,19.89,0.0,19.89,6.7,13.19,13.19,12.01,1.1,1.1,3.65,30.38,8.36,100.0,69.62
2014-06-30,108.06,0.21,108.28,41.12,15.51,3.21,9.18,1.77,19.34,18.15,1.2,19.35,0.0,19.35,0.0,19.35,6.44,12.91,12.91,12.01,1.07,1.07,3.65,30.38,8.36,100.0,69.62
2014-09-30,117.44,0.32,117.76,51.11,18.3,-2.5,9.55,1.19,21.67,18.44,2.47,20.91,0.01,20.9,0.0,20.9,7.03,13.87,13.87,12.01,1.16,1.16,3.65,30.38,8.36,100.0,69.62
2014-12-31,116.81,0.12,116.93,47.56,17.5,-1.74,9.73,1.22,23.59,19.07,0.97,20.04,0.0,20.04,0.0,20.04,6.88,13.16,13.16,12.01,1.09,1.09,3.65,30.38,8.36,100.0,69.62
2015-03-31,107.89,0.5,108.39,44.3,15.21,0.69,9.8,1.31,18.4,18.69,0.68,19.37,0.03,19.34,0.0,19.34,6.44,12.9,12.9,12.01,1.07,1.07,3.65,30.38,8.36,100.0,69.62
2015-06-30,109.64,0.48,110.12,45.73,17.34,-1.54,10.21,1.34,21.09,15.95,2.09,18.03,0.0,18.03,0.0,18.03,6.08,11.96,11.96,12.01,1.0,1.0,3.65,30.38,8.36,100.0,69.62
2015-09-30,110.34,0.58,110.92,44.62,17.23,-1.0,9.85,1.47,21.14,17.62,1.52,19.13,0.0,19.13,0.0,19.13,6.5,12.63,12.63,12.01,1.05,1.05,3.65,30.38,8.36,100.0,69.62
2015-12-31,114.47,0.59,115.06,46.07,16.24,-0.15,10.28,1.55,20.09,20.98,1.19,22.17,0.0,22.17,0.0,22.17,7.25,14.92,14.92,12.01,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2016-03-31,121.91,0.87,122.78,45.17,20.04,4.17,9.03,1.53,18.95,23.9,1.42,25.32,0.0,25.32,0.0,25.32,9.01,16.31,16.31,12.01,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2016-06-30,130.43,0.81,131.24,51.27,25.0,-1.47,10.55,1.53,19.68,24.67,1.93,26.59,0.0,26.59,0.0,26.59,9.21,17.38,17.38,12.01,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2016-09-30,131.28,0.94,132.23,53.48,23.1,-4.02,10.7,1.59,23.88,23.5,2.2,25.7,0.0,25.7,0.0,25.7,8.87,16.83,16.83,12.01,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2016-12-31,127.18,0.9,128.08,48.95,28.48,-7.06,11.67,1.72,20.63,23.68,1.96,25.64,0.0,25.64,0.0,25.64,8.93,16.71,16.71,12.01,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2017-03-31,127.84,0.0,127.84,50.07,23.51,-0.7,10.04,1.52,18.62,24.77,2.18,26.95,0.0,26.95,0.0,26.95,9.25,17.7,17.7,12.01,1.47,1.47,0.0,0.0,0.0,0.0,0.0
