Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-12-31,113.33,1.44,114.77,15.33,1.92,0.84,10.94,85.74,5.96,91.71,51.1,40.61,40.61,10.55,30.06,30.06,15.66,3.84,3.76
2020-03-31,100.62,0.0,100.62,15.58,2.08,0.0,20.81,62.14,5.17,67.31,50.9,16.42,16.42,3.95,12.47,12.47,15.66,1.59,1.56
2020-06-30,134.41,-3.68,130.73,14.57,1.96,12.81,-3.19,104.58,2.8,107.38,54.62,52.76,52.76,14.15,38.61,38.61,17.48,4.42,0.0
2020-09-30,103.25,3.15,106.4,15.23,1.94,11.95,6.28,71.0,3.25,74.24,56.67,17.57,17.57,3.24,14.33,14.33,15.66,1.83,1.78
2020-12-31,107.63,0.53,108.16,17.39,1.89,7.39,8.2,73.29,2.3,75.59,54.4,21.2,21.2,5.29,15.91,15.91,15.66,2.03,1.92
2021-03-31,131.83,0.0,131.83,18.94,1.83,0.0,17.77,93.29,3.7,96.98,54.47,42.51,42.51,11.23,31.29,31.29,17.48,3.65,3.65
2021-06-30,138.14,0.0,138.14,18.55,1.88,0.0,20.78,96.93,3.88,100.8,53.18,47.63,47.63,12.52,35.11,35.11,17.5,4.01,3.94
2021-09-30,143.48,2.66,146.14,19.15,1.91,3.33,9.03,112.72,0.0,112.72,56.41,56.31,56.31,11.44,44.87,44.87,17.51,5.13,5.03
2021-12-31,151.69,0.0,151.69,20.12,1.88,5.97,9.35,114.37,0.02,114.39,55.24,59.15,59.15,13.21,45.94,45.94,17.52,5.25,5.14
2022-03-31,156.08,0.0,156.08,22.94,1.85,2.68,11.58,117.02,0.01,117.03,53.81,63.21,63.21,3.02,60.19,60.19,17.53,6.87,6.73
2022-06-30,169.35,0.0,169.35,25.58,2.02,3.62,11.13,127.0,0.0,127.0,60.7,66.3,66.3,15.05,51.25,51.25,17.54,5.85,5.7
2022-09-30,189.0,0.4,189.4,26.57,2.24,4.97,15.29,140.32,0.01,140.33,71.16,69.17,69.17,14.9,54.27,54.27,17.55,6.19,6.03
2022-12-31,204.96,0.44,205.4,27.37,2.33,5.99,14.56,155.15,0.15,155.3,79.55,75.75,75.75,17.0,58.74,58.74,17.57,6.69,6.53
2023-03-31,226.4,0.44,226.84,27.49,2.48,6.96,17.5,172.42,4.46,176.88,92.88,84.01,84.01,19.98,64.03,64.03,17.6,7.28,7.06
2023-06-30,253.37,1.68,255.05,35.91,2.65,7.69,16.77,192.04,4.76,196.8,106.77,90.03,90.03,20.91,69.12,69.12,17.62,7.85,7.61
2023-09-30,272.17,1.16,273.33,36.87,2.85,8.0,16.81,208.8,4.65,213.45,117.01,96.44,96.44,22.13,74.31,74.31,17.63,8.43,8.17
2023-12-31,295.65,0.65,296.31,39.01,3.01,7.01,19.03,228.25,4.7,232.96,130.21,102.74,102.74,23.92,78.82,78.82,17.67,8.93,8.65
2024-03-31,311.67,1.09,312.76,36.56,3.23,2.74,18.6,251.63,4.99,256.61,145.87,110.75,110.75,27.28,83.47,83.47,17.7,9.43,9.16
2024-06-30,335.51,0.91,336.42,41.57,3.46,5.55,20.45,265.39,4.91,270.29,156.77,113.52,113.52,25.75,87.77,87.77,17.78,9.9,9.65
2024-09-30,371.99,0.92,372.92,50.26,3.62,5.73,18.71,294.6,1.32,295.92,175.56,120.36,120.36,28.13,92.23,92.23,17.83,10.36,10.07
2024-12-31,404.82,1.13,405.95,50.79,4.12,9.79,20.31,320.95,1.5,322.45,192.63,129.82,129.82,32.43,97.38,97.38,17.94,10.9,10.65
2025-03-31,413.33,1.33,414.67,51.79,4.33,7.7,24.17,326.68,1.53,328.2,190.31,137.9,137.9,33.2,104.69,104.69,18.01,11.65,11.45
