Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,529.34,0.0,529.34,157.05,39.44,3.95,27.26,30.86,91.69,40.52,138.57,9.15,147.72,1.48,146.24,0.0,146.24,23.35,122.89,122.89,15.13,8.12,8.12,4.13,27.26,9.8,89.03,64.75
2013-03-31,423.12,0.0,423.12,151.82,53.46,-5.92,24.33,30.87,40.51,37.74,90.31,18.92,109.23,0.29,108.94,0.0,108.94,17.8,91.14,91.14,15.13,6.02,6.02,4.13,27.26,9.6,87.27,63.48
2013-06-30,370.55,0.0,370.55,95.26,43.49,15.16,30.57,30.68,65.41,31.4,58.58,17.56,76.14,0.77,75.37,0.0,75.37,9.35,66.02,66.02,22.7,2.91,2.91,6.19,27.26,15.13,91.65,66.66
2013-09-30,374.34,0.0,374.34,131.33,23.18,-13.65,32.8,30.83,58.43,34.94,76.48,18.28,94.76,0.88,93.88,0.0,93.88,17.95,75.93,75.93,22.7,3.35,3.35,6.19,27.26,14.28,86.5,62.92
2013-12-31,550.02,0.0,550.02,160.35,24.38,13.2,32.03,15.48,79.07,65.23,160.28,11.99,172.27,0.97,171.3,0.0,171.3,30.21,141.09,141.09,22.7,6.22,6.22,6.19,27.26,14.22,86.16,62.68
2014-03-31,410.17,0.0,410.17,157.03,43.16,-38.89,28.28,16.81,34.45,70.28,99.05,17.74,116.79,1.27,115.52,-4.28,111.24,-3.95,115.19,115.19,22.7,5.08,5.08,6.19,27.26,13.41,81.24,59.09
2014-06-30,442.04,0.0,442.04,125.17,36.1,16.82,37.05,3.82,87.41,70.71,64.96,22.34,87.3,0.75,86.55,0.0,86.55,20.79,65.76,65.76,22.7,2.9,2.9,6.19,27.26,13.41,81.24,59.09
2014-09-30,444.1,0.0,444.1,152.92,30.43,-26.13,39.09,8.35,70.41,69.98,99.05,14.92,113.97,1.27,112.7,0.0,112.7,23.58,89.12,89.12,22.7,3.93,3.93,6.19,27.26,13.2,79.97,58.16
2014-12-31,626.76,0.0,626.76,174.67,34.34,9.19,39.04,9.34,104.0,80.64,175.54,35.86,211.4,1.96,209.44,0.0,209.44,47.03,162.41,162.41,22.7,7.16,7.16,6.19,27.26,13.3,80.53,58.58
2015-03-31,495.74,0.0,495.74,136.77,40.79,13.14,28.92,9.97,65.91,83.06,117.18,30.03,147.21,0.92,146.29,0.0,146.29,13.95,132.34,132.34,22.7,5.83,5.83,6.19,27.26,12.87,77.94,56.69
2015-06-30,493.76,0.56,494.32,163.56,36.24,0.05,42.28,21.85,108.16,47.78,74.4,18.21,92.61,4.33,88.28,0.0,88.28,3.16,85.12,85.12,22.7,3.75,3.75,6.19,27.26,12.23,74.06,53.87
2015-09-30,479.47,1.1,480.57,136.59,44.64,-10.61,45.75,70.49,73.04,49.54,71.13,6.31,77.44,19.08,58.36,0.0,58.36,12.52,45.84,45.84,22.7,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2015-12-31,673.5,1.06,674.56,171.77,50.3,8.43,47.16,70.74,101.89,52.27,172.0,6.66,178.66,17.1,161.56,0.0,161.56,30.41,131.15,131.15,22.7,5.78,5.78,0.0,0.0,0.0,0.0,0.0
2016-03-31,537.32,1.79,539.11,172.93,53.02,-17.96,36.57,89.05,68.95,52.06,84.49,7.95,92.44,13.24,79.2,0.0,79.2,9.16,70.04,70.04,22.7,3.09,3.09,0.0,0.0,0.0,0.0,0.0
2016-06-30,592.37,1.0,593.37,164.16,48.21,6.31,50.76,70.7,134.87,50.72,67.64,4.05,71.69,12.46,59.23,0.0,59.23,10.06,49.17,49.17,22.7,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2016-09-30,536.4,0.97,537.37,170.14,25.46,-13.74,52.19,78.19,75.87,49.95,99.31,25.39,124.7,15.92,108.78,0.0,108.78,20.3,88.48,88.48,22.7,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2016-12-31,681.55,0.78,682.33,186.77,33.23,2.93,55.6,80.77,93.99,50.28,178.76,8.02,186.78,12.6,174.18,0.0,174.18,34.11,140.07,140.07,22.7,6.17,6.17,0.0,0.0,0.0,0.0,0.0
2017-03-31,527.54,0.14,527.68,163.03,57.15,-8.69,36.41,75.01,61.05,55.09,88.63,7.73,96.36,16.64,79.72,0.0,79.72,11.07,68.65,68.65,22.7,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2017-06-30,499.1,0.0,499.1,155.08,55.13,-23.25,55.76,73.7,0.0,180.69,1.99,12.76,14.75,7.7,7.05,0.0,7.05,0.75,6.3,6.3,22.7,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2017-09-30,579.01,0.0,579.01,154.58,14.56,24.82,56.47,73.66,0.0,127.69,127.23,6.09,133.32,10.14,123.18,0.0,123.18,19.24,103.94,103.94,22.7,4.58,4.58,0.0,0.0,0.0,0.0,0.0
2017-12-31,715.59,0.0,715.59,181.17,32.73,11.95,57.43,78.55,111.57,56.49,185.7,5.57,191.27,8.93,182.34,0.0,182.34,33.27,149.07,149.07,22.7,6.57,6.57,0.0,0.0,0.0,0.0,0.0
2018-03-31,568.92,0.0,568.92,175.08,57.0,-24.0,47.78,79.4,89.78,64.67,79.21,3.86,83.07,6.4,76.67,0.0,76.67,26.46,50.21,50.21,22.7,2.21,2.21,0.0,0.0,0.0,0.0,0.0
2018-06-30,574.88,0.0,574.88,148.42,42.56,7.78,59.76,82.4,126.14,66.28,41.54,10.8,52.34,4.22,48.12,0.0,48.12,7.8,40.32,40.32,45.39,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2018-09-30,571.92,0.0,571.92,196.54,22.73,-36.04,60.17,78.19,82.83,65.06,102.44,3.1,105.54,3.89,101.65,0.0,101.65,23.05,78.6,78.6,45.39,1.73,1.73,0.0,0.0,0.0,0.0,0.0
2018-12-31,758.51,0.0,758.51,193.76,24.83,38.33,59.71,77.83,112.07,71.53,180.45,8.54,188.99,5.57,183.42,-9.8,173.62,35.82,137.8,137.8,45.39,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2019-03-31,577.96,0.0,577.96,188.75,56.78,-8.98,57.65,79.62,77.56,66.3,60.28,18.44,78.72,5.61,73.11,0.0,73.11,24.58,48.53,48.53,45.39,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2019-06-30,588.55,0.0,588.55,155.71,37.98,22.5,65.8,78.45,106.18,70.79,51.14,49.16,100.3,3.86,96.44,0.0,96.44,13.88,82.56,82.56,45.39,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2019-09-30,592.12,0.0,592.12,194.0,13.04,-23.49,64.21,80.68,77.6,81.18,104.9,16.36,121.26,8.94,112.32,0.0,112.32,16.65,95.67,95.67,45.39,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2019-12-31,748.28,0.0,748.28,191.26,11.1,40.79,63.27,83.39,112.66,73.69,172.12,15.0,187.12,4.06,183.06,-3.26,179.8,31.89,147.91,147.91,45.39,3.26,3.26,0.0,0.0,0.0,0.0,0.0
2020-03-31,460.45,0.0,460.45,169.47,37.24,-43.36,62.42,83.58,74.69,139.09,-62.68,14.02,-48.66,2.04,-50.7,0.0,-50.7,-13.68,-37.02,-37.02,45.32,-0.82,-0.82,0.0,0.0,0.0,0.0,0.0
2020-06-30,434.59,0.0,434.59,96.0,32.94,21.82,66.3,73.4,46.37,55.84,41.92,42.19,84.11,4.25,79.86,0.0,79.86,12.67,67.19,67.19,44.56,1.51,1.49,0.0,0.0,0.0,0.0,0.0
2020-09-30,653.86,0.0,653.86,193.94,36.84,-34.26,67.29,113.49,76.12,68.71,131.73,8.85,140.58,2.2,138.38,0.0,138.38,23.86,114.52,114.52,44.45,2.58,2.58,0.0,0.0,0.0,0.0,0.0
2020-12-31,845.37,0.0,845.37,208.09,34.14,11.37,67.86,93.06,121.53,80.21,229.11,14.34,243.45,1.13,242.32,0.0,242.32,40.15,202.17,202.17,44.45,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2021-03-31,648.46,0.0,648.46,181.79,70.37,-7.09,65.3,81.19,100.07,85.14,71.69,46.4,118.09,4.43,113.66,0.0,113.66,22.41,91.25,91.25,44.45,2.05,2.05,0.0,0.0,0.0,0.0,0.0
2021-06-30,608.09,0.0,608.09,178.19,35.09,-4.16,73.13,81.5,0.0,163.35,80.99,32.08,113.07,0.32,112.75,0.0,112.75,19.78,92.97,92.97,44.45,2.09,2.09,0.0,0.0,0.0,0.0,0.0
