Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-06-30,708.66,258.09,966.75,0.0,9.06,9.91,947.78,31.08,978.86,978.86,978.86,274.86,704.0,0.0,704.0,430.0,0.0,0.0,0.0
2016-09-30,6660.45,1156.3,7816.75,22.85,284.48,7303.78,205.64,-21.43,184.21,184.21,184.21,-67.61,251.82,0.0,251.82,430.0,15358.2,2.91,2.91
2016-12-31,5715.56,884.25,6599.81,27.87,26.77,7168.38,-623.21,123.28,-499.93,-499.93,-499.93,-98.94,-400.99,0.0,-400.99,430.0,14957.21,-4.66,-4.66
2017-03-31,9744.41,1773.0,11517.41,21.26,-60.75,8387.71,3169.19,-208.47,2960.72,2960.72,2960.72,387.88,2572.84,0.0,2572.84,430.0,48052.09,29.92,29.92
2017-06-30,12777.65,1162.6,13940.25,23.59,96.87,13405.73,414.06,-22.69,391.37,391.37,391.37,1.26,390.11,0.0,390.11,430.0,179200.16,4.55,4.55
2017-09-30,9707.39,1254.08,10961.47,27.54,92.94,8978.41,1862.58,55.11,1917.69,1917.69,1917.69,498.58,1419.11,0.0,1419.11,430.0,18133.29,16.49,16.49
2017-12-31,8557.68,1195.89,9753.57,18.58,-79.23,8894.77,919.45,-131.47,787.98,787.98,787.98,115.22,672.76,0.0,672.76,438.6,20350.12,7.71,7.71
2018-03-31,7053.34,1780.7,8834.04,32.86,17.12,8269.4,514.66,56.55,571.21,571.21,571.21,-180.4,751.61,0.0,751.61,438.6,21101.72,8.66,8.66
2018-06-30,14584.27,1110.73,15695.0,29.72,57.74,14868.23,739.31,290.43,1029.74,1029.74,1029.74,258.32,771.42,0.0,771.42,438.6,21873.14,8.79,8.79
2018-09-30,11009.07,2171.18,13180.25,25.76,75.88,13257.23,-178.62,348.51,169.89,169.89,169.89,-343.95,513.84,0.0,513.84,877.2,20520.74,2.93,2.93
2018-12-31,7029.46,1521.5,8550.96,33.83,181.85,7030.3,1304.98,-264.88,1040.1,1040.1,1040.1,704.43,335.67,0.0,335.67,877.2,20856.41,1.91,1.91
2019-03-31,5056.29,1597.93,6654.22,28.08,266.03,5099.57,1260.54,-66.46,1194.08,1194.08,1194.08,590.71,603.37,0.0,603.37,877.2,21459.78,3.44,3.44
2019-06-30,16737.12,1401.91,18139.03,25.39,410.36,17603.86,99.42,39.49,138.91,138.91,138.91,30.31,108.6,0.0,108.6,877.2,21568.37,0.62,0.62
2019-09-30,11911.06,1795.11,13706.17,130.74,132.68,14159.39,-716.64,96.61,-620.03,-620.03,-620.03,-24.58,-595.45,0.0,-595.45,877.2,19545.27,-3.39,-3.39
2019-12-31,7828.48,2018.99,9847.47,-0.28,336.88,10658.21,-1147.34,81.41,-1065.93,-1065.93,-1065.93,3.71,-1069.64,0.0,-1069.64,877.2,18475.63,-6.1,-6.1
2020-03-31,7668.77,1909.49,9578.26,43.0,367.87,8394.3,773.09,328.0,1101.09,1101.09,1101.09,-96.32,1197.41,0.0,1197.41,877.2,19673.04,6.83,6.83
2020-06-30,13661.83,1142.83,14804.66,27.88,197.98,15476.09,-897.29,86.07,-811.22,-811.22,-811.22,-253.75,-557.47,0.0,-557.47,877.2,19115.57,-3.18,-3.18
2020-09-30,9491.35,2767.35,12258.7,15.11,148.74,11473.5,621.35,-209.07,412.28,412.28,412.28,182.23,230.05,0.0,230.05,877.2,19345.62,1.31,1.31
2020-12-31,9139.16,2624.47,11763.63,50.45,85.0,10124.47,1503.71,13.13,1516.84,1516.84,1516.84,529.42,987.42,0.0,987.42,877.2,20333.04,5.63,5.63
2021-03-31,7573.55,2286.21,9859.76,45.51,-380.15,8056.64,2137.76,-92.27,2045.49,2045.49,2045.49,785.05,1260.44,0.0,1260.44,877.2,21593.48,7.18,7.18
2021-06-30,11354.41,1794.6,13149.01,21.05,189.87,14299.24,-1361.15,194.43,-1166.72,-1166.72,-1166.72,-394.99,-771.73,0.0,-771.73,877.2,20821.74,-4.4,-4.4
2021-09-30,10410.02,2669.96,13079.98,32.97,64.34,11790.48,1192.19,21.56,1213.75,1213.75,1213.75,203.2,1010.55,0.0,1010.55,877.2,21832.29,6.0,6.0
2021-12-31,8907.0,2271.13,11178.13,13.71,-3.14,11295.86,-128.3,26.64,-101.66,-101.66,-101.66,-73.18,-28.48,0.0,-28.48,877.2,21803.81,-0.16,-0.16
2022-03-31,8621.98,2024.86,10646.84,145.74,1569.09,5527.75,3404.26,210.51,3614.77,3614.77,3614.77,1819.37,1795.4,0.0,1795.4,877.2,25255.26,10.23,10.23
2022-06-30,10736.16,1890.63,12626.79,11.96,225.29,11853.65,535.89,452.81,988.7,988.7,988.7,298.98,689.72,0.0,689.72,877.2,23894.2,3.93,3.93
2022-09-30,8763.98,3206.32,11970.3,39.58,-60.39,9998.41,1992.7,468.67,2461.37,2461.37,2461.37,601.44,1859.93,0.0,1859.93,877.2,25754.12,10.6,10.6
2022-12-31,8648.76,2600.03,11248.79,90.91,36.39,10140.95,980.54,314.54,1295.08,1295.08,1295.08,96.09,1198.99,0.0,1198.99,877.2,26953.13,6.83,6.83
2023-03-31,7659.11,1749.09,9408.2,76.14,2641.51,3536.68,3153.87,-149.61,3004.26,3004.26,3004.26,440.42,2563.84,0.0,2563.84,877.2,29516.97,14.61,14.61
2023-06-30,8632.56,2454.93,11087.49,34.0,157.92,10140.87,754.7,180.47,935.17,935.17,935.17,203.4,731.77,0.0,731.77,877.2,30248.76,4.17,4.17
2023-09-30,9958.11,3100.97,13059.08,47.05,50.07,11514.49,1447.47,400.13,1847.6,1847.6,1847.6,242.51,1605.09,0.0,1605.09,877.2,30590.87,13.32,13.32
2023-12-31,7758.28,3093.02,10851.3,58.75,20.82,9325.37,1446.36,477.46,1923.82,1923.82,1923.82,405.86,1517.96,0.0,1517.96,877.2,34667.24,21.97,21.97
2024-03-31,7227.11,2971.48,10198.59,66.7,-86.13,6592.76,3625.26,133.58,3758.84,3758.84,3758.84,528.86,3229.98,-587.5,2642.48,877.2,37804.63,15.06,15.06
2024-06-30,10063.56,2758.99,12822.55,36.5,62.31,11330.75,1392.99,0.16,1393.15,1393.15,1393.15,356.79,1036.36,0.0,1036.36,877.2,38858.08,5.91,5.91
2024-09-30,8847.04,3483.34,12330.38,28.73,64.75,9871.58,2365.32,-84.18,2281.14,2281.14,2281.14,420.38,1860.76,0.0,1860.76,877.2,39704.17,16.51,16.51
2024-12-31,8539.5,2627.18,11166.68,39.82,-67.4,9291.49,1902.77,265.91,2168.68,2168.68,2168.68,547.33,1621.35,0.0,1621.35,877.2,40968.33,9.24,9.24
