Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-06-30,330.58,0.61,331.19,248.85,8.64,-9.93,18.84,8.54,37.67,18.58,1.65,20.22,1.68,18.54,18.54,5.98,12.57,12.57,25.0,0.5,0.0
2021-09-30,432.64,0.67,433.31,311.73,15.26,-13.14,22.92,8.75,50.39,37.39,3.32,40.71,1.43,39.28,39.28,8.87,30.41,30.41,25.0,1.23,1.23
2021-12-31,436.15,0.63,436.77,296.76,13.86,11.26,21.53,9.33,69.55,14.48,2.13,16.62,0.94,15.68,15.68,5.05,10.63,10.63,25.0,0.42,0.42
2022-03-31,396.53,0.89,397.42,266.65,13.67,2.91,22.02,10.05,52.2,29.94,7.53,37.47,2.01,35.45,35.45,9.09,26.36,26.36,24.95,1.06,1.06
2022-06-30,413.62,0.0,413.62,301.8,18.9,-6.15,22.39,10.21,45.44,21.03,4.98,26.02,2.09,23.92,23.92,6.09,17.83,17.83,24.95,0.71,0.71
2022-09-30,569.95,0.0,569.95,384.86,37.52,-7.53,25.67,10.47,64.45,54.51,5.94,60.45,2.15,58.3,58.3,14.91,43.39,43.39,24.95,1.74,1.74
2022-12-31,502.19,0.39,502.59,305.0,44.49,5.13,24.65,10.74,74.42,38.16,3.76,41.92,2.06,39.85,39.85,10.13,29.72,29.72,24.95,1.19,1.19
2023-03-31,457.76,0.47,458.23,268.91,37.34,4.47,23.99,10.41,65.38,47.73,5.25,52.98,1.95,51.03,51.03,14.3,36.73,36.73,24.95,1.47,1.47
2023-06-30,477.4,0.0,477.4,291.97,40.95,-5.62,24.08,11.28,61.8,52.94,8.63,61.57,1.58,59.99,59.99,15.26,44.73,44.73,24.95,1.79,1.79
2023-09-30,597.69,0.0,597.69,361.22,53.58,-8.91,27.94,13.45,77.21,73.19,6.99,80.17,2.26,77.91,77.91,16.78,61.13,61.13,25.0,2.45,2.45
2023-12-31,613.14,0.0,613.14,381.98,26.48,12.26,30.91,14.81,85.21,61.49,5.71,67.2,2.28,64.92,64.92,15.83,49.09,49.09,25.01,1.96,1.96
2024-03-31,512.64,93.57,606.21,322.29,24.31,-0.48,23.62,14.96,75.72,145.79,10.76,156.55,1.91,154.64,154.64,38.53,116.11,116.11,25.04,4.64,4.64
2024-06-30,561.4,0.0,561.4,340.95,34.28,-3.7,31.47,16.96,65.46,75.99,7.48,83.48,2.21,81.27,81.27,20.72,60.55,60.55,25.04,2.42,2.42
2024-09-30,713.24,0.0,713.24,465.95,37.95,-24.5,36.15,17.36,88.9,91.44,7.86,99.3,2.28,97.02,97.02,24.95,72.08,72.08,25.04,2.88,2.88
2024-12-31,659.27,17.07,676.34,428.55,38.88,20.87,34.84,17.57,97.68,37.95,6.87,44.81,3.03,41.78,41.78,10.99,30.79,30.79,25.04,1.23,1.23
2025-03-31,569.0,16.89,585.88,366.96,35.04,-3.44,30.66,17.41,77.61,61.65,7.71,69.36,3.46,65.9,65.9,16.9,49.01,49.01,25.06,1.95,1.95
