Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-06-30,139.56,0.0,139.56,30.01,0.71,30.66,10.34,44.4,23.43,3.81,27.24,4.54,22.71,0.0,22.71,5.71,16.99,16.99,77.59,2.19,2.26
2020-09-30,282.38,0.0,282.38,62.59,3.62,35.6,10.84,73.41,96.32,1.87,98.2,2.81,95.38,0.0,95.38,24.39,70.99,70.99,77.59,9.15,9.43
2020-12-31,236.72,17.4,254.12,-146.72,1.18,42.86,12.87,278.12,65.81,0.31,66.13,4.33,61.8,0.0,61.8,14.24,47.56,47.56,77.59,6.13,0.0
2021-03-31,256.63,0.0,256.63,54.12,-0.28,37.92,10.55,80.45,73.86,3.62,77.48,3.11,74.37,0.0,74.37,21.27,53.1,53.1,77.59,6.84,6.97
2021-06-30,331.51,0.0,331.51,86.48,-5.59,49.22,10.74,90.31,100.36,4.02,104.38,2.25,102.13,0.0,102.13,25.97,76.16,76.16,77.59,9.81,9.81
2021-09-30,284.17,0.0,284.17,61.82,-1.46,41.32,11.42,84.4,86.67,9.34,96.0,1.08,94.93,0.0,94.93,23.62,71.31,71.31,80.03,8.91,8.91
2021-12-31,273.19,0.0,273.19,57.78,-0.23,40.56,11.41,76.32,87.36,3.1,90.46,0.62,89.84,0.0,89.84,22.85,66.99,66.99,80.03,8.37,8.37
2022-03-31,254.5,0.0,254.5,53.35,-2.24,42.92,11.35,72.2,76.92,7.72,84.63,0.53,84.11,0.0,84.11,20.2,63.91,63.91,80.03,7.99,7.99
2022-06-30,262.95,0.0,262.95,56.59,-0.42,47.39,11.41,81.27,66.72,3.71,70.43,0.41,70.02,0.0,70.02,17.9,52.12,52.12,80.03,6.51,6.51
2022-09-30,292.21,0.0,292.21,56.49,6.28,47.2,11.38,94.38,76.48,7.63,84.11,0.33,83.79,0.0,83.79,22.58,61.2,61.2,80.03,7.65,7.65
2022-12-31,283.51,0.0,283.51,60.3,-0.28,45.03,11.35,88.5,78.62,7.18,85.81,0.24,85.56,0.0,85.56,21.1,64.47,64.47,80.03,8.06,8.06
2023-03-31,293.35,0.0,293.35,57.45,1.17,47.64,11.16,82.77,93.17,4.97,98.14,0.18,97.97,0.0,97.97,23.27,74.7,74.7,80.03,9.33,9.33
2023-06-30,298.9,0.0,298.9,65.66,-4.32,53.44,12.12,91.78,80.22,3.84,84.06,0.08,83.98,0.0,83.98,21.34,62.63,62.63,80.03,7.83,7.83
2023-09-30,316.25,0.0,316.25,67.2,-1.1,55.86,12.79,95.99,85.5,3.57,89.07,0.05,89.02,0.0,89.02,22.86,66.16,66.16,80.03,8.27,8.27
2023-12-31,302.06,0.0,302.06,61.29,1.26,54.15,12.78,97.89,74.7,4.23,78.92,1.22,77.71,0.0,77.71,19.35,58.36,58.36,80.03,7.29,7.29
2024-03-31,304.85,0.0,304.85,59.43,1.29,56.12,20.41,101.72,65.88,3.9,69.78,2.31,67.47,0.0,67.47,19.27,48.19,48.19,80.03,6.02,6.02
2024-06-30,327.4,0.0,327.4,64.5,-1.0,61.5,13.7,108.6,80.1,5.3,85.4,3.8,81.6,0.0,81.6,20.9,60.7,60.7,80.03,7.58,7.58
2024-09-30,363.3,0.0,363.3,69.1,1.9,59.6,14.0,121.6,97.1,6.6,103.7,4.6,99.1,0.0,99.1,26.9,72.2,72.2,80.03,1.8,1.8
2024-12-31,347.5,0.0,347.5,75.2,-5.7,57.1,14.9,118.0,88.0,20.6,108.6,6.7,101.9,0.0,101.9,25.4,76.5,76.5,80.03,1.91,1.91
2025-03-31,345.9,0.0,345.9,70.7,0.6,58.2,15.1,107.7,93.6,24.2,117.8,8.1,109.7,10.8,120.5,27.0,93.5,93.5,80.0,2.34,2.34
