Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,93886.0,93886.0,78170.0,63.0,770.0,863.0,2457.0,5647.0,5916.0,1740.0,7656.0,806.0,6850.0,0.0,6850.0,1348.0,5502.0,5502.0,3228.0,0.0,17.0,17.0,176.46,54.66,146.39,100.0,45.34
2013-03-31,84198.0,84198.0,70982.0,222.0,-1289.0,792.0,2239.0,5666.0,5586.0,2243.0,7829.0,709.0,7120.0,0.0,7120.0,1531.0,5589.0,5589.0,3229.0,0.0,17.3,17.3,176.47,54.66,146.39,100.0,45.34
2013-06-30,87645.0,87645.0,73729.0,392.0,-746.0,899.0,2138.0,6296.0,4937.0,2535.0,7472.0,810.0,6662.0,0.0,6662.0,1310.0,5352.0,5352.0,3229.0,0.0,16.6,16.6,176.55,54.67,146.39,100.0,45.33
2013-09-30,103758.0,103758.0,88365.0,116.0,-185.0,808.0,2233.0,6805.0,5616.0,2060.0,7676.0,805.0,6871.0,0.0,6871.0,1381.0,5490.0,5490.0,3231.0,0.0,17.0,17.0,176.67,54.69,146.39,100.0,45.31
2013-12-31,103521.0,103521.0,86124.0,3.0,2579.0,715.0,2143.0,6478.0,5479.0,2305.0,7784.0,792.0,6992.0,0.0,6992.0,1481.0,5511.0,5511.0,3231.0,0.0,17.1,17.1,176.73,54.69,146.39,100.0,45.31
2014-03-31,95193.0,95193.0,81095.0,13.0,-1236.0,948.0,2275.0,6042.0,6056.0,2036.0,8092.0,799.0,7293.0,0.0,7293.0,1662.0,5631.0,5631.0,3232.0,95.0,17.4,17.4,176.79,54.7,146.4,100.0,45.3
2014-06-30,96351.0,96351.0,80966.0,1716.0,-2120.0,929.0,2024.0,7330.0,5506.0,2046.0,7552.0,324.0,7228.0,0.0,7228.0,1579.0,5649.0,5649.0,3233.0,0.0,17.5,17.5,176.87,54.71,146.4,100.0,45.29
2014-09-30,96486.0,96486.0,78851.0,1736.0,-576.0,932.0,2227.0,7308.0,6008.0,2140.0,8148.0,758.0,7390.0,0.0,7390.0,1648.0,5742.0,5742.0,3234.0,0.0,17.7,17.7,177.02,54.74,146.4,100.0,45.26
2014-12-31,80196.0,80196.0,58543.0,1951.0,4907.0,832.0,2105.0,6755.0,5103.0,2402.0,7505.0,881.0,6624.0,0.0,6624.0,1539.0,5085.0,5085.0,3235.0,0.0,15.7,15.7,177.11,54.75,146.4,100.0,45.25
2015-03-31,56043.0,56043.0,37638.0,1731.0,-268.0,993.0,2132.0,7320.0,6497.0,2133.0,8630.0,404.0,8226.0,0.0,8226.0,1983.0,6243.0,6243.0,3236.0,100.0,19.3,19.3,177.17,54.76,146.4,100.0,45.25
2015-06-30,65817.0,65817.0,48976.0,1300.0,-1903.0,1217.0,2010.0,7053.0,7164.0,1716.0,8880.0,617.0,8263.0,0.0,8263.0,1894.0,6369.0,6369.0,3236.0,0.0,19.7,19.6,0.0,0.0,0.0,0.0,0.0
2015-09-30,64515.0,64515.0,39976.0,1134.0,1957.0,940.0,2085.0,10923.0,7500.0,1683.0,9183.0,723.0,8460.0,0.0,8460.0,1926.0,6534.0,6534.0,3238.0,0.0,20.2,20.1,0.0,0.0,0.0,0.0,0.0
2015-12-31,56567.0,56567.0,36200.0,949.0,1482.0,1092.0,2168.0,6597.0,8079.0,2281.0,10360.0,636.0,9724.0,0.0,9724.0,2428.0,7296.0,7296.0,3239.0,0.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0
2016-03-31,49957.0,49957.0,27617.0,858.0,2635.0,1013.0,2327.0,7493.0,8014.0,2141.0,10155.0,586.0,9569.0,0.0,9569.0,2342.0,7227.0,7227.0,3240.0,0.0,22.32,22.27,0.0,0.0,0.0,0.0,0.0
2016-06-30,53496.0,53496.0,35801.0,802.0,-1734.0,1251.0,1950.0,6559.0,8867.0,2033.0,10900.0,924.0,9976.0,0.0,9976.0,2428.0,7548.0,7548.0,3242.0,0.0,23.3,23.2,0.0,0.0,0.0,0.0,0.0
2016-09-30,59577.0,59577.0,39506.0,1944.0,-292.0,1016.0,2029.0,6848.0,8526.0,2280.0,10806.0,633.0,10173.0,0.0,10173.0,2469.0,7704.0,7704.0,3243.0,0.0,23.8,23.7,0.0,0.0,0.0,0.0,0.0
2016-12-31,61806.0,61806.0,43289.0,1029.0,-2253.0,949.0,2077.0,8188.0,8527.0,3025.0,11552.0,931.0,10621.0,0.0,10621.0,2599.0,8022.0,8022.0,3244.0,0.0,24.7,24.7,0.0,0.0,0.0,0.0,0.0
2017-03-31,67146.0,67146.0,45654.0,1386.0,-560.0,1218.0,2409.0,8168.0,8871.0,1371.0,10242.0,235.0,10007.0,0.0,10007.0,1856.0,8151.0,8151.0,3251.0,0.0,25.13,25.09,0.0,0.0,0.0,0.0,0.0
2017-06-30,64217.0,64217.0,42037.0,1797.0,-555.0,1170.0,2158.0,8179.0,9431.0,1918.0,11349.0,788.0,10561.0,0.0,10561.0,2365.0,8196.0,8196.0,3252.0,0.0,25.21,25.19,0.0,0.0,0.0,0.0,0.0
2017-09-30,68532.0,68532.0,45307.0,2166.0,924.0,1182.0,2268.0,5970.0,10715.0,2057.0,12772.0,1314.0,11458.0,0.0,11458.0,3193.0,8265.0,8265.0,6333.0,0.0,13.03,13.02,0.0,0.0,0.0,0.0,0.0
2017-12-31,73256.0,73256.0,51767.0,1112.0,-3162.0,1142.0,2475.0,8653.0,11269.0,1624.0,12893.0,1094.0,11799.0,0.0,11799.0,3345.0,8454.0,8454.0,6334.0,0.0,13.4,13.39,0.0,0.0,0.0,0.0,0.0
2018-03-31,84037.0,84037.0,58918.0,2193.0,-439.0,1246.0,2679.0,8694.0,10746.0,2621.0,13367.0,1460.0,11907.0,0.0,11907.0,3210.0,8697.0,8697.0,6335.0,0.0,13.73,13.72,0.0,0.0,0.0,0.0,0.0
