Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Other Assets,Current Investments,Short Term Borrowings,Intangible Assets Under Development,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,5.0,5.0,1.09,1.09,0.0,6.09,0.0,0.0,0.0,0.11,0.0,0.33,0.68,1.01,7.22,2.22,0.0,0.0,2.22,0.36,0.0,0.0,0.17,2.74,0.0,0.6,2.59,1.28,0.0,4.47,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.82,6.82,6.48,6.48,0.0,13.3,0.0,0.0,0.0,0.22,0.27,0.11,1.38,1.77,15.29,2.6,0.0,0.0,2.6,3.24,0.11,0.0,0.0,5.95,0.0,3.72,4.86,0.77,0.0,9.35,15.29,0.0,0.0,0.0,6.45,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6.82,6.82,30.27,30.27,0.0,37.09,0.0,0.0,0.0,0.75,0.31,0.52,3.44,4.26,42.11,8.33,0.0,0.51,8.84,3.24,0.05,0.0,0.42,12.55,0.0,14.41,14.56,0.59,0.0,29.56,42.11,0.0,6.47,0.0,32.97,3.24,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,10.0,10.0,494.27,494.27,0.0,504.27,0.0,0.0,0.0,1.82,2.91,5.51,3.56,11.98,518.07,15.44,0.0,21.18,36.62,268.35,1.62,0.0,19.21,325.8,0.0,23.06,117.58,51.63,0.0,192.27,518.07,4.3,14.31,0.0,83.34,268.35,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.0,10.0,567.58,567.58,0.0,577.58,0.0,0.0,0.0,3.84,8.94,0.12,29.24,38.3,619.71,40.42,0.0,77.16,117.58,282.47,1.63,0.0,14.41,416.09,0.0,48.32,82.25,73.06,0.0,203.62,619.71,4.3,12.82,0.0,134.79,282.47,0.0,0.0,0.0,0.0,0.0,0.0,14.41,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.0,10.0,635.01,635.01,0.0,645.01,0.0,0.0,0.0,10.38,7.82,1.1,31.55,40.47,695.85,102.78,0.0,79.98,182.76,275.35,1.63,0.0,9.6,469.34,0.0,54.75,89.89,81.87,0.0,226.51,695.85,7.98,13.65,0.0,157.11,275.35,0.0,0.0,0.0,0.0,0.0,0.0,34.96,10.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.15,10.15,646.04,646.04,0.0,656.19,0.0,0.0,0.0,8.99,1.48,0.95,24.65,27.08,692.26,94.11,0.0,60.54,154.65,388.18,4.04,0.0,4.8,551.67,3.17,42.22,38.22,56.96,0.0,140.58,692.26,8.71,8.1,46.57,1.89,388.18,0.0,0.0,0.0,0.0,0.0,0.0,1.26,8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.15,10.15,627.01,627.01,0.0,637.16,0.0,0.0,0.0,0.0,10.12,1.18,1.18,12.48,649.64,64.95,0.0,35.94,110.4,450.39,2.43,0.0,1.94,565.16,0.0,27.44,21.38,35.65,0.0,84.48,649.64,9.14,10.13,0.0,19.07,450.39,0.0,0.0,0.0,0.0,0.0,9.51,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.15,10.15,616.42,616.42,0.0,626.57,0.0,2.01,0.0,2.01,5.28,11.17,0.0,16.45,645.03,53.8,0.0,10.9,71.04,465.88,5.94,0.0,1.94,544.81,0.0,46.93,41.45,11.84,0.0,100.22,645.03,8.28,1.89,0.0,14.15,465.88,0.0,0.0,0.0,0.0,0.0,6.34,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.15,10.15,614.65,614.65,0.0,624.79,0.0,0.0,0.0,0.0,6.73,17.23,0.0,23.96,648.75,45.62,0.0,11.15,63.51,474.73,6.78,0.0,1.94,546.96,0.0,40.9,18.47,14.75,0.0,101.8,648.75,8.28,3.0,0.0,3.77,474.73,27.68,0.0,0.0,27.68,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
