Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,791.68,33.0,824.68,63.35,3.58,0.0,203.84,553.91,3.55,557.46,320.86,236.6,0.0,236.6,76.51,160.09,160.09,42.81,38.44,38.15,1.63,38.02,2.65,100.0,61.98
2013-03-31,780.29,51.96,832.25,65.03,5.25,0.0,208.35,553.62,11.21,564.83,326.46,238.37,0.0,238.37,74.56,163.81,163.81,49.78,35.35,35.11,1.69,37.93,3.09,100.0,62.07
2013-06-30,883.7,44.62,928.32,77.92,3.9,0.0,252.31,594.19,4.11,598.3,331.44,266.86,0.0,266.86,91.12,175.74,175.74,49.78,35.3,35.07,1.89,37.93,3.09,100.0,62.07
2013-09-30,874.2,87.45,961.65,80.84,4.95,0.0,243.41,632.45,2.33,634.78,382.08,252.7,0.0,252.7,85.66,167.04,167.04,49.78,33.56,33.35,1.89,37.93,3.09,100.0,62.07
2013-12-31,1027.42,42.9,1070.32,89.16,6.15,0.0,282.07,692.94,11.58,704.52,409.67,294.85,0.0,294.85,100.71,194.14,194.14,49.78,39.0,38.76,1.89,37.93,3.09,100.0,62.07
2014-03-31,1003.23,67.9,1071.13,92.89,14.19,0.0,261.14,702.91,23.89,726.8,450.05,276.75,0.0,276.75,94.66,182.09,182.09,50.14,36.61,36.32,1.92,38.39,3.09,100.0,61.61
2014-06-30,1180.1,63.51,1243.61,107.81,7.77,0.0,310.14,817.89,2.35,820.24,499.64,320.6,0.0,320.6,109.24,211.36,211.36,50.14,42.46,42.1,1.92,38.39,3.09,100.0,61.61
2014-09-30,1170.25,61.96,1232.21,105.93,8.4,0.0,284.31,833.57,9.62,843.19,544.46,298.73,0.0,298.73,101.58,197.15,197.15,50.14,39.52,39.16,1.92,38.39,3.09,100.0,61.61
2014-12-31,1416.43,60.12,1476.55,119.79,9.89,0.0,370.26,976.61,8.84,985.45,592.39,393.06,0.0,393.06,134.68,258.38,258.38,50.15,51.73,51.2,1.93,38.39,3.09,100.0,61.61
2015-03-31,1353.19,76.24,1429.43,117.2,9.54,0.0,361.95,940.74,15.62,956.36,611.81,344.55,0.0,344.55,113.57,230.98,230.98,50.15,46.28,44.03,1.93,38.39,3.09,100.0,61.61
2015-06-30,1571.64,74.57,1646.21,144.59,11.5,0.0,400.26,1089.86,9.63,1099.49,677.06,422.43,0.0,422.43,146.8,275.63,275.63,53.63,54.34,53.6,2.27,42.4,3.09,100.0,57.6
2015-09-30,1592.09,87.84,1679.93,149.84,12.61,0.0,415.49,1101.99,20.64,1122.63,694.67,427.96,0.0,427.96,148.57,279.39,279.39,53.63,52.37,51.68,2.27,42.4,3.09,100.0,57.6
2015-12-31,1971.71,89.65,2061.36,170.53,15.09,0.0,509.51,1366.23,8.26,1374.49,749.3,625.19,0.0,625.19,216.73,408.46,408.46,53.63,76.41,75.31,0.0,0.0,0.0,0.0,0.0
2016-03-31,1801.7,114.53,1916.23,164.67,17.14,0.0,466.8,1267.62,27.2,1294.82,805.83,488.99,0.0,488.99,173.95,315.04,315.04,53.87,5.89,5.8,0.0,0.0,0.0,0.0,0.0
2016-06-30,2165.91,120.49,2286.4,201.79,15.98,0.0,548.45,1520.18,14.66,1534.84,883.31,651.53,0.0,651.53,227.54,423.99,423.99,53.87,79.14,77.84,0.0,0.0,0.0,0.0,0.0
2016-09-30,2180.2,166.81,2347.01,212.99,17.75,0.0,552.78,1563.49,18.97,1582.46,956.16,626.3,0.0,626.3,218.54,407.76,407.76,107.74,7.6,7.45,0.0,0.0,0.0,0.0,0.0
2016-12-31,2527.11,174.86,2701.97,252.52,17.72,0.0,628.64,1803.09,27.11,1830.2,980.2,850.0,0.0,850.0,294.35,555.65,555.65,109.59,10.27,10.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,2460.73,204.29,2665.02,264.37,19.71,0.0,715.46,1665.48,7.91,1673.39,983.69,689.7,0.0,689.7,240.55,449.15,449.15,109.98,8.22,8.13,0.0,0.0,0.0,0.0,0.0
