Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Equity Share Application Money,Deferred Tax Liabilities [Net],Inventories,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,16.49,16.49,217.43,217.43,0.0,0.0,233.92,43.05,0.0,0.0,43.5,300.81,25.73,223.23,662.68,940.1,3.69,0.0,0.0,0.0,3.69,1.54,0.0,34.82,0.0,0.0,24.78,153.61,0.0,905.27,940.1,0.34,0.0,0.0,31.1,0.0,0.0,0.0,112.91,29.59,0.0,0.0,0.45,726.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,16.49,16.49,259.28,259.28,0.0,0.0,275.77,135.7,0.0,0.0,135.7,544.62,31.3,329.96,1010.49,1421.96,2.25,0.0,0.0,0.0,2.25,3.04,0.0,28.42,0.0,0.0,40.76,230.43,0.0,1393.54,1421.96,0.23,0.0,0.0,24.77,0.0,0.0,0.0,104.6,23.13,0.0,0.0,0.0,1122.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.99,20.99,461.73,461.73,0.0,0.0,482.72,372.65,0.0,0.0,372.65,646.12,38.64,534.28,1351.5,2219.19,3.22,0.0,0.0,0.0,3.22,1.15,0.0,31.27,0.0,0.0,65.63,266.85,0.0,2187.92,2219.19,0.35,0.0,0.0,27.0,0.0,0.0,0.0,132.46,26.9,0.0,12.33,0.0,1855.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,35.35,35.35,960.57,960.57,0.0,0.0,995.92,624.35,0.0,0.0,624.35,993.94,51.59,730.76,1916.68,3542.07,5.03,0.0,0.0,0.0,5.03,16.31,0.0,54.01,0.0,0.0,537.75,248.91,0.0,3488.06,3542.07,54.12,0.0,0.0,32.71,0.0,0.0,0.0,140.4,32.67,0.0,5.12,0.0,2701.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,36.6,36.6,1026.79,1026.79,0.0,0.0,1063.39,639.44,0.0,0.0,639.44,1024.06,77.21,904.55,2142.94,3845.76,12.16,1.6,0.0,0.0,13.76,27.4,0.0,368.04,0.0,0.0,210.11,432.99,0.0,3477.72,3845.76,1.04,0.0,0.0,38.87,288.02,0.0,0.0,137.11,326.88,0.0,0.0,0.0,2834.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,36.6,36.6,1052.14,1052.14,0.0,0.0,1088.74,416.43,0.0,0.0,416.43,1194.98,86.13,1070.24,2537.15,4042.31,13.32,6.88,0.0,0.0,20.2,50.58,0.0,344.69,0.0,392.21,62.91,1159.43,0.0,3697.62,4042.31,6.2,0.06,0.0,105.49,168.44,0.0,0.0,185.8,273.91,0.0,0.0,0.0,2083.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,36.6,36.6,1115.94,1115.94,0.0,0.0,1152.54,1756.77,0.0,0.0,1757.07,1469.99,70.8,104.08,1914.84,4824.45,42.22,8.23,0.0,0.0,50.45,69.52,0.0,423.38,0.0,0.0,22.51,4378.56,0.0,4401.07,4824.45,8.86,0.45,0.0,301.85,0.0,0.0,0.0,269.97,303.41,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,36.63,36.63,1321.48,1321.48,0.0,0.0,1358.11,2854.06,15.93,18.9,2888.89,2468.91,151.73,1605.86,4274.91,8521.91,96.19,6.41,0.0,0.0,102.6,64.94,0.0,4159.68,0.0,3339.78,871.67,120.06,30.72,4362.23,8521.91,34.17,1.27,0.0,5.74,0.0,0.0,0.0,48.41,5.61,3986.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,41.32,41.32,1970.93,1970.93,21.32,0.0,2033.57,6407.86,28.54,32.25,6468.65,2794.56,182.61,1384.09,4424.46,12926.68,128.13,10.66,0.0,0.0,138.79,69.16,0.0,6855.08,0.0,5713.88,59.83,221.87,76.02,6071.6,12926.68,56.83,2.51,0.0,5.53,0.0,0.0,0.0,63.2,5.48,6641.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,49.78,49.78,3317.26,3317.26,0.0,0.0,3367.04,7503.08,41.96,64.61,7609.65,2080.14,168.95,4502.51,6844.48,17821.17,164.43,11.78,0.0,0.0,176.21,90.37,0.0,9906.28,0.0,0.0,416.4,7430.29,68.2,7914.89,17821.17,263.03,2.77,0.0,0.03,5.26,0.0,0.0,92.88,5.26,9634.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
