Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Employees Stock Options
2011-03-31,984.57,984.57,1895.77,11686.25,13582.02,14567.58,180485.79,51569.65,6753.77,253376.79,19559.05,1207.03,68269.18,157098.07,3037.34,4206.13,253376.79,815.0,13598.0,13.64,8.03,5.61,2784.73,2.0,1677.91,1.06,1.0,29995.93,138274.78,0.99
2012-03-31,1278.38,1278.38,1853.93,16294.75,18148.68,19427.92,210492.56,53477.64,6918.22,290316.33,15090.21,2967.44,83175.36,180572.3,3018.81,5492.21,290316.33,972.0,15435.0,14.58,8.38,6.2,4551.37,2.0,2910.93,1.61,2.0,31232.3,154197.43,0.85
2013-03-31,1332.75,1332.75,1762.78,18139.73,19902.51,21236.02,227116.47,65808.87,8607.14,322768.51,10543.95,7380.57,98800.93,196306.45,2925.29,6811.32,322768.51,1076.0,15465.0,13.13,7.68,5.45,6449.98,3.0,3100.36,1.58,2.0,33184.86,187819.01,0.77
2014-03-31,1603.94,1603.94,1712.84,20322.08,22034.92,23639.3,235773.63,60146.29,9437.4,328996.63,12711.11,4106.8,103773.5,197686.0,2983.21,7736.01,328996.63,1388.0,16438.0,11.68,7.79,3.89,9960.16,5.0,4902.3,2.48,2.0,35650.95,196540.68,0.45
2015-03-31,1603.96,1603.96,1662.85,21050.11,22712.96,24317.1,259835.97,61832.98,10044.51,356030.57,13035.77,1489.99,120963.21,208376.87,3060.5,9104.24,356030.57,1717.0,16555.0,11.76,8.18,3.58,12684.97,6.0,5992.52,2.88,3.0,43283.0,246073.24,0.19
2016-03-31,2058.82,2058.82,5607.83,20055.15,25662.97,27721.79,265719.83,69573.94,11356.57,374372.13,13822.91,2757.63,98999.43,215893.45,7447.32,35451.39,374372.13,1846.0,17570.0,11.67,8.89,2.78,24875.07,11.0,14643.39,6.78,7.0,41008.74,212856.92,0.0
2017-03-31,2058.82,2058.82,5417.75,15087.09,20504.83,22563.65,268538.1,56363.98,14302.18,361767.9,13346.92,19337.16,92934.41,190825.93,7348.78,37974.7,361767.9,1896.0,18187.0,10.7,7.81,2.89,44752.59,21.0,25205.8,13.21,13.0,15948.82,0.0,0.0
2018-03-31,3083.86,3083.86,5053.88,13071.98,18125.87,21209.73,247931.61,63185.53,17986.77,350313.64,13163.69,20522.4,91606.06,171739.95,6770.98,46510.56,350313.64,1916.0,17475.0,10.41,7.73,2.68,55588.25,28.0,28665.14,16.69,17.0,9300.58,0.0,0.0
2019-03-31,7736.29,7736.29,6727.69,23147.71,29875.4,37611.7,227371.72,45287.72,10013.35,320284.49,12730.47,8503.23,93072.63,146790.44,8230.99,50956.74,320284.49,1892.0,17117.0,11.58,9.13,2.45,50027.94,27.0,14837.44,10.11,10.0,9634.77,140854.29,0.0
2020-03-31,10380.59,10380.59,6503.37,17140.41,23643.77,34024.37,222424.13,36748.86,6745.02,299942.37,10538.83,19891.57,81780.42,129841.79,8129.18,49760.58,299942.37,1892.0,17723.0,13.31,10.57,2.74,47272.37,28.0,5439.49,4.19,4.0,9870.73,117113.22,0.0
2021-03-31,10752.4,10752.4,6281.45,19777.22,26058.67,36811.07,230898.41,15908.05,14146.55,297764.08,13012.8,22209.39,81022.56,128149.94,7827.42,45541.97,297764.08,1884.0,17319.0,15.59,13.06,2.53,36211.95,22.0,2519.38,1.97,2.0,9648.34,220709.69,0.0
2022-03-31,10752.4,10752.4,0.0,30909.58,30909.58,41661.98,233134.42,14344.98,12277.98,301419.36,13593.36,13117.22,82988.21,145771.84,9936.91,36011.82,301419.36,0.0,0.0,19.06,0.0,0.0,34114.83,19.0,1856.16,1.27,1.0,0.0,0.0,0.0
2023-03-31,10752.4,10752.4,0.0,34566.08,34566.08,45318.48,255498.94,12637.75,17047.0,330502.17,16639.18,12646.59,99689.74,162567.73,9756.87,29202.06,330502.17,0.0,0.0,20.44,0.0,0.0,10969.29,6.0,1494.74,0.92,1.0,0.0,0.0,0.0
2024-03-31,10752.4,10752.4,0.0,39129.46,39129.46,49881.86,277657.22,17082.7,18568.69,363190.47,13990.96,11941.93,114934.24,188620.61,9519.92,24182.81,363190.47,0.0,0.0,22.26,0.0,0.0,8916.84,4.53,643.83,0.34,1.65,0.0,0.0,0.0
2025-03-31,10752.4,10752.4,0.0,49498.61,49498.61,60251.01,310293.55,19882.28,21234.47,411661.31,21294.15,23122.03,117467.53,218399.16,12181.14,19197.3,411661.31,0.0,0.0,25.05,0.0,0.0,6695.15,2.98,337.34,0.15,1.98,0.0,0.0,0.0
