Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,4833.51,1315.02,46.19,5.64,869.83,4787.18,333.01,397.54,1552.46,962.95,589.51,172.75,416.76,416.76,1278.42,0.0,70.52,14.19,0.0,3.26,3.26,6401.43,3302.05,3.67,1.93,0.64,37.69,29.48,90.15,100.0,70.52
2013-03-31,4939.85,1377.22,63.34,16.48,1146.89,4956.91,533.56,459.18,1594.13,869.12,725.01,170.56,554.45,554.45,1332.75,0.0,71.72,0.0,13.13,4.31,4.31,6449.98,3100.36,3.22,1.58,0.78,37.69,28.28,95.59,100.0,71.72
2013-06-30,5096.99,1585.17,38.52,7.71,717.03,5253.35,490.06,385.39,1316.62,829.67,486.95,180.0,306.95,306.95,1332.77,0.0,71.72,0.0,13.35,2.3,2.3,7959.23,3871.79,4.34,2.16,0.41,37.69,28.28,95.59,100.0,71.72
2013-09-30,5065.87,1442.92,26.6,0.32,578.73,5052.11,360.49,427.01,1274.83,878.72,396.11,203.84,192.27,192.27,1332.77,0.0,71.72,0.0,12.96,1.44,1.44,9370.1,5174.06,4.98,2.82,0.27,37.69,28.28,95.59,100.0,71.72
2013-12-31,5014.93,1500.06,19.49,83.34,532.06,5129.44,315.8,465.18,1239.46,1033.36,206.1,102.14,103.96,103.96,1603.94,0.0,76.5,0.0,13.23,0.78,0.78,10012.44,5223.06,5.44,2.93,0.14,37.69,23.5,122.7,100.0,76.5
2014-03-31,5079.53,1546.57,18.73,70.76,1150.93,5141.13,358.39,516.52,1850.48,1198.5,651.98,133.75,518.23,518.23,1603.94,0.0,76.5,0.0,13.13,3.23,3.23,9960.16,4902.3,4.9,2.48,0.68,37.69,23.5,122.7,100.0,76.5
2014-06-30,5024.54,1686.15,20.51,0.42,499.75,5482.07,395.47,426.93,926.9,776.16,150.74,45.93,104.81,104.81,1603.94,0.0,76.5,0.0,0.0,0.66,0.66,10763.4,5291.65,5.64,2.87,0.14,37.69,23.5,122.7,100.0,76.5
2014-09-30,5118.28,1709.32,22.11,0.41,760.4,5443.95,497.31,472.38,1196.88,990.47,206.41,87.92,118.49,118.49,1603.96,0.0,76.5,0.0,0.0,0.74,0.74,11559.23,5438.09,5.72,2.79,0.15,37.69,23.5,122.7,100.0,76.5
2014-12-31,5288.62,1850.39,19.34,0.45,777.19,5728.25,508.14,585.79,1113.81,956.25,157.56,54.77,102.79,102.79,1603.96,0.0,76.5,0.0,0.0,0.64,0.64,12140.22,6027.59,5.94,3.05,0.13,37.69,23.5,122.7,100.0,76.5
2015-03-31,5396.96,1963.95,7.39,43.78,1970.29,5751.82,565.34,576.05,2489.16,1717.9,771.26,225.32,545.94,545.94,1603.96,0.0,76.5,0.0,0.0,3.4,3.4,12684.97,5992.52,5.88,2.88,0.65,37.69,23.5,122.7,100.0,76.5
2015-06-30,5310.54,1651.58,7.41,291.75,642.09,5766.95,426.33,571.94,1138.15,878.7,259.45,124.27,135.18,135.18,1603.96,0.0,76.5,0.0,0.0,0.84,0.84,14112.18,6496.17,6.64,3.18,0.16,37.69,23.5,122.7,100.0,76.5
2015-09-30,5353.36,1373.76,11.37,331.37,843.78,5458.03,361.15,575.65,1518.81,1289.31,229.5,110.0,119.5,119.5,1603.96,0.0,76.5,0.0,0.0,0.75,0.75,14757.92,6476.83,6.92,3.16,0.14,37.69,23.5,122.7,100.0,76.5
2015-12-31,5066.74,1376.98,8.68,331.16,578.3,5228.02,467.69,548.41,1117.74,3722.67,-2604.93,-421.25,-2183.68,-2183.68,1900.05,0.0,80.16,0.0,0.0,-13.61,-13.61,19615.22,9612.8,8.94,4.6,-2.63,0.0,0.0,0.0,0.0,0.0
2016-03-31,4991.72,1571.99,32.6,331.74,1346.53,5500.81,458.35,720.05,1595.37,4450.15,-2854.78,-1118.97,-1735.81,-1735.81,2058.82,0.0,73.98,0.0,0.0,-9.06,-9.06,24875.07,14643.39,10.98,6.78,-1.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,5061.04,1659.61,20.17,562.39,916.22,5596.71,546.32,609.57,1466.83,2432.24,-965.41,-1206.51,241.1,241.1,2058.82,0.0,73.98,0.0,0.0,1.17,1.17,27275.15,16247.81,11.92,7.47,0.26,0.0,0.0,0.0,0.0,0.0
2016-09-30,5101.4,1568.03,17.27,306.1,1394.4,5387.01,687.09,773.46,1539.64,1349.09,190.55,135.03,55.52,55.52,2058.82,0.0,73.98,0.0,0.0,0.27,0.27,30133.96,18195.36,13.05,8.32,0.06,0.0,0.0,0.0,0.0,0.0
2016-12-31,4392.21,1844.51,13.83,302.51,551.15,5702.68,529.92,689.43,182.18,3205.52,-3023.34,-768.38,-2254.96,-2254.96,2058.82,0.0,73.98,0.0,0.0,-10.95,-10.95,35245.33,20949.11,15.16,9.61,-2.32,0.0,0.0,0.0,0.0,0.0
2017-03-31,4755.68,1793.54,158.91,278.47,1061.52,5353.31,472.15,832.86,1389.8,6209.58,-4819.78,-1620.02,-3199.76,-3199.76,2058.82,0.0,73.98,0.0,0.0,-15.54,-15.54,44752.59,25205.8,21.25,13.21,-3.36,0.0,0.0,0.0,0.0,0.0
2017-06-30,4067.96,1507.22,161.39,274.31,720.0,4608.98,504.29,740.53,877.08,2069.7,-1192.62,-339.61,-853.01,-853.01,2070.67,0.0,73.56,0.0,0.0,-4.14,-4.14,50173.2,29579.8,24.11,15.8,-1.0,0.0,0.0,0.0,0.0,0.0
