Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments
2004-03-31,12.08,12.08,280.58,280.58,0.0,292.66,569.31,196.2,0.0,0.0,765.51,44.9,18.22,117.28,12.19,192.6,1250.77,924.41,0.0,8.74,0.0,0.0,933.15,66.85,0.0,6.61,1006.6,52.74,42.67,52.39,96.37,0.0,244.17,1250.77,81.38,2.08,15.58,0.0,9.05,57.95,22.13,3.15,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,12.08,12.08,322.77,322.77,0.0,334.85,431.15,192.3,0.0,0.0,623.45,259.82,30.79,119.76,15.08,425.44,1383.74,982.9,0.0,1.87,0.0,0.0,984.77,79.62,0.0,4.38,1068.76,131.13,45.27,43.41,95.16,0.0,314.98,1383.74,4.79,34.7,25.48,0.0,9.05,127.44,22.13,1.59,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,12.08,12.08,381.1,381.1,0.0,393.18,418.9,195.8,0.0,0.0,614.7,183.54,35.89,148.26,44.55,412.24,1420.12,989.89,0.0,11.3,0.0,0.0,1001.19,88.67,0.0,3.18,1093.05,100.95,49.35,49.31,127.47,0.0,327.07,1420.12,58.61,84.18,68.24,0.0,9.05,168.47,22.13,2.82,0.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,12.08,12.08,654.28,654.28,0.0,666.36,505.02,225.8,0.0,0.0,730.82,172.31,71.18,172.62,150.72,566.82,1964.0,1080.53,0.0,178.44,0.0,0.0,1258.97,88.75,0.0,1.53,1349.25,128.24,65.34,56.57,364.6,0.0,614.75,1964.0,380.97,99.56,17.8,0.0,9.07,97.03,22.13,8.79,0.0,0.0,29.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11.9,11.9,941.95,941.95,0.0,953.85,1084.34,362.6,0.0,0.0,1446.94,551.3,108.56,182.2,110.75,952.81,3353.61,1906.14,0.0,576.48,0.0,0.0,2482.62,88.76,0.0,2.99,2574.37,242.7,61.61,22.94,451.98,0.0,779.24,3353.61,393.82,196.0,0.0,0.0,9.07,98.26,22.13,5.41,0.0,0.0,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,23.8,23.8,1236.4,1236.4,0.0,1260.19,2103.58,489.89,0.0,0.0,2593.47,359.87,111.13,224.22,105.03,800.25,4653.92,2999.68,0.0,635.37,0.0,0.0,3635.05,88.61,0.0,16.46,3740.12,328.89,89.8,38.61,456.5,0.0,913.79,4653.92,294.52,232.57,0.0,0.0,20.97,43.13,22.13,18.26,0.0,0.0,51.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,23.8,23.8,1534.36,1534.36,0.0,1558.15,2293.36,585.1,0.0,0.0,2878.46,273.14,164.82,261.65,119.78,819.39,5256.0,3692.52,0.0,317.7,0.0,0.0,4010.22,88.74,0.0,21.39,4120.35,412.54,155.51,35.6,532.01,0.0,1135.65,5256.0,748.26,177.84,4.66,0.0,20.95,114.19,22.13,44.32,0.0,0.0,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,23.8,23.8,1710.71,1710.71,0.0,1734.51,1642.83,589.0,287.48,12.39,2531.7,338.3,139.52,839.46,121.14,1438.42,5704.63,3741.54,51.41,539.08,6.57,0.0,4338.6,267.27,166.17,7.54,4779.58,392.28,175.13,40.01,317.63,0.0,925.05,5704.63,933.52,0.73,1.86,0.0,20.95,100.66,200.58,5.33,9.26,130.54,96.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,23.8,23.8,2026.58,2026.58,0.0,2050.38,1500.75,649.18,319.73,32.88,2502.54,613.19,93.93,671.97,126.23,1505.32,6058.24,4064.21,50.94,522.34,5.21,0.0,4642.7,266.47,110.14,3.16,5022.47,491.09,207.94,47.49,289.25,0.0,1035.77,6058.24,615.36,2.44,13.91,0.0,20.95,96.77,199.86,4.27,5.47,318.46,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,23.8,23.8,2346.96,2346.96,0.0,2370.76,1393.06,716.36,338.42,40.38,2488.22,588.08,143.08,734.35,146.89,1612.4,6471.38,4513.4,80.15,147.96,9.04,0.0,4750.55,265.77,201.74,1.49,5219.55,594.75,302.81,53.96,298.72,1.59,1251.83,6471.38,1231.12,9.04,27.48,0.0,20.95,115.75,199.15,3.12,7.77,497.35,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
