Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,999.46,6.23,1005.69,144.8,0.0,-14.79,204.36,51.39,74.92,299.77,245.24,2.21,247.45,50.74,196.71,0.0,196.71,63.82,132.89,0.0,0.0,132.89,23.8,6.0,6.0,13.73,58.0,9.71,96.0,40.0
2012-12-31,872.45,32.5,904.95,130.83,0.0,-12.42,198.87,48.59,69.47,304.37,165.24,1.82,167.06,42.85,124.21,0.0,124.21,40.15,84.06,0.0,-0.46,83.6,23.8,4.0,4.0,13.73,58.0,9.71,96.0,40.0
2013-03-31,927.23,30.31,957.54,156.96,0.0,-3.86,193.87,51.1,58.07,388.48,112.92,3.41,116.33,30.66,85.67,0.0,85.67,21.51,64.16,0.0,-0.01,64.15,23.8,3.0,3.0,13.73,58.0,9.71,96.0,40.0
2013-06-30,960.12,27.06,987.18,161.62,0.0,8.8,211.55,53.91,75.69,328.13,147.48,1.82,149.3,45.0,104.3,0.0,104.3,35.45,68.85,0.0,0.0,68.85,23.8,3.0,3.0,13.73,58.0,9.71,96.0,40.0
2013-09-30,905.03,15.68,920.71,167.62,0.0,13.97,216.14,53.82,76.68,335.47,57.01,2.2,59.21,47.25,11.96,0.0,11.96,-6.31,18.27,0.0,0.0,18.27,23.8,0.77,0.77,13.73,58.0,9.71,96.0,40.0
2013-12-31,842.62,25.58,868.2,161.0,0.0,-2.89,178.68,58.24,76.67,318.26,78.24,1.81,80.05,46.35,33.7,0.0,33.7,8.11,25.59,0.0,0.0,25.59,23.8,1.07,1.07,13.73,58.0,9.71,96.0,40.0
2014-03-31,924.35,60.74,985.09,179.62,0.0,-0.08,226.03,55.86,77.25,394.72,51.69,2.22,53.91,49.53,4.38,0.0,4.38,-20.61,24.99,0.0,0.0,24.99,23.8,1.0,1.0,13.73,58.0,9.71,96.0,40.0
2014-06-30,924.26,34.89,959.15,186.52,0.0,5.15,197.8,58.31,62.68,339.97,108.72,1.83,110.55,50.01,60.54,0.0,60.54,24.28,36.26,0.0,0.0,36.26,23.8,2.0,2.0,13.73,58.0,9.71,96.0,40.0
2014-09-30,922.08,29.35,951.43,139.82,0.0,-7.05,185.19,53.42,62.39,363.71,153.95,2.4,156.35,47.99,108.36,0.0,108.36,18.65,89.71,0.0,0.0,89.71,23.8,4.0,4.0,13.73,58.0,9.71,96.0,40.0
2014-12-31,786.11,29.82,815.93,117.76,0.0,8.91,157.24,56.73,62.64,345.39,67.26,1.84,69.1,48.49,20.61,0.0,20.61,-2.35,22.96,0.0,0.0,22.96,23.8,1.0,1.0,13.73,58.0,9.71,96.0,40.0
2015-03-31,961.42,35.7,997.12,128.35,0.0,-3.8,163.77,60.22,62.17,374.24,212.17,2.07,214.24,47.32,166.92,0.0,166.92,79.78,87.14,6.28,0.0,93.42,23.81,4.0,4.0,13.74,58.0,9.71,96.0,40.0
2015-06-30,904.09,43.33,947.42,166.56,0.0,16.46,145.73,62.28,66.73,302.64,187.02,1.82,188.84,49.29,139.55,0.0,139.55,40.31,99.24,0.0,0.0,99.24,23.81,4.0,4.0,13.74,58.0,9.71,96.0,40.0
2015-09-30,834.25,52.87,887.12,127.15,0.0,-15.28,135.77,68.35,67.1,276.61,227.42,2.45,229.87,45.61,184.26,0.0,184.26,42.08,142.18,0.0,0.0,142.18,23.81,6.0,6.0,0.0,0.0,0.0,0.0,0.0
