Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,124.4,124.4,950.54,950.54,0.0,1074.94,0.51,1438.66,661.11,0.0,0.0,2099.77,115.42,242.75,181.38,36.01,575.56,3750.78,2698.83,29.07,24.06,0.0,2751.96,238.09,0.0,15.52,3016.97,0.0,223.17,177.57,41.83,291.24,0.0,733.81,3750.78,83.58,51.24,0.0,382.2,12.34,0.0,238.09,0.0,0.0,0.0,137.64,0.0,0.69,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,124.4,124.4,942.73,942.73,0.0,1067.13,0.0,1387.04,594.84,0.0,0.0,1981.88,144.34,224.67,190.76,23.87,583.64,3632.65,2548.9,0.0,48.18,0.0,2597.08,184.79,0.0,0.0,2795.0,0.0,283.71,171.95,56.26,325.73,0.0,837.65,3632.65,130.74,65.32,0.46,514.64,18.59,0.0,184.79,0.0,0.0,0.0,258.93,0.0,0.9,13.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,124.4,124.4,913.78,913.78,0.0,1038.18,0.09,1437.68,586.39,0.0,0.0,2024.07,14.15,318.13,198.74,39.18,570.2,3632.54,2537.17,0.0,141.03,0.0,2678.2,172.39,0.0,0.0,2860.02,0.0,379.57,172.55,61.6,158.8,0.0,772.52,3632.54,685.42,61.79,0.72,490.25,12.53,0.0,172.39,0.0,0.0,0.0,229.5,0.0,13.61,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,124.49,124.49,1639.29,1639.29,0.0,1763.78,0.0,1557.72,572.22,0.0,0.0,2129.94,20.91,463.99,272.72,18.47,776.09,4669.81,2517.28,0.0,696.95,0.0,3214.23,483.45,0.0,0.0,3709.64,0.0,433.58,183.5,89.59,253.5,0.0,960.17,4669.81,1942.56,77.11,7.06,668.75,4.75,0.0,483.45,0.0,0.0,0.0,363.03,0.0,140.12,11.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,124.49,124.49,2571.73,2571.73,0.0,2696.22,0.77,1427.21,555.95,0.0,0.0,1983.16,313.29,776.79,376.22,125.55,1591.85,6272.0,2500.46,0.0,2283.15,0.0,4783.61,170.9,0.0,0.0,4968.11,0.0,609.76,216.61,100.69,376.83,0.0,1303.89,6272.0,645.17,80.66,0.0,503.78,17.28,0.0,170.9,0.0,0.0,0.0,464.12,0.0,353.51,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,124.49,124.49,3475.93,3475.93,0.0,3600.42,1.68,1839.74,739.67,0.0,0.0,2579.41,301.89,723.09,397.83,121.8,1544.61,7726.12,4628.97,6.72,677.28,0.0,5312.97,1034.8,0.0,0.0,6364.51,0.0,691.97,186.18,104.49,378.97,0.0,1361.61,7726.12,355.07,121.85,4.07,574.14,45.69,0.0,1034.8,0.0,0.0,0.0,648.39,0.0,75.18,16.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,124.49,124.49,4482.17,4482.17,0.0,4606.66,1.99,1558.35,854.52,0.0,0.0,2412.87,46.17,681.51,456.57,161.01,1345.26,8366.78,4930.88,10.8,259.37,0.0,5201.05,1669.55,0.0,0.0,6894.39,0.0,821.7,215.83,83.73,351.13,0.0,1472.39,8366.78,420.26,92.44,3.79,460.99,20.46,0.0,1669.55,0.0,0.0,0.0,459.68,0.0,32.25,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,274.04,274.04,10392.0,10392.0,0.0,10666.04,0.0,2314.66,1730.05,2.2,112.4,4159.31,320.4,1698.74,2688.96,461.08,5169.18,19994.53,11362.97,37.28,681.69,0.14,12082.08,272.53,561.75,0.0,12916.36,3457.79,1956.52,602.29,144.79,904.49,12.29,7078.17,19994.53,4220.47,97.41,14.89,389.37,24.68,0.0,272.53,0.0,3457.79,0.0,130.01,102.15,43.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,274.07,274.07,12585.75,12585.75,0.0,12859.82,0.0,3648.19,1737.77,3.53,120.57,5510.06,159.94,2089.7,1623.51,700.17,4573.32,22943.2,11597.24,36.94,1895.99,0.64,13530.81,1147.83,1462.42,0.0,16141.06,2640.94,2035.94,765.96,188.19,1163.58,7.53,6802.14,22943.2,5892.68,117.02,29.5,386.48,29.87,75.02,1071.37,15.21,2625.73,0.0,226.21,93.6,254.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,274.18,274.18,14960.64,14960.64,0.0,15234.82,0.0,3893.92,1905.92,1.81,134.02,5935.67,568.76,2173.14,2561.3,935.18,6238.38,27408.87,13074.0,48.36,3505.31,0.06,16627.73,1981.77,983.17,0.0,19592.67,3126.95,2350.47,1017.24,142.66,1173.22,5.66,7816.2,27408.87,5034.32,94.4,1.21,313.55,46.43,80.35,1905.31,0.0,3126.95,0.0,256.76,155.33,383.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
