Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,274.24,274.24,16823.27,16823.27,0.0,17097.51,0.0,4493.58,2295.83,2.3,137.94,6929.65,379.2,2424.22,2088.41,835.02,5726.85,29754.01,15780.92,90.92,2038.44,3.19,17913.47,1662.33,1180.54,0.0,20756.34,3729.34,2368.36,1281.02,277.5,1326.19,15.26,8997.67,29754.01,6374.7,115.79,1.36,287.44,52.28,75.26,1585.87,0.0,3729.34,0.0,428.57,120.43,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,274.4,274.4,18583.28,18583.28,0.0,18857.68,0.0,4613.75,2792.01,1.34,163.36,7570.46,1898.08,2738.97,3010.11,1139.65,8786.81,35214.95,20878.66,68.8,2068.85,4.84,23021.15,2685.77,1595.61,0.0,27302.53,2522.98,2751.41,1203.19,213.94,1204.91,15.99,7912.42,35214.95,7736.73,171.44,1.36,301.38,54.5,81.57,2609.31,26.18,2496.8,0.0,337.54,140.59,170.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,274.43,274.43,21357.4,21357.4,0.0,21631.83,0.0,2667.89,2431.99,7.98,252.73,5360.59,2338.75,1581.46,7216.08,161.86,11298.15,38290.57,22376.71,310.83,1414.48,1.08,24103.1,3433.2,65.89,952.93,28555.12,2359.98,2277.61,1414.89,2235.2,118.99,1328.78,9721.0,38290.57,4531.96,0.0,0.0,0.0,0.0,408.34,3024.86,10.36,2349.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,274.51,274.51,23666.5,23666.5,0.0,23941.01,0.0,4200.12,2773.56,37.27,270.73,7281.68,1015.84,1713.8,5169.33,159.43,8058.4,39281.09,22898.23,333.53,877.76,0.63,24110.15,2002.72,55.53,637.64,26806.04,5405.95,2224.99,1276.17,2217.74,123.95,1226.25,12468.35,39281.09,6180.58,0.0,0.0,0.0,0.0,605.9,1396.82,109.16,5296.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,274.61,274.61,25648.41,25648.41,0.0,25923.02,0.0,13878.36,3174.05,34.84,320.46,17407.71,2687.83,2343.53,5709.27,301.64,11042.27,54373.0,34218.98,2991.86,1472.97,0.91,38684.72,2214.19,34.25,2854.23,43787.39,3948.71,3101.5,1714.2,199.32,111.02,1510.86,10543.26,54373.0,13364.15,256.47,0.0,0.0,527.3,574.13,1640.06,0.0,3948.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,274.64,274.64,27611.36,27611.36,23.0,27909.0,0.65,16038.5,5246.52,6.27,142.71,21434.0,3586.82,2971.33,7399.5,581.94,14539.59,69270.95,40404.82,6231.93,1106.19,4.69,47747.63,5549.66,142.84,3152.87,56593.0,1514.85,3787.47,2353.19,656.47,1933.47,2432.5,12677.95,69270.95,10925.64,314.59,0.0,0.0,567.67,470.9,5078.76,57.54,1457.31,5387.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,288.63,288.63,37971.86,37971.86,35.83,38296.32,0.0,14147.63,4076.88,819.66,213.13,19257.3,3953.21,3250.85,6524.73,534.51,14263.3,71816.92,40670.33,6104.96,860.01,10.07,47645.37,5838.93,141.94,3439.16,57065.4,4243.69,3833.88,1848.28,310.52,1903.53,2611.62,14751.52,71816.92,10723.73,276.83,0.0,0.0,391.52,709.27,5129.66,75.96,4167.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,288.65,288.65,43020.37,43020.37,43.62,43352.64,0.0,10684.56,5219.14,1242.92,329.08,17475.7,4230.15,4380.18,10470.67,506.76,19587.76,80416.1,39380.38,6085.74,1522.07,5.72,46993.91,6757.67,144.35,3527.8,57423.73,10812.01,3722.05,2285.99,1876.55,897.18,3398.59,22992.37,80416.1,11085.77,4022.11,0.0,0.0,397.21,1147.87,5609.8,56.12,10755.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,288.67,288.67,48932.26,48932.26,49.71,49270.64,0.0,5303.0,5229.92,1099.74,585.84,12218.5,4588.11,5343.26,9009.57,231.65,19172.59,80661.73,39555.51,6021.4,4619.12,7.41,50203.44,6880.97,9.59,4575.94,61669.94,4843.54,5162.54,2706.82,259.86,2573.35,3445.68,18991.79,80661.73,8743.04,6303.72,0.0,0.0,376.88,573.58,6307.39,90.97,4752.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,288.69,288.69,52567.99,52567.99,80.18,52936.86,0.0,4534.67,5475.78,1109.36,596.2,11716.01,4215.67,6586.99,11263.78,181.68,22248.12,86900.99,43422.88,6019.26,3807.17,5.48,53254.79,7055.78,9.22,4716.56,65036.35,5803.46,6084.24,3242.17,1017.11,2536.32,3181.34,21864.64,86900.99,10741.65,9159.33,0.0,0.0,395.38,442.96,6612.82,534.69,5268.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,288.69,288.69,58684.58,58684.58,121.96,59095.23,0.01,4473.57,6425.02,1031.53,644.58,12574.7,3613.76,8115.97,12988.11,243.21,24961.05,96630.99,49487.83,10442.23,6736.18,28.41,66694.65,3754.33,8.31,5124.09,75581.38,5482.99,8035.82,3496.54,770.5,8.7,3255.06,21049.61,96630.99,12285.07,0.0,0.0,0.0,0.0,1487.48,2266.85,298.77,5184.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,294.68,294.68,69382.55,69382.55,0.0,69677.23,0.56,13859.72,8197.57,1016.07,705.57,23778.93,5599.93,7866.89,14086.67,330.06,27883.55,121340.27,68466.89,6998.4,5956.01,0.0,81421.3,13644.56,8.01,6339.62,101413.49,2857.99,8566.76,4377.82,799.92,9.7,3314.59,19926.78,121340.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
