Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,351.53,63.83,415.36,163.92,22.04,-2.74,42.92,19.15,54.89,0.0,107.81,7.37,63.3,70.67,107.04,-36.37,0.0,-36.37,-11.59,-24.78,-24.78,34.51,-1.4,-1.4,8.11,47.01,9.14,100.0,52.99
2013-03-31,368.82,66.21,435.03,147.05,18.72,27.13,23.21,18.54,70.78,0.0,115.02,14.58,11.13,25.71,185.39,-159.68,0.0,-159.68,-7.51,-152.17,-152.17,34.51,-8.8,-8.8,8.11,47.02,9.14,100.0,52.98
2013-06-30,389.59,66.05,455.64,146.64,20.19,-7.33,55.55,18.81,58.11,0.0,125.86,37.81,114.61,152.42,256.17,-103.75,0.0,-103.75,0.0,-103.75,-103.75,34.51,-6.0,-6.0,8.11,47.0,9.15,100.0,53.0
2013-09-30,457.95,84.53,542.48,174.67,22.78,-10.02,47.95,18.96,79.71,0.0,123.8,84.63,68.01,152.64,153.36,-0.72,18.0,17.28,0.0,17.28,17.28,34.51,1.0,1.0,8.12,47.03,9.14,100.0,52.97
2013-12-31,472.33,79.51,551.84,184.85,22.39,-5.92,56.56,19.28,49.45,0.0,144.42,80.81,14.26,95.07,177.21,-82.14,0.0,-82.14,0.0,-82.14,-82.14,34.51,-4.8,-4.8,8.12,47.05,9.14,100.0,52.95
2014-03-31,477.78,66.93,544.71,194.51,19.61,-14.44,49.62,19.17,52.85,0.0,187.33,36.06,-11.61,24.45,225.84,-201.39,0.0,-201.39,0.0,-201.39,-201.39,34.51,-11.6,-11.6,8.12,47.06,9.14,100.0,52.94
2014-06-30,464.22,57.21,521.43,183.54,24.12,-13.93,69.9,22.39,77.58,0.0,142.49,15.34,115.31,130.65,105.16,25.49,3036.08,3061.57,193.76,2867.81,2867.81,34.51,166.2,166.2,8.13,47.09,9.13,100.0,52.91
2014-09-30,501.67,50.17,551.84,175.4,12.86,9.37,51.52,21.98,51.94,0.0,129.84,98.93,58.23,157.16,57.07,100.09,-371.55,-271.46,58.0,-329.46,-329.46,34.51,-19.1,-19.1,8.13,47.1,9.13,100.0,52.9
2014-12-31,644.67,13.84,658.51,234.51,12.02,-24.76,63.79,25.34,0.0,0.0,211.11,136.5,84.66,221.16,62.37,158.79,-2391.08,-2232.29,6.01,-2238.3,-2238.3,34.51,-129.7,-129.7,8.13,47.14,9.12,100.0,52.86
2015-03-31,659.4,10.62,670.02,217.82,17.77,24.17,91.92,19.13,0.0,0.0,193.77,105.44,40.0,145.44,82.31,63.13,25.43,88.56,15.87,72.69,72.69,34.51,4.2,4.2,8.14,47.15,9.12,100.0,52.85
2015-06-30,688.16,6.66,694.82,234.99,16.27,-42.28,98.2,18.0,17.28,0.0,220.04,132.32,129.84,262.16,126.95,135.21,-2.6,132.61,-7.73,140.34,140.34,34.51,8.13,8.13,8.14,47.17,9.12,100.0,52.83
2015-09-30,778.41,5.69,784.1,190.41,24.39,-21.23,92.97,18.55,12.79,0.0,161.49,304.73,150.21,454.94,175.24,279.7,0.0,279.7,-11.11,290.81,290.81,34.51,16.86,16.86,0.0,0.0,0.0,0.0,0.0
2015-12-31,882.76,7.35,890.11,235.75,13.52,-7.08,84.02,19.86,18.85,0.0,188.28,336.91,153.02,489.93,211.05,278.88,0.0,278.88,7.21,271.67,271.67,34.51,15.74,15.74,0.0,0.0,0.0,0.0,0.0
2016-03-31,1045.01,0.0,1045.01,218.08,26.08,26.16,86.0,23.14,19.84,0.0,191.25,454.46,38.85,493.31,273.64,219.67,72.79,292.46,-0.42,292.88,292.88,34.51,16.97,16.97,0.0,0.0,0.0,0.0,0.0
2016-06-30,1031.67,0.0,1031.67,199.98,27.06,-15.78,88.92,23.05,0.0,0.0,190.57,517.87,127.66,645.53,343.03,302.5,0.0,302.5,44.85,257.65,257.65,34.51,14.93,14.93,0.0,0.0,0.0,0.0,0.0
2016-09-30,1195.85,16.75,1212.6,225.46,36.44,-40.5,94.89,22.32,11.01,0.0,163.78,699.2,227.82,927.02,409.34,517.68,0.0,517.68,70.1,447.58,447.58,34.51,25.94,25.94,0.0,0.0,0.0,0.0,0.0
2016-12-31,609.2,0.0,609.2,178.18,34.3,-12.75,92.5,24.48,9.57,0.0,115.97,166.95,131.56,298.51,221.81,76.7,0.0,76.7,16.54,60.16,60.16,34.51,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2017-03-31,923.94,0.0,923.94,198.85,29.75,88.09,94.32,24.64,31.85,0.0,279.69,176.75,50.46,227.21,204.16,23.05,0.0,23.05,11.66,11.39,11.39,34.51,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2017-06-30,612.31,0.0,612.31,194.21,21.21,-47.81,104.34,24.92,0.0,0.0,203.42,112.02,173.26,285.28,220.63,64.65,0.0,64.65,23.0,41.65,41.65,34.51,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2017-09-30,802.25,0.0,802.25,197.12,24.44,5.11,103.69,25.77,0.0,0.0,157.71,288.41,177.9,466.31,242.39,223.92,0.0,223.92,73.26,150.66,150.66,34.51,8.73,8.73,0.0,0.0,0.0,0.0,0.0
2017-12-31,871.06,0.0,871.06,216.3,31.04,-50.78,107.86,29.76,0.0,0.0,219.12,317.76,26.73,344.49,250.94,93.55,0.0,93.55,12.5,81.05,81.05,34.56,4.35,4.35,0.0,0.0,0.0,0.0,0.0
2018-03-31,1003.01,0.0,1003.01,202.1,24.04,68.64,126.83,31.13,0.0,0.0,165.25,385.02,261.9,646.92,275.59,371.33,0.0,371.33,126.22,245.11,245.11,36.05,12.66,12.64,0.0,0.0,0.0,0.0,0.0
2018-06-30,863.5,0.0,863.5,172.73,21.88,6.85,105.36,31.84,0.0,0.0,183.59,341.25,186.84,528.09,296.91,231.18,-1287.96,-1056.78,33.79,-1090.57,-1090.57,36.12,-54.91,-54.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,904.94,0.0,904.94,207.71,19.26,-48.29,104.64,32.84,0.0,0.0,106.1,482.68,293.59,776.27,331.64,444.63,0.0,444.63,86.37,358.26,358.26,36.2,18.04,17.96,0.0,0.0,0.0,0.0,0.0
2018-12-31,890.35,0.0,890.35,193.33,28.14,-41.39,110.12,33.13,0.0,0.0,184.26,382.76,-63.72,319.04,417.3,-98.26,0.0,-98.26,-30.79,-67.47,-67.47,36.68,-3.4,-3.4,0.0,0.0,0.0,0.0,0.0
