Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,38.0,53.0,352.96,352.96,0.0,405.96,0.0,287.39,0.0,0.0,341.95,49.58,155.47,31.67,79.65,316.37,1102.65,303.81,183.39,42.86,0.0,0.0,530.06,25.0,17.53,0.0,0.0,572.59,0.0,195.59,172.85,15.47,146.15,0.0,530.06,1102.65,138.36,13.27,0.0,97.15,3.68,7.82,6.51,21.76,0.0,0.0,115.17,0.0,13.22,54.56,15.0,0.0,0.0,38.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,38.0,91.37,454.3,454.3,0.0,545.67,0.0,177.55,0.0,0.0,254.41,176.56,202.68,23.43,79.43,482.1,1282.18,329.02,253.73,105.18,0.0,0.0,687.93,25.83,18.33,0.0,0.0,732.09,0.0,274.67,140.9,7.49,127.03,0.0,550.09,1282.18,311.65,91.98,0.0,126.32,95.57,7.82,10.05,22.59,0.0,0.0,127.38,0.0,23.41,76.86,53.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,41.8,95.17,874.29,874.29,0.0,969.46,0.0,98.15,0.0,0.0,184.0,95.1,185.61,22.66,84.66,388.03,1541.49,400.07,275.17,175.45,0.0,0.0,850.69,78.94,15.3,0.0,0.0,944.93,0.0,214.75,174.75,10.92,196.14,0.0,596.56,1541.49,484.12,28.97,0.0,220.15,4.5,7.82,13.95,56.59,0.0,0.0,149.66,0.0,24.98,85.85,53.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,41.8,80.17,976.22,976.22,0.0,1056.39,0.0,239.12,0.0,0.0,342.48,157.09,199.83,33.04,24.82,414.78,1813.65,595.64,274.51,45.97,0.0,0.0,916.12,126.5,16.21,0.0,0.0,1058.83,0.0,226.48,229.88,22.05,276.41,0.0,754.82,1813.65,885.17,31.87,0.0,285.57,3.0,7.82,13.6,104.15,0.0,0.0,194.74,0.0,23.4,103.36,38.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,41.8,41.8,974.67,974.67,0.0,1016.47,0.0,353.12,0.0,0.0,456.31,151.17,247.7,33.78,118.95,551.6,2024.38,538.92,269.31,47.82,0.0,0.0,856.05,128.26,16.95,0.0,0.0,1001.26,0.0,252.49,302.92,34.07,433.64,0.0,1023.12,2024.38,879.85,12.95,0.0,453.65,12.0,7.82,7.09,105.91,0.0,0.0,217.97,0.0,16.21,103.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,41.8,41.8,1147.22,1147.22,0.0,1189.02,0.0,878.85,0.0,0.0,996.87,98.01,277.53,49.65,117.23,542.42,2728.31,588.83,429.89,46.33,0.0,0.0,1065.05,129.98,21.05,0.0,0.0,1216.08,0.0,288.0,361.88,17.47,842.88,2.0,1512.23,2728.31,1156.66,14.1,0.0,568.41,9.37,7.82,23.52,103.11,0.0,0.0,246.51,0.0,13.89,118.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,41.8,41.8,1458.83,1458.83,0.0,1500.63,0.0,604.43,0.0,0.0,734.91,56.53,303.51,57.81,153.82,571.67,2807.21,517.5,556.39,50.56,0.0,0.0,1124.45,192.65,25.63,0.0,0.0,1342.73,0.0,285.47,273.07,15.64,890.3,0.0,1464.48,2807.21,1670.48,13.48,0.0,367.97,14.65,7.82,61.63,165.78,0.0,0.0,157.16,0.0,9.29,130.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,33.58,33.58,11664.93,11664.93,0.0,11698.51,0.0,239.2,188.98,15.51,536.02,47.07,276.13,347.34,240.44,910.98,13145.51,533.16,133.13,29.25,0.59,0.0,696.13,482.53,0.0,59.85,5785.46,7023.97,1100.72,230.2,209.09,1754.03,916.93,1910.57,6121.54,13145.51,1484.51,37.64,3.03,428.63,34.76,7.81,48.69,477.98,0.0,1100.72,182.36,22.15,7.65,92.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,34.51,34.51,11106.27,11106.27,0.0,11140.78,0.0,216.67,132.84,19.97,470.01,975.45,312.61,485.6,359.95,2133.61,13744.4,631.9,128.52,23.03,143.48,0.0,926.93,6763.6,0.0,117.03,4125.58,11933.14,346.69,266.71,242.48,13.24,857.96,84.18,1811.26,13744.4,1943.37,51.67,5.01,651.53,53.04,7.82,3.9,6759.05,0.0,346.69,228.5,27.89,28.74,100.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,34.51,34.51,10521.4,10521.4,0.0,10555.91,0.0,733.33,76.31,19.85,829.49,3729.26,331.63,532.63,363.48,4957.0,16342.4,654.17,119.13,45.44,120.49,0.0,939.23,8821.28,0.0,432.3,2173.71,12366.52,801.82,261.71,243.03,24.24,1410.67,1234.41,3975.88,16342.4,0.0,59.7,7.58,798.71,90.36,7.82,11.72,8816.73,0.0,801.82,311.64,27.14,27.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,34.51,34.51,9092.57,9092.57,0.0,9127.08,0.0,653.34,23.42,52.94,729.7,5159.78,383.82,443.96,1071.95,7059.51,16916.29,657.8,122.46,17.93,144.36,0.0,942.55,11484.87,0.0,577.81,157.24,13162.47,101.29,300.49,256.27,31.85,2277.72,786.2,3753.82,16916.29,6116.17,72.18,7.58,968.66,83.0,7.82,11.83,11480.32,0.0,101.29,332.61,27.64,60.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,34.51,34.51,11412.33,11412.33,0.0,11446.84,0.0,1195.01,0.71,96.79,1292.51,2608.3,272.69,310.47,501.77,3693.23,16432.58,662.04,94.05,56.97,4.44,0.0,817.5,9294.75,0.0,1048.19,177.01,11337.45,927.93,321.08,327.59,40.39,3427.99,50.15,5095.13,16432.58,5417.99,113.91,22.73,1000.85,200.14,7.82,4433.96,6301.78,29.38,898.55,359.74,31.54,46.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,34.51,34.51,12142.09,12142.09,0.0,12176.6,0.0,5640.35,5.6,259.38,5905.33,6761.06,295.85,1521.81,60.13,8638.85,26720.78,701.36,259.15,91.76,11.12,0.0,1063.39,16522.11,0.0,5244.15,392.04,23221.69,626.96,375.15,340.13,39.48,1999.53,117.84,3499.09,26720.78,6017.42,73.14,16.29,1136.15,307.39,7.82,4037.76,13271.96,105.55,521.41,388.09,9.91,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.51,34.51,14388.09,14388.09,0.0,14422.6,0.0,2739.52,5.65,30.86,2776.03,5020.12,533.36,2680.45,42.16,8276.09,25474.72,712.52,362.28,575.21,26.65,0.0,1676.66,15607.64,349.95,3635.83,311.47,21581.55,1666.57,343.11,491.43,124.07,1045.24,222.75,3893.17,25474.72,994.11,0.0,0.0,0.0,0.0,7.82,4603.68,11106.43,168.53,1522.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,36.05,36.05,21300.8,21300.8,0.0,21336.85,0.0,4011.56,3.54,28.02,4043.12,7979.17,543.57,2783.97,45.46,11352.17,36732.14,1381.79,425.4,77.18,34.53,0.0,1918.9,20867.45,269.38,8393.58,348.5,31797.81,2863.13,382.58,492.96,554.82,248.97,391.87,4934.33,36732.14,0.0,429.75,0.0,0.0,1511.0,7.82,5323.74,15630.84,1164.59,1712.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,36.89,36.89,19488.35,19488.35,0.0,19525.24,0.0,4619.83,125.9,36.66,4782.39,6616.19,564.8,6473.54,43.51,13698.04,38005.67,1435.43,388.2,45.91,52.04,0.0,1921.58,22049.36,292.59,10333.38,498.85,35095.76,969.32,366.67,619.06,65.08,265.6,624.18,2909.91,38005.67,947.39,488.88,0.0,0.0,1520.04,7.82,4121.1,19313.34,761.41,214.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,45.11,45.11,21055.52,21055.52,0.0,21100.63,1527.35,2389.78,164.65,47.24,2601.67,4061.75,617.82,4520.48,46.17,9246.22,34475.87,1431.72,357.54,62.8,56.63,0.0,1908.69,18452.21,34.88,10869.25,479.95,31744.98,986.71,423.56,657.1,78.74,80.12,504.66,2730.89,34475.87,886.89,112.32,0.0,0.0,1770.59,7.82,646.25,19429.12,650.37,351.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,45.11,45.11,21611.28,21611.28,0.0,21656.39,1527.35,3386.21,95.84,20.29,3502.34,2475.46,437.41,1083.46,15.67,4012.0,30698.08,86.83,4.37,1.31,0.0,1297.63,1390.14,19000.75,121.36,6553.69,498.2,27564.14,824.54,102.04,155.08,966.11,307.0,779.17,3133.94,30698.08,610.22,13.7,0.0,0.0,111.62,7.82,1725.33,18801.22,804.61,19.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,47.73,47.73,23073.8,23073.8,0.0,23121.53,0.0,3749.07,40.74,20.87,3810.68,2098.06,565.2,266.98,16.7,2946.94,29879.15,78.34,3.47,3.46,0.0,1335.31,1420.58,19508.94,119.69,5195.74,501.06,26746.01,1117.25,212.55,145.77,1078.42,414.24,164.91,3133.14,29879.15,735.47,30.15,0.0,0.0,112.53,7.82,1436.48,19666.52,1117.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,47.73,47.73,23986.71,23986.71,0.02,24034.46,0.0,4392.59,129.8,56.26,4578.65,4322.67,99.25,69.0,0.0,4490.92,33104.03,22.65,7.38,0.0,2.72,1335.31,1368.06,0.0,415.8,0.0,789.05,2572.91,17435.64,0.0,0.0,1881.5,8758.34,2455.64,30531.12,33104.03,1984.67,1.69,0.0,0.0,5.84,7.82,0.0,0.0,0.0,9911.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,44.93,44.93,21546.63,21546.63,0.0,21591.56,0.0,3729.69,150.73,40.68,3921.1,4141.35,73.77,77.94,0.0,4293.06,29805.72,50.55,11.04,0.0,9.5,675.0,746.09,0.0,336.33,0.0,653.65,1736.07,14349.56,0.0,0.0,1359.19,10454.87,1906.03,28069.65,29805.72,4703.18,4.14,0.0,0.0,0.0,7.82,0.0,0.0,0.0,13837.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,45.1,45.1,21922.89,21922.89,0.0,21967.99,0.0,0.0,156.21,34.66,190.87,8362.47,37.26,161.11,0.0,8560.84,30719.7,764.07,14.11,0.0,0.0,0.0,778.18,0.0,183.39,0.0,554.37,1515.94,16479.67,0.0,0.0,1302.94,9617.05,1804.1,29203.76,30719.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
