Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2152.64,8.48,2161.12,972.3,26.78,-34.64,175.0,83.53,13.09,519.54,405.52,12.64,418.16,9.91,408.25,0.0,408.25,129.32,278.93,278.93,96.42,0.0,28.93,28.93,3.59,37.24,6.05,100.0,62.76
2013-03-31,2248.08,7.27,2255.35,968.21,25.32,22.24,170.99,82.12,11.57,528.72,446.18,12.73,458.91,28.67,430.24,0.0,430.24,151.15,279.09,279.09,96.42,0.0,28.95,28.95,3.59,37.24,6.05,100.0,62.76
2013-06-30,2213.21,9.5,2222.71,912.79,28.75,58.87,189.82,88.66,10.92,534.99,397.91,15.4,413.31,8.51,404.8,0.0,404.8,133.42,271.38,271.38,96.42,0.0,28.14,28.14,3.59,37.24,6.05,100.0,62.76
2013-09-30,2348.31,11.71,2360.02,982.26,26.63,47.92,194.93,83.49,10.55,604.37,409.87,23.06,432.93,9.96,422.97,3.64,426.61,141.61,285.0,285.0,96.42,0.0,29.56,29.56,3.59,37.24,6.05,100.0,62.76
2013-12-31,2252.3,10.67,2262.97,1043.73,29.34,-23.71,185.76,75.68,8.27,559.49,384.41,31.9,416.31,10.11,406.2,10.17,416.37,134.71,281.66,281.66,96.42,0.0,29.22,29.22,3.59,37.24,6.05,100.0,62.76
2014-03-31,2313.46,8.05,2321.51,1150.12,30.16,-109.62,167.48,83.92,8.92,573.24,417.29,30.93,448.22,10.26,437.96,-41.42,396.54,137.38,259.16,259.16,96.42,0.0,26.88,26.88,3.59,37.24,6.05,100.0,62.76
2014-06-30,2418.91,13.06,2431.97,1123.47,32.85,-5.43,191.85,84.18,9.39,572.6,423.06,23.12,446.18,3.77,442.41,-16.38,426.03,138.17,287.86,287.86,96.42,0.0,29.86,29.86,3.59,37.24,6.05,100.0,62.76
2014-09-30,2557.8,12.62,2570.42,1084.16,24.67,71.4,191.27,84.62,9.01,642.35,462.94,15.54,478.48,0.2,478.28,-16.23,462.05,150.76,311.29,311.29,96.42,0.0,32.28,32.28,3.59,37.24,6.05,100.0,62.76
2014-12-31,2516.1,14.84,2530.94,1124.79,21.17,-23.78,204.31,84.82,9.11,645.52,465.0,17.73,482.73,0.0,482.73,7.0,489.73,163.35,326.38,326.38,96.42,0.0,33.85,33.85,3.59,37.24,6.05,100.0,62.76
2015-03-31,2506.79,9.69,2516.48,1110.5,25.87,-73.8,201.28,95.01,8.61,684.51,464.5,25.47,489.97,3.41,486.56,0.0,486.56,166.28,320.28,320.28,96.42,0.0,33.22,33.22,3.59,37.24,6.05,100.0,62.76
2015-06-30,1933.84,23.17,1957.01,718.8,28.51,108.03,188.0,72.0,7.81,511.23,322.63,30.13,352.76,0.06,352.7,-471.26,-118.56,-54.16,-64.4,-64.4,96.42,0.0,-6.68,-6.68,3.59,37.24,6.05,100.0,62.76
2015-09-30,1736.2,6.16,1742.36,660.5,20.67,61.68,210.85,90.55,7.73,493.0,197.38,27.22,224.6,0.02,224.58,-45.04,179.54,55.34,124.2,124.2,96.42,0.0,12.88,12.88,3.59,37.24,60.15,100.0,62.76
2015-12-31,1946.44,13.02,1959.46,869.07,23.02,-83.94,224.74,89.7,9.16,529.7,298.01,27.27,325.28,-0.2,325.48,-59.39,266.09,82.9,183.19,183.19,96.42,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2276.99,6.73,2283.72,965.42,28.92,-7.15,212.56,89.13,46.36,524.94,423.54,35.32,458.86,25.92,432.94,20.18,453.12,165.8,287.32,287.32,96.42,0.0,29.8,29.8,0.0,0.0,0.0,0.0,0.0
2016-06-30,2256.09,15.6,2271.69,911.03,22.17,16.34,240.72,88.94,11.36,601.6,379.53,36.61,416.14,0.06,416.08,-71.61,344.47,113.63,230.84,230.84,96.42,0.0,23.94,23.94,0.0,0.0,0.0,0.0,0.0
2016-09-30,2346.18,17.31,2363.49,903.47,29.79,52.7,248.52,88.23,9.52,644.34,386.92,37.39,424.31,0.06,424.25,-27.58,396.67,127.28,269.39,269.39,96.42,0.0,27.94,27.94,0.0,0.0,0.0,0.0,0.0
2016-12-31,2261.28,24.88,2286.16,995.17,34.5,-70.57,269.97,87.32,9.13,601.64,359.0,40.54,399.54,-0.45,399.99,-119.98,280.01,112.7,167.31,167.31,96.42,0.0,17.36,17.36,0.0,0.0,0.0,0.0,0.0
2017-03-31,2475.68,16.2,2491.88,1134.41,38.83,-79.36,246.11,86.66,9.81,624.69,430.73,0.0,430.73,-18.8,449.53,0.0,449.53,142.77,306.76,306.76,96.42,0.0,31.82,31.82,0.0,0.0,0.0,0.0,0.0
2017-06-30,2386.54,15.67,2402.21,987.6,34.92,56.54,253.13,85.44,-3.05,611.4,376.23,0.0,376.23,-18.34,394.57,0.0,394.57,131.14,263.43,263.43,96.42,0.0,27.32,27.32,0.0,0.0,0.0,0.0,0.0
2017-09-30,2500.67,13.38,2514.05,1010.69,43.66,30.31,257.48,86.39,-0.09,588.0,497.61,0.0,497.61,-20.18,517.79,0.0,517.79,174.62,343.17,343.17,96.42,0.0,35.59,35.59,0.0,0.0,0.0,0.0,0.0
2017-12-31,2589.64,11.82,2601.46,1098.96,57.35,-87.05,260.73,83.76,31.69,706.31,449.71,51.09,500.8,23.39,477.41,0.0,477.41,165.58,311.83,311.83,96.42,0.0,32.34,32.34,0.0,0.0,0.0,0.0,0.0
2018-03-31,2736.84,20.4,2757.24,1116.06,51.23,-39.6,268.99,82.53,15.06,648.65,614.32,56.43,670.75,31.07,639.68,0.0,639.68,215.65,424.03,424.03,96.42,0.0,43.98,43.98,0.0,0.0,0.0,0.0,0.0
2018-06-30,2678.57,19.83,2698.4,968.73,51.43,68.83,284.88,81.71,15.57,663.92,563.33,60.23,623.56,28.25,595.31,0.0,595.31,200.28,395.03,395.03,96.42,0.0,40.97,40.97,0.0,0.0,0.0,0.0,0.0
2018-09-30,2921.99,17.37,2939.36,1080.03,66.83,37.26,290.39,93.01,16.82,722.83,632.19,67.03,699.22,27.46,671.76,0.0,671.76,225.65,446.11,446.11,96.42,0.0,46.27,46.27,0.0,0.0,0.0,0.0,0.0
