Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Deferred Tax Assets [Net],Current Investments,Money Received Against Share Warrants,Equity Share Application Money,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,1352.05,1631.08,-131.9,-131.9,1499.18,4274.11,0.0,0.0,0.0,4274.11,512.92,714.61,164.36,18.4,1410.29,7183.58,5194.75,0.0,51.18,0.0,5245.93,229.57,0.0,409.28,6178.78,287.91,406.71,78.16,232.02,0.0,1004.8,7183.58,366.77,806.84,0.0,5.11,52.53,0.0,137.31,0.0,0.0,229.57,0.0,279.03,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,190.1,469.13,2680.59,2680.59,3149.72,3465.59,305.49,0.0,0.0,3771.08,370.82,1157.97,217.98,232.31,1979.08,8899.88,6076.39,0.0,349.3,0.0,6425.69,229.57,0.0,350.62,7005.88,743.41,266.6,122.49,761.5,0.0,1894.0,8899.88,1432.25,1914.44,0.0,70.59,183.93,1.85,2873.16,0.0,0.0,229.57,0.0,279.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,218.03,497.06,3859.16,3859.16,4356.22,3665.19,742.03,0.0,0.0,4407.22,430.86,1640.11,286.75,393.26,2750.98,11514.42,6508.05,9.93,1861.9,0.0,8379.88,85.08,0.0,304.05,8769.01,924.23,229.19,98.87,979.42,513.7,2745.41,11514.42,1835.96,2085.38,0.0,254.02,150.01,12.9,2049.48,0.0,0.0,85.08,0.0,279.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,225.01,504.04,5068.25,5068.25,5572.29,3899.23,1130.09,0.0,0.0,5029.32,273.8,1987.41,223.1,75.22,2559.53,13182.9,8176.47,12.63,2002.93,0.0,10192.03,192.94,0.0,194.87,10697.27,1011.35,245.16,337.8,549.28,342.04,2485.63,13182.9,5362.37,2721.11,0.0,384.33,286.54,20.06,3316.33,0.0,17.06,175.88,0.0,279.03,117.43,0.0,0.0,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,248.08,537.01,7140.24,7140.24,7677.25,7178.77,1388.33,0.0,0.0,8567.1,367.76,3290.7,375.66,436.01,4470.13,20714.48,10941.98,13.51,5612.43,0.0,16567.92,923.53,0.0,0.0,17627.94,1549.16,337.39,339.22,842.15,18.62,3086.54,20714.48,11145.95,3273.23,0.0,1011.44,422.5,0.0,3158.45,140.21,215.75,707.78,0.0,288.93,136.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,248.08,537.01,7422.24,7422.24,7959.25,10007.82,1639.06,0.0,0.0,11646.88,1264.81,6937.52,538.76,80.93,8822.02,28428.15,13066.57,19.87,9242.06,0.0,22328.5,1250.11,0.0,0.0,23796.51,2051.42,398.14,419.96,1744.88,17.24,4631.64,28428.15,8170.64,6214.75,0.0,1604.0,474.88,20.71,4113.15,81.55,2.75,1252.86,0.0,288.93,217.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,248.08,527.11,9179.23,9179.23,9706.34,11526.82,2057.61,0.0,0.0,13584.43,58.28,6703.33,654.34,264.22,7680.17,30970.94,16834.89,31.25,6684.27,0.0,23550.41,1768.35,0.0,0.0,25411.42,2585.77,563.25,287.11,2123.39,0.0,5559.52,30970.94,6990.48,6577.28,0.0,1935.85,384.61,3.53,2683.78,88.24,872.21,1647.45,0.0,279.03,92.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,284.15,563.18,16132.71,16132.71,17225.27,8867.9,2317.04,449.9,21.82,11656.66,1879.43,6009.82,4428.42,358.78,12676.45,41558.38,21089.11,13.04,5689.94,18.12,26810.21,3831.81,1982.01,0.08,32624.11,4138.41,838.65,1886.8,1803.41,0.0,8934.27,41558.38,26724.17,8874.48,278.44,1482.99,459.83,13.52,3328.25,84.43,2992.83,1553.91,267.0,279.03,0.0,267.0,529.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,284.15,563.18,17934.31,17934.31,18497.49,11528.09,3012.09,82.72,32.9,14655.8,774.13,9184.45,7182.52,226.92,17368.02,50521.31,27071.69,18.89,2476.77,27.04,29594.39,4212.2,2651.44,1.58,36459.61,5179.08,1284.62,2956.02,4440.76,0.0,14061.7,50521.31,28643.87,12397.05,372.39,975.53,631.61,17.41,5375.22,121.2,1960.52,1734.19,201.22,279.03,0.0,201.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,284.15,563.18,19374.19,19374.19,19937.37,15434.26,3450.23,194.06,39.51,19118.06,1109.53,9274.36,4873.98,302.05,15559.92,54615.35,27604.47,34.32,5033.97,40.57,32713.33,4495.61,3083.99,0.08,40293.01,4799.1,1862.2,1401.79,6118.8,0.0,14322.34,54615.35,22749.93,10401.09,467.1,1721.39,372.39,10.59,6969.35,197.95,1456.07,2017.6,140.45,279.03,0.0,140.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
