Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Deferred Tax Assets [Net],Current Investments,Money Received Against Share Warrants,Equity Share Application Money,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,302.75,1067.19,23216.99,23216.99,24284.18,21054.32,1908.51,466.4,40.67,23469.9,3920.66,9991.25,6415.97,343.72,20671.6,68425.68,37225.12,69.96,6789.66,67.81,44152.55,4312.85,4961.47,0.0,53426.87,6196.57,2218.74,465.72,6050.08,0.0,14998.81,68425.68,17505.51,14258.38,401.41,1524.87,1119.45,14.19,8056.45,226.5,585.86,4074.38,67.7,764.44,0.0,67.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,302.75,1067.19,24657.41,24657.41,25724.6,25496.89,2966.59,236.1,56.78,28756.36,264.34,12515.39,7278.11,353.6,20411.44,74892.4,38497.56,71.83,7593.85,196.01,46359.25,4197.28,5311.91,0.0,55868.44,8584.74,2026.83,1795.06,6617.33,0.0,19023.96,74892.4,14565.31,14517.74,643.33,2133.89,1009.56,14.52,7881.73,211.86,1090.37,3976.67,0.0,764.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,300.9,939.68,20109.35,20109.35,21049.03,29506.03,0.0,136.51,1017.42,30659.96,2069.9,11011.32,8611.87,105.67,21798.76,73507.75,46498.11,61.82,6203.54,235.78,52999.25,4764.03,241.75,1559.59,60044.16,6741.74,2510.71,598.54,1325.31,2287.29,13463.59,73507.75,12341.65,8609.76,583.43,1531.72,872.4,8.64,2485.17,212.8,636.2,4127.83,0.0,638.78,479.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,301.0,301.0,23797.0,23797.0,24098.0,28358.0,1329.0,972.0,74.0,30733.0,4875.0,11604.0,9517.0,132.0,26128.0,80959.0,50215.0,51.0,2745.0,282.0,53293.0,4750.0,2771.0,2347.0,63161.0,9270.0,3948.0,1027.0,121.0,3132.0,17798.0,80959.0,14927.0,0.0,0.0,0.0,17595.0,0.0,10149.0,0.0,0.0,978.0,300.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,302.0,302.0,27605.0,27605.0,27907.0,29551.0,2071.0,702.0,115.0,32439.0,2172.0,13988.0,8934.0,111.0,25205.0,85551.0,49503.0,65.0,3071.0,321.0,52960.0,4878.0,5165.0,3295.0,66298.0,10082.0,4692.0,601.0,158.0,3720.0,19253.0,85551.0,20744.0,0.0,0.0,0.0,22617.0,0.0,10938.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,301.0,532.0,34592.0,34592.0,35124.0,27435.0,3331.0,5113.0,235.0,36114.0,5371.0,13128.0,17635.0,53.0,36187.0,107425.0,51600.0,172.0,10099.0,344.0,62215.0,5397.0,7675.0,3740.0,79027.0,10815.0,6770.0,5813.0,136.0,4864.0,28398.0,107425.0,28317.0,21937.0,1321.0,3121.0,1636.0,0.0,7604.0,0.0,619.0,798.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,301.0,301.0,38061.0,38061.0,38362.0,39247.0,1315.0,7202.0,322.0,48086.0,6813.0,13354.0,15363.0,64.0,35594.0,122042.0,50219.0,323.0,23810.0,331.0,74683.0,5999.0,8705.0,3280.0,92667.0,9623.0,3166.0,11401.0,321.0,4864.0,29375.0,122042.0,37064.0,15444.0,872.0,4382.0,1981.0,0.0,9580.0,97.0,364.0,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,302.0,302.0,46675.0,46675.0,46977.0,39551.0,3095.0,5816.0,753.0,49215.0,1285.0,12150.0,23362.0,243.0,37040.0,133232.0,50328.0,1614.0,28914.0,128.0,80984.0,12458.0,5382.0,4705.0,103529.0,10692.0,3333.0,11746.0,733.0,3199.0,29703.0,133232.0,51081.0,12975.0,564.0,1734.0,1741.0,0.0,14205.0,122.0,750.0,5032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,301.0,301.0,63200.0,63200.0,63501.0,41176.0,6935.0,3832.0,1292.0,53235.0,9259.0,24328.0,12320.0,227.0,46134.0,162870.0,69767.0,1879.0,12459.0,140.0,84245.0,18028.0,5763.0,7349.0,115385.0,21028.0,6146.0,15527.0,265.0,4519.0,47485.0,162870.0,31640.0,30208.0,967.0,713.0,3149.0,0.0,23238.0,305.0,2580.0,1926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,301.0,301.0,63358.0,63358.0,63659.0,48346.0,7460.0,2791.0,1250.0,59847.0,6825.0,30705.0,11570.0,235.0,49335.0,172841.0,73255.0,1801.0,10271.0,235.0,85562.0,24320.0,5346.0,8469.0,123697.0,19517.0,6000.0,18716.0,93.0,4818.0,49144.0,172841.0,31652.0,45849.0,1296.0,1057.0,3026.0,0.0,10731.0,596.0,2056.0,5048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,305.0,305.0,74978.0,74978.0,75283.0,47241.0,9320.0,2852.0,1288.0,60701.0,11582.0,12742.0,24754.0,376.0,49454.0,185438.0,77243.0,2343.0,10504.0,352.0,90442.0,30141.0,11501.0,10260.0,142344.0,23234.0,6498.0,8129.0,4.0,5229.0,43094.0,185438.0,24280.0,42589.0,1273.0,1156.0,4228.0,0.0,14720.0,467.0,4515.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
