Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2015-03-31,99.68,99.68,1818.57,1818.57,0.0,1918.25,5.48,0.0,1.42,4.55,11.45,1885.98,62.48,650.8,50.35,2649.61,4579.31,8.82,30.34,82.78,0.1,0.0,122.04,557.67,4.05,158.08,22.83,864.67,0.0,1038.94,90.09,356.5,2046.32,182.79,3714.64,4579.31,409.5,4.53,54.24,0.03,557.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,108.13,108.13,1993.25,1993.25,0.0,2101.38,0.0,2.83,0.0,5.43,8.26,2628.73,70.28,381.1,1.18,3081.29,5190.93,80.48,28.57,15.49,0.32,0.0,124.86,761.95,0.0,191.65,31.1,1109.56,0.0,1228.05,67.26,230.36,2331.41,224.29,4081.37,5190.93,146.17,4.76,54.24,0.02,761.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,108.18,108.18,1881.81,1881.81,0.0,1989.99,0.0,0.0,0.0,6.46,6.46,3505.66,149.26,456.2,0.33,4111.45,6107.9,76.97,27.0,0.01,0.03,0.0,104.01,481.42,94.96,76.42,125.11,881.92,285.21,1942.75,147.39,74.9,2039.35,736.38,5225.98,6107.9,712.38,0.0,54.24,0.0,481.42,285.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,108.24,108.24,2123.57,2123.57,0.0,2231.81,500.0,0.0,0.0,11.33,511.33,3202.86,208.51,641.9,3.32,4056.59,6799.73,88.07,25.11,0.0,0.13,2.49,115.8,877.55,39.61,83.81,109.93,1226.7,463.85,1900.01,109.1,270.4,2125.91,703.76,5573.03,6799.73,272.78,0.0,54.24,0.0,877.55,463.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,114.66,114.66,2537.12,2537.12,5.27,2657.05,500.0,0.0,0.0,11.51,511.51,3015.84,143.02,1438.86,10.98,4608.7,7777.26,76.2,22.43,3.04,0.77,2.2,104.64,1578.28,374.04,28.57,174.49,2260.02,887.68,1580.1,103.63,282.12,2063.97,599.74,5517.24,7777.26,279.29,7.53,54.24,0.0,725.18,0.0,887.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,126.01,126.01,4979.98,4979.98,0.0,5105.99,0.0,0.0,1.15,12.62,13.77,3204.04,430.98,1137.21,11.79,4784.02,9903.78,86.09,21.42,11.54,2.05,9.79,130.89,1394.24,186.22,26.33,239.54,1977.22,1997.65,1247.42,382.9,427.29,2974.95,896.35,7926.56,9903.78,204.92,92.07,54.24,0.0,531.97,0.0,1997.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,138.97,138.97,8616.54,8616.54,0.0,8755.51,1000.0,0.0,131.72,14.58,1146.3,3513.12,413.48,1092.42,20.78,5039.8,14941.61,117.61,21.92,8.42,0.1,23.17,171.22,1703.98,108.11,629.0,879.58,3491.89,3575.95,2298.62,189.71,636.33,3569.78,1179.33,11449.72,14941.61,507.77,48.41,54.24,0.0,542.99,0.0,3575.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,138.99,138.99,9145.37,9145.37,0.0,9284.36,1000.0,0.0,88.61,17.07,1105.68,4169.82,383.55,1132.33,26.13,5711.83,16101.87,122.52,19.53,21.25,0.79,34.03,198.12,1762.11,94.68,934.99,217.46,3207.36,3356.1,2309.09,146.04,1276.24,4119.57,1687.47,12894.51,16101.87,501.27,49.98,54.24,0.0,565.77,0.0,3356.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,139.01,139.01,9798.87,9798.87,7.25,9945.13,0.0,0.0,11.36,14.59,25.95,6400.1,1420.48,2122.19,26.26,9969.03,19940.11,161.74,15.18,98.19,0.85,32.19,308.15,2140.4,102.84,1117.65,158.33,3827.37,946.15,6006.13,156.65,1616.21,5314.97,2072.63,16112.74,19940.11,496.32,52.27,54.24,0.0,513.87,0.0,946.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,139.02,139.02,10365.27,10365.27,7.99,10512.28,2660.0,0.0,16.59,16.71,2693.3,7426.52,1581.16,5670.91,26.53,14705.12,27910.7,212.96,14.94,231.86,1.2,30.48,491.44,2720.79,100.6,683.24,209.59,4205.66,1664.57,9216.98,160.86,2215.39,7668.41,2778.83,23705.04,27910.7,618.78,45.95,54.24,0.0,1232.58,0.0,1664.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,150.59,150.59,17293.55,17293.55,0.0,17444.14,4000.0,8.28,71.75,25.27,4105.3,7968.09,1407.26,12991.38,27.42,22394.15,43943.59,521.84,13.82,93.53,0.0,0.0,629.19,3456.6,94.17,732.44,197.43,5109.83,3453.68,15312.68,283.89,4059.98,9842.38,5881.15,38833.76,43943.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
