Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2005-03-31,6.44,6.44,35.15,35.15,0.0,41.59,27.66,0.0,0.0,0.0,27.66,16.52,4.3,47.85,8.6,77.27,146.52,1.34,0.0,0.0,0.0,0.0,1.34,0.0,0.23,0.0,0.0,1.57,0.0,18.21,27.72,4.18,94.84,0.0,144.94,146.52,36.56,0.33,2.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6.44,6.44,41.4,41.4,0.0,47.84,6.11,0.0,0.0,0.0,6.11,1.53,2.8,101.78,19.48,125.59,179.55,2.17,0.0,0.0,0.0,0.0,2.17,6.43,0.26,0.0,0.0,8.86,0.0,20.48,54.32,14.99,80.91,0.0,170.69,179.55,36.94,0.08,2.65,0.01,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.44,6.44,52.06,52.06,0.0,58.5,113.71,0.0,0.0,0.0,113.71,17.39,5.75,230.91,0.59,254.64,426.85,2.09,0.31,0.21,0.0,0.0,2.62,8.36,0.41,0.0,0.0,11.39,0.0,78.79,219.79,13.37,103.51,0.0,415.46,426.85,2.58,3.95,2.65,0.27,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,60.42,60.42,181.73,181.73,0.0,242.15,152.98,0.0,0.0,0.0,152.98,98.58,14.54,425.34,40.19,578.66,973.8,2.05,0.63,0.21,0.0,0.0,2.89,55.69,0.38,0.0,0.0,58.97,0.0,11.56,405.71,6.4,491.17,0.0,914.83,973.8,2.86,2.06,54.2,0.39,55.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,60.42,60.42,237.79,237.79,0.0,298.21,190.36,0.0,0.0,0.0,190.36,256.69,10.4,57.89,19.62,344.6,833.17,2.92,0.86,3.25,0.0,0.0,7.03,55.72,0.49,0.0,0.0,63.23,0.0,52.5,114.02,14.73,588.68,0.0,769.94,833.17,13.24,4.83,54.24,0.06,55.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,69.85,69.85,745.57,745.57,0.0,815.42,326.43,0.0,0.0,0.0,326.43,128.47,48.58,78.28,36.43,291.76,1433.62,5.71,4.8,0.0,0.0,0.0,10.51,247.77,0.28,0.0,0.0,258.56,0.0,143.59,137.71,72.35,821.41,0.0,1175.06,1433.62,3.01,6.68,54.24,0.11,39.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,69.85,69.85,815.19,815.19,0.0,885.04,81.02,0.0,0.01,2.62,83.65,731.96,149.53,94.13,47.51,1023.13,1991.83,9.38,3.01,0.57,0.81,0.0,13.77,64.74,0.82,54.39,0.4,134.11,0.0,192.43,41.13,155.1,1310.01,159.05,1857.71,1991.83,550.92,10.01,54.24,0.07,64.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,78.04,78.04,1321.55,1321.55,0.0,1399.58,160.21,0.0,0.01,2.3,162.52,958.66,143.64,183.15,31.98,1317.43,2879.53,8.97,2.28,22.21,1.69,0.0,35.16,99.52,2.99,9.74,0.91,148.31,5.87,257.36,106.38,441.45,1740.7,179.47,2731.22,2879.53,535.35,9.43,54.24,0.05,99.52,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,78.05,78.05,1286.25,1286.25,0.0,1364.29,346.09,0.0,0.28,2.78,349.15,425.61,108.81,477.35,42.01,1053.79,2767.24,8.35,3.7,44.1,1.94,0.0,58.09,170.03,4.06,76.3,10.82,319.3,0.0,650.61,63.16,47.45,1539.39,147.32,2447.94,2767.24,414.66,2.53,54.24,0.04,170.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,99.12,99.12,1691.03,1691.03,0.0,1790.15,203.7,0.0,1.09,2.86,207.65,1316.69,110.52,701.93,47.74,2176.89,4174.69,10.64,30.16,68.43,1.94,0.0,111.18,315.95,1.86,125.08,2.88,556.95,0.0,928.33,116.23,652.52,1703.93,216.73,3617.74,4174.69,769.27,6.51,54.24,0.04,315.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
