Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Trade/Other Goods
2004-03-31,1168.01,1168.01,21879.4,21879.4,23047.41,7138.4,4442.14,0.0,0.0,11580.54,5040.16,7969.96,8516.04,7880.85,29407.01,64034.96,22001.81,44.8,5261.3,0.0,27307.91,5595.43,0.0,73.29,33135.04,0.0,14951.08,3973.12,698.07,11252.38,25.27,30899.92,64034.96,14955.23,2841.41,3632.83,4.43,1066.3,15502.85,527.38,0.0,0.0,0.0,35958.94,0.0,210.74,0.0,158.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1168.01,1168.01,24816.35,24816.35,25984.36,6935.64,4478.57,0.0,0.0,11414.21,10384.6,11247.92,8827.15,7262.68,37722.35,75120.92,23293.97,86.82,8719.47,0.0,32100.26,5554.93,0.0,33.09,37861.51,0.0,19504.82,5689.87,446.32,11603.96,14.44,37259.41,75120.92,11466.17,7973.27,3540.62,12.34,1066.3,17995.29,292.74,0.0,0.0,0.0,45828.26,0.0,666.18,0.0,173.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1168.01,1168.01,28134.66,28134.66,29302.67,14089.99,4679.51,0.0,0.0,18769.5,12314.32,12830.74,10867.11,7589.38,43601.55,91673.72,24919.39,104.03,9620.03,0.0,34643.45,14521.39,0.0,57.51,49478.92,0.0,24277.79,6699.48,744.17,10448.09,25.27,42194.8,91673.72,8724.76,10818.22,5574.48,43.08,1066.3,23000.64,9381.72,0.0,0.0,0.0,68083.98,0.0,112.01,0.0,256.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1168.01,1168.01,33664.92,33664.92,34832.93,13219.94,5728.76,0.0,0.0,18948.7,13862.75,13938.55,12638.21,7633.41,48072.92,101878.91,33141.41,228.81,4394.3,0.0,37764.52,19990.86,0.0,157.27,58261.71,0.0,24702.69,6736.06,925.97,10730.78,521.7,43617.2,101878.91,22676.47,11695.55,9068.77,57.46,1066.3,17958.41,17137.21,0.0,0.0,0.0,87570.16,0.0,107.49,24.36,349.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,1192.37,1192.37,39893.88,39893.88,41086.25,14017.1,5918.08,0.0,0.0,19935.18,21506.07,19348.8,14059.19,1172.99,56087.05,117108.48,32558.56,213.26,9170.22,0.0,41942.04,21535.78,0.0,124.59,64135.67,0.0,30941.48,6819.23,824.43,13806.05,581.62,52972.81,117108.48,25574.96,16762.34,11421.84,32.09,1066.3,21437.75,18682.05,0.0,0.0,0.0,106495.61,0.0,65.91,0.0,533.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1192.37,1192.37,42789.29,42789.29,43981.66,18902.41,6135.7,0.0,0.0,25038.11,26069.65,19574.79,13179.79,2603.46,61427.69,130469.06,34392.45,386.0,18186.05,0.0,52964.5,32232.13,0.0,37.96,85896.66,0.0,25149.6,5937.86,798.02,12683.4,3.52,44572.4,130469.06,26317.31,17349.59,14785.57,177.06,1066.3,15318.66,29527.27,0.0,0.0,0.0,131562.61,0.0,1031.09,21.6,662.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2427.95,2427.95,48124.88,48124.88,50552.83,20449.62,6338.79,0.0,0.0,26788.41,24116.63,19766.68,14713.49,10271.56,68868.36,146209.6,41132.99,448.08,21268.63,0.0,62849.7,22370.25,0.0,18.17,86820.8,0.0,36404.08,5799.28,1315.11,15864.68,5.65,59388.8,146209.6,25715.07,14948.53,13671.08,72.37,2280.27,23844.0,22370.25,0.0,0.0,0.0,117258.84,0.0,688.44,0.0,1582.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,2427.95,2427.95,52904.37,52904.37,55332.32,16243.2,6336.59,364.8,179.27,23123.86,34065.76,29661.76,24911.79,6584.19,95223.5,173679.68,57189.02,998.38,8939.3,314.05,67468.0,4703.49,4936.35,3.99,77111.83,14841.27,49284.52,8863.69,1294.42,21060.8,1223.15,96567.85,173679.68,35182.42,24660.97,16781.47,186.08,2280.27,25141.06,898.94,0.0,14841.27,27.25,146084.52,448.25,231.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2427.95,2427.95,55448.75,55448.75,57876.7,16826.76,5241.88,9830.3,258.18,32157.12,53497.17,27520.75,23917.65,14890.36,119825.93,209859.75,58932.29,914.51,13415.36,272.53,73534.69,4918.01,10388.58,17.01,88858.29,13760.45,56829.2,9725.47,307.01,32525.1,7854.23,121001.46,209859.75,32666.62,28803.38,19618.1,192.9,2280.27,23238.21,1139.46,0.0,13760.45,0.0,173460.46,551.75,1274.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2427.95,2427.95,58696.36,58696.36,61124.31,21414.2,5512.66,11435.18,375.25,38737.29,56911.0,29729.91,19852.08,17640.68,124133.67,223995.27,59823.45,809.28,17987.13,285.99,78905.85,5032.62,11744.37,13.86,95696.7,13638.6,59314.39,11254.78,503.29,36824.49,6763.02,128298.57,223995.27,31715.16,26350.3,18549.19,9.42,2280.27,25394.76,1254.07,0.0,13638.6,0.0,184643.85,679.52,1102.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
