Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Short Term Borrowings,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods
2010-09-30,102.28,102.28,1571.08,1635.55,0.0,1737.83,42.68,0.0,0.0,258.68,557.23,173.8,234.5,1048.13,3044.64,1426.54,23.17,19.43,0.0,0.0,1469.14,365.8,0.0,1.95,1884.66,0.0,295.5,332.62,174.41,357.45,0.0,1159.98,3044.64,284.22,0.0,142.38,3992.0,63.81,0.0,19.43,5.55,363.02,0.0,0.0,64.47,216.0,82.6,47.77,21.64,0.0,4.83
2011-09-30,102.31,102.31,1641.65,1696.23,0.0,1798.54,0.0,19.37,10.32,226.18,702.04,221.67,99.38,1112.44,3137.16,1456.02,5.86,40.99,4.28,0.0,1507.15,365.8,43.13,97.82,2030.34,0.0,327.36,340.53,203.43,233.06,2.44,1106.82,3137.16,336.02,0.0,32.2,4800.0,215.28,9.89,19.43,3.33,363.02,0.0,0.0,54.58,196.49,89.35,16.44,8.57,29.44,17.86
2012-09-30,119.27,119.27,1448.4,1494.69,0.0,1613.96,0.0,24.71,117.63,311.99,884.55,234.07,81.06,1489.96,3415.91,1575.6,10.65,53.74,12.75,0.0,1652.74,382.26,25.61,98.17,2155.97,3.65,496.61,445.44,130.57,181.96,1.71,1259.94,3415.91,333.75,0.0,17.84,1800.0,139.9,5.08,19.43,0.12,382.83,4.29,0.0,46.29,169.65,290.28,-2.81,30.35,20.99,24.44
2014-03-31,119.27,119.27,1675.94,1712.11,0.0,1831.38,0.0,29.61,118.22,292.13,829.66,251.53,81.9,1369.19,3492.7,1623.53,19.16,29.95,7.41,0.0,1680.05,378.08,16.04,106.1,2187.64,3.42,550.97,352.41,160.77,233.85,3.64,1305.06,3492.7,356.08,0.0,25.03,0.0,200.08,4.65,19.43,437.79,16.29,3.7,0.01,36.17,144.3,206.1,7.37,43.55,42.91,15.08
2015-03-31,119.29,119.29,1640.84,1677.01,0.0,1796.3,0.0,34.53,113.55,253.89,700.63,245.77,87.9,1336.9,3387.09,1566.98,15.98,19.4,36.06,0.0,1638.42,380.03,19.8,2.93,2088.99,3.42,415.92,397.06,236.41,233.2,12.09,1298.1,3387.09,265.21,0.0,25.75,0.0,231.13,0.83,19.43,486.79,18.26,3.7,0.01,36.17,105.81,302.6,47.81,22.33,33.02,11.96
2016-03-31,119.39,119.39,1716.73,1752.9,0.0,1872.29,0.0,33.48,29.95,150.96,729.36,210.64,158.85,1313.08,3336.33,1557.34,15.21,21.37,36.82,0.0,1630.74,386.03,19.62,2.93,2079.55,3.96,390.01,424.07,242.48,189.22,7.04,1256.78,3336.33,298.62,0.0,33.33,0.0,123.98,0.59,19.43,530.5,24.26,4.61,0.01,36.17,87.53,214.23,40.23,27.33,37.99,2.17
2017-03-31,122.58,122.58,1868.58,1868.58,0.0,1991.16,0.0,29.83,19.36,105.44,893.78,232.29,131.46,1416.55,3513.15,1510.49,43.89,26.56,8.14,23.38,1612.46,418.66,4.17,13.36,2095.69,168.8,429.48,458.02,228.4,4.5,128.26,1417.46,3513.15,719.78,0.0,88.33,0.0,0.0,122.0,19.43,5.26,415.02,168.79,0.01,0.0,56.25,159.02,47.04,0.0,0.0,0.0
2018-03-31,122.58,122.58,2425.53,2425.53,0.0,2548.11,19.71,23.49,15.32,72.2,1225.47,290.88,132.83,1649.18,4269.49,1521.95,35.87,46.79,17.27,23.23,1645.11,409.44,4.41,96.04,2155.0,484.89,541.06,599.98,311.9,5.94,170.72,2114.49,4269.49,766.18,0.0,89.56,0.0,0.0,184.5,19.43,2.53,0.0,484.88,0.01,0.0,13.68,0.0,0.0,0.0,0.0,0.0
2019-03-31,122.58,122.58,2900.28,2900.28,0.0,3022.86,52.87,28.13,24.45,105.6,1212.5,266.76,119.99,1868.48,4996.94,1577.02,30.36,53.07,23.41,23.09,1706.95,465.52,5.4,111.2,2289.07,391.09,821.93,931.96,230.07,5.51,327.31,2707.87,4996.94,858.83,0.0,176.75,0.0,0.0,233.26,19.43,0.0,463.77,0.0,0.01,0.0,0.15,269.23,0.0,0.0,0.0,0.0
2020-03-31,122.58,122.58,3350.4,3350.4,7.1,3480.08,30.29,53.34,30.11,113.74,1263.93,322.14,125.59,1718.26,5312.08,1632.9,32.17,104.39,20.07,22.94,1812.47,527.98,6.49,112.32,2459.26,638.28,822.2,756.52,318.48,16.81,300.53,2852.82,5312.08,882.45,156.39,21.61,0.0,0.0,265.51,19.43,1.51,526.47,638.28,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0
