Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1026.0,2.18,1028.18,680.03,56.27,8.86,113.18,13.03,116.86,39.96,13.59,53.55,21.45,32.1,-0.87,31.23,3.09,28.14,0.0,28.14,119.26,2.36,2.36,7.11,58.02,5.08,98.82,41.48
2013-03-31,997.13,3.51,1000.64,645.45,37.02,40.03,111.68,13.09,112.2,41.18,11.06,52.25,21.72,30.53,0.71,31.24,-6.23,37.47,0.0,37.47,119.26,3.14,3.14,7.11,58.02,5.15,100.0,41.98
2013-06-30,1172.89,3.04,1175.93,740.62,66.71,36.01,112.82,13.34,127.03,79.41,13.9,93.31,20.25,73.06,-0.79,72.27,13.97,58.3,0.0,58.3,119.26,4.89,4.89,7.11,58.02,5.15,100.0,41.98
2013-09-30,939.97,4.28,944.25,679.79,80.97,-108.6,103.92,14.0,123.71,50.45,15.98,66.43,18.26,48.17,0.12,48.29,4.66,43.63,0.0,43.63,119.26,3.66,3.66,7.11,58.03,5.14,100.0,41.97
2013-12-31,1154.45,5.14,1159.59,773.88,20.6,45.54,114.37,14.52,134.2,56.47,15.85,72.32,15.52,56.8,0.0,56.79,11.24,45.56,0.0,45.56,119.26,3.82,3.82,7.11,58.03,5.14,100.0,41.97
2014-03-31,977.17,5.74,982.91,704.39,42.17,-39.25,111.38,15.24,118.43,30.55,11.03,41.58,13.47,28.11,4.47,32.58,0.8,31.78,0.0,31.78,119.26,2.67,2.66,7.11,58.03,5.14,100.0,41.97
2014-06-30,1122.11,7.0,1129.11,685.64,57.32,71.66,116.08,14.88,141.52,42.0,10.11,52.11,13.42,38.69,0.13,38.82,4.71,34.11,0.0,34.11,119.27,2.86,2.86,7.11,58.04,5.14,100.0,41.96
2014-09-30,986.61,6.02,992.63,741.56,48.33,-83.94,109.89,13.48,143.27,20.03,10.28,30.32,14.07,16.25,-31.27,-15.03,-7.17,-7.86,0.0,-7.86,119.28,-0.66,-0.66,7.11,58.04,5.14,100.0,41.96
2014-12-31,1042.34,4.04,1046.37,619.5,52.96,76.08,110.79,16.5,138.07,32.48,14.87,47.34,13.68,33.66,0.38,34.04,-1.64,35.69,0.0,35.69,119.28,2.99,2.99,7.11,58.04,5.14,100.0,41.96
2015-03-31,811.22,6.49,817.72,514.81,46.44,18.26,95.07,21.2,121.12,0.83,25.39,26.22,15.94,10.27,0.14,10.42,-2.35,12.77,0.0,12.77,119.28,1.07,1.07,7.11,58.03,5.14,100.0,41.97
2015-06-30,973.22,4.52,977.74,582.38,59.75,32.95,108.32,16.13,136.81,41.41,11.2,52.61,13.74,38.87,-0.54,38.33,2.06,36.27,0.0,36.27,119.28,3.04,3.04,6.99,56.99,5.27,100.0,43.01
2015-09-30,797.83,3.83,801.66,584.43,54.87,-94.08,106.01,15.46,120.9,14.07,14.77,28.84,11.15,17.69,-0.92,16.77,0.59,16.18,0.0,16.18,119.28,1.36,1.36,6.99,56.99,5.27,100.0,43.01
2015-12-31,884.22,3.86,888.08,478.4,51.92,84.63,109.0,14.85,130.01,19.27,13.08,32.35,11.19,21.16,0.07,21.23,0.73,20.5,0.0,20.5,119.37,1.72,1.72,0.0,0.0,0.0,0.0,0.0
2016-03-31,788.55,0.0,788.55,527.86,60.13,-45.67,93.48,13.07,109.0,30.67,17.55,48.23,14.27,33.96,-11.06,22.89,1.4,21.49,-3.13,18.37,119.39,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2016-06-30,1031.35,0.0,1031.35,601.9,63.54,35.23,109.15,13.91,131.5,76.12,10.2,86.32,8.54,77.78,-5.76,72.02,21.26,50.76,-3.8,46.96,119.39,3.94,3.94,0.0,0.0,0.0,0.0,0.0
