Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,292.45,1.95,294.4,163.11,34.34,-15.65,30.55,7.83,0.0,68.44,5.78,2.14,7.92,12.14,-4.22,27.75,23.53,2.64,20.89,20.89,22.25,0.94,0.94,6.02,27.12,15.89,98.15,71.53
2012-12-31,282.91,5.32,288.23,159.96,28.17,-2.77,29.55,8.51,0.0,53.1,11.7,0.46,12.17,12.23,-0.06,-8.54,-8.6,-0.16,-8.44,-8.44,22.25,-0.38,-0.38,6.02,27.12,15.89,98.15,71.53
2013-03-31,299.8,1.03,300.83,140.82,33.27,2.87,29.72,7.59,0.0,48.39,38.18,4.13,42.31,2.57,39.74,4.02,43.77,1.42,42.35,42.35,22.25,1.91,1.91,6.02,27.12,15.89,98.15,71.53
2013-06-30,282.26,1.44,283.7,143.31,25.87,-1.46,33.26,7.48,0.0,73.71,1.54,6.62,8.16,13.71,-5.56,0.0,-5.56,-1.35,-4.21,-4.21,22.25,-0.19,-0.19,6.02,27.12,15.89,98.15,71.53
2013-09-30,349.91,1.88,351.79,178.74,32.57,-6.83,39.19,8.15,0.0,64.88,35.09,1.0,36.08,13.1,22.99,0.0,22.99,0.98,22.01,22.01,22.25,0.99,0.99,6.02,27.12,14.79,91.35,66.58
2013-12-31,303.5,2.08,305.59,172.34,27.64,-18.34,39.53,8.76,0.0,54.04,21.61,6.81,28.42,7.74,20.68,0.0,20.68,0.94,19.74,19.74,22.25,0.89,0.89,6.02,27.12,14.79,91.35,66.58
2014-03-31,340.37,2.53,342.9,144.45,38.34,22.71,39.41,8.86,0.0,38.09,51.04,0.72,51.76,20.57,31.19,0.0,31.19,1.79,29.4,29.4,22.25,1.32,1.32,6.02,27.12,14.79,91.35,66.58
2014-06-30,360.85,1.89,362.74,176.44,43.75,-5.21,41.45,10.43,0.0,59.14,36.75,1.33,38.08,7.37,30.71,0.0,30.71,4.99,25.72,25.72,22.25,1.16,1.16,5.67,25.54,15.14,91.54,68.16
2014-09-30,404.84,2.18,407.02,204.94,47.18,-21.05,50.96,10.91,0.0,61.17,52.9,1.49,54.39,12.44,41.95,0.0,41.95,6.19,35.76,35.76,22.25,1.61,1.61,5.67,25.24,15.14,91.54,68.16
2014-12-31,381.85,3.99,385.83,168.82,42.0,-16.15,49.45,11.61,0.0,68.77,61.35,0.94,62.28,14.47,47.81,0.0,47.81,6.44,41.37,41.37,22.25,1.86,1.86,5.67,25.54,15.14,91.54,68.16
