Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,31.62,31.62,7.27,0.18,0.0,24.52,-0.35,7.89,7.54,0.72,6.82,0.0,6.82,1.91,4.91,4.91,21.73,0.45,0.45
2020-06-30,3.55,3.55,4.77,0.16,-2.73,6.19,-4.84,8.45,3.61,0.0,3.61,0.0,3.61,1.04,2.56,2.56,21.73,0.24,0.0
2020-09-30,9.94,9.94,4.96,0.16,2.73,5.05,-2.96,12.34,9.38,0.49,8.89,0.0,8.89,2.69,6.2,6.2,21.73,0.57,0.82
2020-12-31,35.77,35.77,5.01,0.17,0.0,11.96,18.64,11.53,30.17,0.82,29.34,0.0,29.34,7.0,22.34,22.34,21.73,2.06,2.06
2021-03-31,57.44,57.44,6.43,0.17,5.59,12.51,32.73,11.91,44.64,1.86,42.78,0.0,42.78,11.59,31.19,31.19,21.73,2.87,2.87
2021-06-30,18.7,18.7,4.61,0.22,2.76,6.01,5.1,16.12,21.22,0.05,21.16,0.0,21.16,5.44,15.72,15.72,21.73,1.45,1.45
2021-09-30,43.68,43.68,5.03,0.22,8.3,9.48,20.64,16.15,36.79,0.26,36.53,0.0,36.53,9.26,27.28,27.28,21.73,2.51,2.51
2021-12-31,85.77,85.77,6.44,0.22,12.9,14.88,51.33,3.25,54.58,0.54,54.03,0.0,54.03,13.76,40.28,40.28,21.73,3.71,3.71
2022-03-31,59.16,59.16,7.3,0.22,9.02,13.3,29.32,4.69,34.01,0.68,33.33,0.0,33.33,9.4,23.92,23.92,43.46,1.1,1.1
2022-06-30,83.69,83.69,7.53,0.25,10.32,24.37,41.22,4.03,45.25,0.25,45.0,0.0,45.0,11.33,33.68,33.68,43.46,1.55,1.55
2022-09-30,104.32,104.32,9.13,0.26,29.24,27.5,38.19,3.73,41.92,0.63,41.28,0.0,41.28,10.65,30.63,30.63,43.46,1.41,1.41
2022-12-31,130.35,130.35,10.85,0.28,19.19,42.78,57.25,3.87,61.12,0.74,60.39,0.0,60.39,15.68,44.7,44.7,173.83,0.26,0.26
2023-03-31,111.47,111.47,13.3,0.36,19.68,31.11,47.02,4.34,51.36,0.76,50.6,0.0,50.6,12.79,37.81,37.81,173.83,0.22,0.22
2023-06-30,102.34,102.34,13.56,0.37,0.0,55.17,33.25,3.12,36.37,1.11,35.25,0.0,35.25,9.07,26.19,26.19,173.83,0.15,0.15
2023-09-30,120.2,120.2,13.85,0.38,0.0,38.67,67.31,3.28,70.59,1.32,69.26,0.0,69.26,17.8,51.46,51.46,177.2,0.3,0.3
2023-12-31,128.98,128.98,14.32,0.38,14.7,34.89,64.7,4.3,69.0,0.81,68.19,0.0,68.19,17.07,51.12,51.12,177.2,0.29,0.29
2024-03-31,130.01,130.01,15.63,0.39,0.0,60.87,53.12,7.29,60.41,0.5,59.9,-72.43,-12.53,-2.95,-9.58,-9.58,177.2,-0.05,-0.05
2024-06-30,105.9,105.9,15.45,0.34,0.0,47.36,42.75,3.74,46.49,0.39,46.09,0.0,46.09,11.8,34.29,34.29,177.2,0.19,0.19
2024-09-30,103.3,103.3,16.01,0.38,0.0,54.47,32.43,5.88,38.32,0.55,37.77,0.0,37.77,9.97,27.8,27.8,177.2,0.18,0.18
2024-12-31,105.87,105.87,16.7,0.41,0.0,48.05,40.72,4.65,45.37,0.43,44.94,0.0,44.94,11.43,33.52,33.52,354.41,0.1,0.1
