Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,37.68,67.68,183.56,183.56,251.23,254.86,85.02,0.0,0.0,339.88,30.71,325.45,12.63,148.78,517.57,1108.68,451.18,0.0,96.28,0.0,547.46,34.38,0.0,8.13,594.43,0.0,133.13,100.14,8.6,272.38,0.0,514.25,1108.68,418.17,34.64,0.0,322.41,24.08,8.68,0.0,34.38,0.0,0.0,14.96,0.0,37.9,30.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,39.56,59.56,383.0,383.0,442.56,274.3,85.39,0.0,0.0,359.69,143.57,391.83,39.99,257.36,832.76,1635.01,527.46,0.0,278.47,0.0,805.93,38.35,0.0,4.3,852.8,0.0,186.08,143.06,28.13,424.94,0.0,782.21,1635.01,524.31,40.44,0.0,499.55,35.31,8.68,0.0,38.35,0.0,0.0,24.83,0.0,114.98,20.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,44.46,54.46,1109.67,1109.67,1164.13,738.28,103.02,0.0,0.0,841.3,254.19,482.69,28.8,361.73,1127.41,3132.83,775.25,0.0,372.3,0.0,1147.55,444.02,0.0,1.25,1599.18,0.0,254.27,188.55,505.41,585.42,0.0,1533.65,3132.83,444.62,78.72,0.01,638.9,79.85,8.68,0.0,444.02,0.0,0.0,58.83,0.0,223.44,10.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,44.54,54.54,1272.26,1272.26,1326.8,1006.55,119.77,0.0,0.0,1126.33,395.06,561.28,14.41,309.8,1280.55,3733.67,1151.93,0.0,280.71,0.0,1432.63,450.71,0.0,0.23,1890.57,0.0,302.79,253.95,736.28,550.09,0.0,1843.11,3733.67,699.45,81.04,0.0,731.62,104.48,8.68,0.0,450.71,0.0,0.0,98.43,0.0,82.48,10.0,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,44.54,44.54,1428.74,1428.74,1473.28,935.48,138.53,0.0,0.0,1074.01,352.01,625.8,8.53,451.33,1437.67,3984.95,1317.86,0.0,436.43,0.0,1754.29,593.67,0.0,0.0,2368.24,0.0,338.12,356.29,164.99,757.32,0.0,1616.71,3984.95,721.47,79.74,0.0,950.16,117.08,8.68,0.0,593.67,0.0,0.0,98.52,0.0,162.67,0.0,20.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,44.54,44.54,1442.39,1442.39,1486.93,1598.04,183.37,0.0,0.0,1781.41,209.83,366.84,24.5,301.11,902.28,4170.62,1831.16,0.0,232.28,0.0,2063.44,367.2,0.0,0.0,2452.34,0.0,364.24,260.11,366.7,727.23,0.0,1718.28,4170.62,671.52,90.59,0.0,987.26,72.33,8.68,0.0,367.2,0.0,0.0,92.52,0.0,144.29,0.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,44.54,44.54,1483.9,1483.9,1528.44,1688.87,173.48,0.0,0.0,1862.35,163.91,553.2,149.98,256.31,1123.4,4514.18,1776.11,0.0,138.54,0.0,1914.65,720.95,0.0,0.0,2702.58,0.0,394.8,307.17,493.5,616.14,0.0,1811.6,4514.18,565.76,66.89,0.0,704.0,38.77,8.68,40.57,675.33,0.0,0.0,65.88,0.0,21.87,0.0,66.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,46.57,46.57,1948.82,1948.82,1995.39,1394.14,155.62,0.59,27.49,1577.83,66.13,616.43,87.6,120.69,890.85,4464.07,1763.26,0.0,78.44,0.0,1841.7,571.63,344.22,41.74,2799.28,242.73,468.43,431.32,232.04,212.48,77.8,1664.79,4464.07,858.69,58.9,0.0,1211.03,45.86,8.68,0.0,571.63,62.12,180.8,44.82,49.85,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,46.57,46.57,2096.53,2096.53,2143.1,1600.4,127.15,0.72,29.96,1758.22,84.1,669.63,537.58,135.55,1426.85,5328.17,1796.2,0.0,289.06,0.0,2085.26,511.55,403.56,78.81,3079.18,373.28,503.13,491.18,538.62,263.46,79.33,2248.99,5328.17,1136.17,92.49,0.0,1730.99,53.23,8.68,0.0,511.55,49.38,318.22,47.21,71.53,131.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,46.57,46.57,2264.56,2264.56,2311.13,1448.98,136.43,0.74,33.29,1619.44,39.01,454.12,628.21,90.8,1212.14,5142.72,1998.81,0.0,222.81,0.0,2221.61,545.35,386.34,42.39,3195.68,385.3,475.7,474.23,279.08,257.06,75.67,1947.03,5142.72,1034.56,126.87,0.0,1561.34,47.64,8.68,0.0,545.35,51.39,335.09,66.14,71.83,86.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
