Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,660.49,12.08,672.57,271.32,19.17,62.73,57.42,176.98,84.95,19.46,104.41,36.33,68.08,0.0,68.08,20.56,47.52,47.52,46.57,0.0,2.05,2.05,13.49,57.95,9.79,100.0,42.05
2013-03-31,660.25,14.43,674.68,291.83,-7.99,61.26,54.54,187.79,87.25,20.52,107.77,33.36,74.41,0.0,74.41,24.33,50.08,50.08,46.57,0.0,2.15,2.15,13.49,57.95,9.79,100.0,42.05
2013-06-30,771.65,19.91,791.56,334.71,-9.51,70.7,61.07,199.56,135.03,35.42,170.45,35.43,135.02,0.0,135.02,44.42,90.6,90.6,46.57,0.0,3.89,3.89,13.49,57.95,9.79,100.0,42.05
2013-09-30,821.38,23.73,845.11,326.66,17.04,69.48,62.77,209.15,160.01,21.29,181.3,39.35,141.95,0.0,141.95,45.57,96.38,96.38,46.57,0.0,4.14,4.14,12.4,53.25,10.88,100.0,46.74
2013-12-31,808.62,23.46,832.08,340.14,-20.57,69.71,61.66,228.32,152.82,25.39,178.21,39.94,138.27,0.0,138.27,44.3,93.97,93.97,46.57,0.0,4.04,4.04,12.4,53.25,10.88,100.0,46.74
2014-03-31,903.72,26.8,930.52,409.04,-23.71,68.96,59.81,245.92,170.5,32.6,203.1,34.85,168.25,12.35,180.6,61.62,118.98,118.98,46.57,0.0,5.11,5.11,12.4,53.25,10.88,100.0,46.75
2014-06-30,964.33,23.8,988.13,423.95,-64.83,79.54,65.75,266.17,217.55,24.19,241.74,31.64,210.1,0.0,210.1,65.13,144.97,144.97,46.57,0.0,6.23,6.23,12.4,53.25,10.88,100.0,46.75
2014-09-30,1108.88,29.39,1138.27,453.32,3.11,80.74,66.35,276.37,258.38,29.98,288.36,31.36,257.0,-4.12,252.88,78.39,174.49,174.49,46.57,0.0,7.49,7.49,12.4,53.25,10.88,100.0,46.75
2014-12-31,1142.09,55.67,1197.76,465.28,-18.77,82.77,68.7,306.23,293.55,19.12,312.67,26.42,286.25,0.0,286.25,89.91,196.34,196.34,46.57,0.0,8.43,8.43,12.4,53.25,10.88,100.0,46.75
2015-03-31,1195.36,28.53,1223.89,413.31,64.53,88.88,49.71,297.47,309.99,20.03,330.02,22.42,307.6,0.49,308.09,104.91,203.18,203.18,46.57,0.0,8.73,8.73,12.4,53.25,10.88,100.0,46.75
2015-06-30,1113.87,24.96,1138.83,412.3,-23.99,93.58,74.85,300.36,281.73,29.91,311.64,21.29,290.35,0.0,290.35,94.38,195.97,195.97,46.57,0.0,8.42,8.42,12.4,53.25,10.88,100.0,46.75
2015-09-30,1098.91,24.97,1123.88,404.57,0.4,93.2,71.38,305.27,249.06,28.17,277.23,22.23,255.0,0.0,255.0,82.73,172.27,172.27,46.57,0.0,7.4,7.4,0.0,0.0,0.0,0.0,0.0
